Source;Agence;Réseau;Adresse;Adresse2;CP;VILLE;E-mail;TEL;FAX;WEB;;;;
APV;Carrefour Voyages Epernay;Carrefour voyages;13 quai de la marne;;51200;Epernay;carrefour_voyages_epernay@carrefour.com;03 26 53 28 07;03 26 53 29 09;www.carrefour.com;;;;
NDV;Thomas Cook;Thomas Cook;4 rue Jean Pierrot;;51200;Epernay;epernay@thomascook.fr;03 26 51 53 69;03 26 54 83 24;www.thomascook.fr;;;;
APV;Andalous Tours;;13 place Pierre Fermat;;51100;Reims;andalous.tours@hotmail.fr;03 26 35 69 20;;;;;;
APV;Plantani Sophie;;72 Bd Lundi;;51100;Reims;;03 26 40 25 12;;;;;;
APV;Leclerc Voyages;Leclerc Voyages;RN 51;;51500;Champfleury;voyage.sodichamp@scapest.fr;03 26 34 02 32;03 26 24 02 33;;;;;
APV;Havas Voyages;Havas Voyages;48 rue Buirette;;51100;Reims;ag.ltreims@havasvoyages.fr;03 26 88 36 31;03 26 47 73 58;;;;;
APV;Leclerc Voyages;Leclerc Voyages;La Croix Mauricienne;;51370;St Brice Courcelle;stbrice@leclercvoyages;03 26 86 98 10;;www.leclervoyages.com;;;;
NDV;Voyages Sortir 08;;24 rue Léon Bourgeois;;51000;Châlons-en-Champagne;sortir08@wandoo.fr;03 26 65 28 63;09 70 29 60 51;;;;;
NDV;Leclerc Voyages;Leclerc Voyages;Route d'Epernay;;51510;Fagnières;fagnieres@leclercvoyages.com;03 26 69 35 22;03 26 69 10 92;www.leclercvoyaes.com;;;;
NDV;Pret à Partir;Pret à Partir;33 Place de la République;;51000;Châlons-en-Champagne;chalons@pretapartir.fr;04 26 68 00 61;04 26 21 49 63;www.pretapartir.fr;;;;
NDV;Voyages E. Leclerc;Leclerc Voyages;La Croix Mauricienne;;51370;Saint Brice Courcelles;stbrice@leclercvoyages;03 26 89 98 10;;www.leclercvoyaes.com;;;;
APV;Le Beau Voyage Jet Tours;Pret à Partir;Route de Louvois;;51350;Cormontreuil;contact@lebeauvoyage.com ;03 26 05 48 05;;;;;;
APV;E. Leclerc;Leclerc Voyages;Rue Jules Lobet;;51530;Pierry;pierry@leclercvoyages.fr;03 26 54 65 75;03 26 54 77 29;;;;;
APV;E. Leclerc;Leclerc Voyages;2 rue Bernard Palissy;;54500;Vandoeuvre-les-Nancy;vandoeuvre@leclercvoyages.fr;03 83 53 23 17;03 83 54 38 22;www.leclercvoyaes.com;;;;
APV;Prêt à Partir;Pret à Partir;5 Place des trois Evêchés;;54200;Toul;toul@pretapartir.fr;03 83 63 29 43;03 83 64 49 94;www.pretapartir.fr;;;;
APV;Thomas Cook;Thomas Cook;101 rue Saint Dizier;;54000;Nancy;nancy@thomascook.fr;03 83 86 58 00;03 83 30 33 84;;;;;
APV;Carrefour Voyages Nancy;Carrefour voyages;76 rue Saint Dizier;;54000;Nancy;carrefourvoyages.nancy@gmail.com;08 05 69 47 47;;;;;;
APV;Marmara;Marmara;13/17 avenue Foch;;54000;Nancy;nancy@marmara.com;03 83 25 10 15;;;;;;
APV;Selectour Afat;Afat;21 rue du pont Mouja;;54000;Nancy;lylipad-voyages@selectourafat.com;03 83 31 96 55;03 83 31 96 56;;;;;
APV;Favoris Vacances;;26 avenue Foch;;54000;Nancy;ahmet@favorisvacances.com;03 83 96 37 30;;www.favorisvacances.com;;;;
NDV;Objectif Lune;;36 rue des carmes;;54000;Nancy;agence@objectiflune.fr;03 83 30 64 64;03 83 30 61 88;;;;;
APV;Havas Voyages;Havas Voyages;8 rue saint Dizier;;54000;Nancy;ag.lnancy@havasvoyages.fr;03 83 35 41 97;03 83 35 54 73;www.havas-voyages.fr;;;;
APV;Marmara;Marmara;40 rue du Grand Rabbin Haguenauer;;54000;Nancy;nancy.nf@tuifrance.com;03 83 36 76 27;;;;;;
APV;Pret à Partir;Pret à Partir;16 rue Rauraff;;54000;Nancy;nancy-raugraff@pretapartir.fr;03 83 30 50 28;03 83 37 02 70;www.pretapartir.fr;;;;
APV;Havas Voyages;Havas Voyages;Centre commercial St Sébastien;;54045;Nancy;ademange@havasvoyages.fr;;03 83 21 09 54;03 83 37 64 19;;;;
APV;E. Leclerc Voyage;Leclerc Voyages;Galerie Marchande;;54390;Frouard;frouard@leclervoyages.com;03 83 24 10 10;;;;;;
APV;Havas Voyages;Havas Voyages;5 bis avenue Foch;;54000;Nancy;cremo@havasvoyages.fr;03 83 36 86 61;03 83 32 61 43;www.havas-voyages.fr;;;;
APV;Pret à Partir;Pret à Partir;RD 570 – Houdremont;;54180;Heillecourt;houdemont@pretapartir.fr;03 83 57 47 44;03 83 57 47 45;;;;;
APV;Pret à Partir;Pret à Partir;5 places des thiers;;54700;Pont-à-Mousson;pont-a-mousson@pretapartir.fr;03 83 81 18 42;03 83 82 46 05;www.pretapartir.fr;;;;
APV;Euromoselleloisirs;;8 place Duroc;;54700;Pont-à-Mousson;pontamousson@euromoselleloisirs.fr;03 83 84 09 69;03 83 81 48 79;;;;;
APV;Selectour Afat;Afat;1 bis Rue du Pré Contal;;54300;Luneville;alsavosges.tourisme2@orange.fr;03 83 73 23 98;03 83 74 03 79;www.gevatours.fr;;;;
APV;Pret à Partir;Pret à Partir;avenue Raugnoff;;54300;Luneville;;03 83 30 50 28;03 83 37 02 70;www.pretapartir.fr;;;;
APV;Prêt à Partir;Pret à Partir;06 place Leopold;;54300;Luneville;luneville@pretapartir.fr;03 83 77 75 75;03 83 77 75 79;www.pretapartir.fr;;;;
APV;Nouvelles Frontières;Nouvelles Frontières;1 rue de Jemmapes;;57100;Thionville;thionville.nf@nouvelles-frontieres.fr;;03 82 53 10 81;;;;;
APV;Marmara;Marmara;37-39 Place du Marché;;57100;Thionville;thionville@marmara.com;03 82 56 67 50;03 82 52 86 81;;;;;
APV;Iraktur;;4 rue du Boulonnais;;57070;Metz;irmaktur@gmail.com;03 87 35 60 60;;;;;;
APV;Voyages Eureka;Voyages Eureka;5 rue Harelle;;57000;Metz;metz@voyages-eureka.fr;03 87 63 60 08;03 87 56 92 91;;;;;
APV;Leclerc Voyages;Leclerc Voyages;A31 sortie Maizières-les-Metz;;57280;Hauconcourt;leclerc-voyages-hauconcourt@wanadoo.fr;03 87 51 53 53;03 87 51 58 93;;;;;
APV;Pret à Partir;Pret à Partir;11 Bld de la Solidarité;;57070;Metz;metz-technopole@pretapartir.fr;03 87 21 90 03;03 87 21 90 04;www.pretapartir.fr;;;;
APV;Pret à Partir;Pret à Partir;11-13 rue du Grand Cerf;;57000;Metz;metz@pretapartir.fr;03 87 75 22 22;03 87 75 10 13;;;;;
APV;Marmara;Marmara;17 En Chaplerue;;57000;Mettz;metz@marmara.com;03 87 17 87 00;03 87 17 87 05;;;;;
APV;Marmara;Marmara;15 rue des Clercs;;57000;Metz;metz.nf@nouvelles-frontieres.fr;03 87 36 16 90;;;;;;
APV;VTF  l'esprit Vacances;;7 rue Charlemagne;;57000;Metz;stomsic@vf-vacances.com;03 87 63 14 33;03 87 63 18 92;;;;;
APV;L'TUR;;42 rue des Clercs;;57000;Metz;metz@ltur.fr;03 87 18 89 89;03 87 18 99 80;www.ltur-metz.fr;;;;
APV;Havas Voyages;Havas Voyages;27 rue de la Chèvre;;57000;Metz;jtagnon@havasvoyages.fr;03 87 76 33 18;03 87 18 97 59;;;;;
APV;ABP Voyages;;12 avenue leclerc de Hautecloque;;57000;Metz;abp-voyages@hotmail.fr;03 87 32 08 22;03 87 32 09 55;;;;;
APV;Euromoselleloisirs;;34 rue de l'Ancien-Hôpital;;57100;Thionville;thionville@euromoselle.fr;03 82 53 26 26;03 82 53 19 36;;;;;
APV;Havas Voyages;Havas Voyages;1 place Claude Arnoult;;57000;Thionville;ag.ltthionville.rl@havasvoyages.fr;03 82 59 84 30;03 82 59 84 31;www.havas-voyages.fr;;;;
APV;Voyages Eureka;;6 rue du Luxembourg;;57100;Thionville;thionville@voyages-eureka.fr;03 82 59 48 10;03 82 59 28 91;;;;;
APV;E.Leclerc Voyages;Leclerc Voyages;20 route d'Arlon;;57100;Thionville;thionville@leclercvoyages.com;03 82 59 50 10;03 82 59 50 11;;ima;;;
APV;Nouvelles Frontières;Nouvelles Frontières;Séc;;08000;Charleville-Mézières;charleville.nf@nouvelles-frontières.fr;03 24 37 50 50;03 24 37 66 88;;;;;
APV;Prêt à Partir;Pret à Partir;Route departementale 764;;08000;Villers-Semeuse;charleville@pretapartir.fr;03 24 58 43 80;03 24 58 43 82;www.pretapartir.fr;;;;
APV;Havas Voyages;Havas Voyages;46 rue Bourbon;;08000;Charleville-Mézières;idrumel@havasvoyages.fr;03 24 33 01 80;03 24 54 63 01;www.havas-voyages.fr;;;;
APV;Monde Actuel;;17 avenue Jean Jaurès;;08000;Charleville-Mézières;mondeactuelvoyages@orange,fr;03 24 59 02 53;03 24 59 20 30;www.mondeactuel.com;;;;
APV;Prêt à Partir;Pret à Partir;21 avenue Leclerc;;08200;Sedan;sedan@pretpartir.fr;03 24 42 40 67;03 24 42 40 68;www.pretapartir.fr;;;;
APV;Jacqueson Tourisme;;5 rue Colbert;;08300;Rethel;cdosnon@jacueson.net;03 24 38 51 71;03 24 38 07 90;;;;;
APV;R&G Voyages;;13 avenue Gambetta;;08000;Rethel;geraldine@rgvoyages.fr;03 24 39 66 43;;www.rgvoyages.fr;;;;
APV;Thomas Cook;Thomas Cook;29 cours Aristide Briand;;08000;Charleville-Mézières;charleville.mezieres@thomascook.fr;03 24 55 58 58;03 24 55 58 59;www.thomascook.fr;;;;
APV;Voyages Univairmer;;8 rue Labbey de Pompières;;02100;Saint-Quentin;desertbleu,voyages@univairmer,com;03 23 64 16 06;;www.voyages-univairmer.com;;;;
APV;Havas Voyages;Havas Voyages;;;02100;Saint-Quentin;vgrenot@havasvoyages.fr;;;;;;;
APV;Selectour Afat;Afat;12 rue des Toiles;;02100;Saint-Quentin;citra@selectourrafat.com;03 23 64 16 00;03 23 62 04 14;www.citra-voyages-selectour.com;;;;
APV;Thomas Cook;Thomas Cook;24-26 rue Saint André;;02100;Saint-Quentin;saint.quentin@thomascook.fr;03 23 06 60 60;03 23 62 61 03;www.thomascook.fr;;;;
APV;Thomas Cook;Thomas Cook;52 rue Carnot;;02400;Château-Thierry;pascale.rolle@thomascook.fr;03 23 69 63 23;03 23 69 03 51;www.thomascook.fr;;;;
