licence;iata;agence;Réseau;adresse;adresse2;adresse3;adresse4;BP;cp;ville;email;tel;fax;web;Contacts;;;;;;;;;
972950011;81600024;Richard Fléchon Voyages;(Selectour);111;113, rue Ernest Deproge;;;;97200;FORT-DE-FRANCE;riflev@wanadoo.fr;05 96 73 35 35;05 96 63 90 20;;Directeur général;Flechon Carl;;;;;;;;
074960001;20207795;Touriscar Voyages;(Selectour);"""La Manufacture""";16, rue de la République;;;;74000;ANNECY;annecy@touriscar.net;04 50 45 40 73;04 50 45 34 93;www.toorisme.com;Directeur;Bussat Marie-Laure;Directeur commercial;Pascal Frédéric;Chef d'agence;Prevignano Pernilla;;;;
38030004;;Brun Travel;;"""Le plâtre""";Chemin du Col de l'Arc;;;;38760;SAINT-PAUL-DE-VARCES;bruntravel@wanadoo.fr;04 76 73 27 89;04 76 72 22 14;www.brun-voyages-travel.fr;;;;;;;;;;
075950433;;GALERIES LAFAYETTE VOYAGES;;(B.H.V.) 9, rue des Archives;;;;;75004;PARIS;frabba@carlsonwagonlit.fr;01 42 78 38 91;01 42 74 16 92;;Chef d'agence;Rabba Fabienne;;;;;;;;
092030013;;Tourisme Verney Distribution;;(direction générale) 2, rue des Bourets;;;;;92150;SURESNES;;01 42 04 99 60;01 42 04 99 66;;;;;;;;;;;
059960025;20286346;Place Voyages;(Afat);(Jet Tours) C.C. place d'Armes;12, rue de la Halle;;;;59300;VALENCIENNES;place-jettours@placevoyages.com;03 27 20 17 17;03 27 42 70 68;;;;;;;;;;;
031950031;;Voyages 31;(Selectour);(Siège) 17, av. des Etats-Unis;;;;;31000;TOULOUSE;info@voyages31.com;05 62 72 99 99;05 62 72 99 98;;;;;;;;;;;
75010012;20249600;COMPAGNIES DU MONDE;;(siège) 19, rue Molière;;;;;75001;PARIS;;01 55 35 05 05;01 55 35 05 00;;;;;;;;;;;
093060001;;VSM;(Degrif'tours/Lastminute/Travelprice);(siège) 54-56, bd Victor-Hugo;;;;;93400;SAINT-OUEN;;01 49 21 67 90;01 49 21 67 91;www.lastminute.com;;;;;;;;;;
075950022;;SELECTOUR VOYAGES;;(siège) 6, rue Laferrière;;;;;75009;PARIS;;01 55 07 12 10;01 55 07 12 11;www.selectour.com;Directeur mkg/communication;Saur Bernard;;;;;;;;
