cp;nom;distance;P01-02;P03-04;P05-P06;P07-08;P09-12;P13-16;P17-31;P32-54
2300;Abbécourt;225;402;417;432;452;804;884;1015;1085
2800;Achery;154;269;284;299;319;538;591;695;752
2200;Acy;122;209;224;239;259;418;459;551;602
2340;Agnicourt-et-Séchelles;138;239;254;269;289;478;525;623;677
2190;Aguilcourt;98;164;179;194;214;328;360;443;489
2110;Aisonville-et-Bernoville;180;318;333;348;368;635;699;812;874
2820;Aizelles;112;190;205;220;240;380;418;506;555
2370;Aizy-Jouy;132;228;243;258;278;455;501;596;649
2240;Alaincourt;163;286;301;316;336;571;628;736;794
2320;Allemant;139;241;256;271;291;481;529;628;682
2290;Ambleny;139;241;256;271;291;481;529;628;682
2200;Ambrief;126;216;231;246;266;433;476;569;621
2190;Amifontaine;110;186;201;216;236;373;410;497;546
2700;Amigny-Rouy;166;291;306;321;341;583;641;749;808
2600;Ancienville;122;209;224;239;259;418;459;551;602
2800;Andelain;154;269;284;299;319;538;591;695;752
2800;Anguilcourt-le-Sart;149;259;274;289;309;519;571;673;728
2320;Anizy-le-Château;142;246;261;276;296;493;542;641;696
2480;Annois;183;323;338;353;373;646;711;826;888
2500;Any-Martin-Rieux;159;278;293;308;328;556;612;718;775
2360;Archon;139;241;256;271;291;481;529;628;682
2130;Arcy-Sainte-Restitue;125;214;229;244;264;429;472;565;616
2210;Armentières-sur-Ourcq;136;235;250;265;285;470;517;614;668
2860;Arrancy;116;198;213;228;248;395;435;524;574
2480;Artemps;174;306;321;336;356;613;674;785;846
2330;Artonges;76;123;138;153;173;245;270;344;386
2270;Assis-sur-Serre;152;265;280;295;315;530;583;686;743
2840;Athies-sous-Laon;135;233;248;263;283;466;513;610;663
2490;Attilly;178;314;329;344;364;628;690;803;864
2420;Aubencheul-aux-Bois;189;334;349;364;384;669;736;853;916
2500;Aubenton;155;271;286;301;321;541;595;700;757
2590;Aubigny-aux-Kaisnes;182;321;336;351;371;643;707;821;883
2820;Aubigny-en-Laonnois;113;192;207;222;242;384;422;511;560
2300;Audignicourt;151;263;278;293;313;526;579;682;738
2120;Audigny;166;291;306;321;341;583;641;749;808
2220;Augy;147;256;271;286;306;511;562;664;719
2000;Aulnois-sous-Laon;136;235;250;265;285;470;517;614;668
2250;Autremencourt;144;250;265;280;300;500;550;650;705
2580;Autreppes;170;299;314;329;349;598;657;767;827
2300;Autreville;169;297;312;327;347;594;653;763;822
2400;Azy-sur-Marne;94;156;171;186;206;313;344;425;471
2290;Bagneux;145;252;267;282;302;504;554;655;710
2140;Bancigny;148;258;273;288;308;515;567;668;724
2000;Barenton-Bugny;132;228;243;258;278;455;501;596;649
2000;Barenton-Cel;133;229;244;259;279;459;505;601;653
2270;Barenton-sur-Serre;136;235;250;265;285;470;517;614;668
2700;Barisis-aux-Bois;147;256;271;286;306;511;562;664;719
2170;Barzy-en-Thiérache;187;331;346;361;381;661;727;844;907
2850;Barzy-sur-Marne;82;134;149;164;184;268;294;371;414
2380;Bassoles-Aulers;146;254;269;284;304;508;558;659;714
2330;Baulne-en-Brie;70;111;126;141;161;223;245;317;358
2220;Bazoches-sur-Vesles;101;169;184;199;219;339;373;457;503
2500;Beaumé;156;273;288;303;323;545;600;704;761
2300;Beaumont-en-Beine;178;314;329;344;364;628;690;803;864
2110;Beaurevoir;193;342;357;372;392;684;752;871;935
2160;Beaurieux;113;192;207;222;242;384;422;511;560
2800;Beautor;157;274;289;304;324;549;604;709;766
2590;Beauvois-en-Vermandois;182;321;336;351;371;643;707;821;883
2110;Becquigny;187;331;346;361;381;661;727;844;907
2400;Belleau;133;229;244;259;279;459;505;601;653
2420;Bellenglise;183;323;338;353;373;646;711;826;888
2200;Belleu;128;220;235;250;270;440;484;578;630
2420;Bellicourt;187;331;346;361;381;661;727;844;907
2440;Benay;171;301;316;331;351;601;661;772;832
2450;Bergues-sur-Sambre;185;327;342;357;377;654;719;835;897
2250;Berlancourt;192;340;355;370;390;680;748;866;930
2340;Berlise;134;231;246;261;281;463;509;605;658
2120;Bernot;170;299;314;329;349;598;657;767;827
2290;Berny-Rivière;144;250;265;280;300;500;550;650;705
2820;Berrieux;112;190;205;220;240;380;418;506;555
2190;Berry-au-Bac;96;160;175;190;210;320;352;434;480
2800;Bertaucourt-Epourdon;155;271;286;301;321;541;595;700;757
2240;Berthenicourt;161;282;297;312;332;564;620;727;785
2190;Bertricourt;104;175;190;205;225;350;385;470;518
2200;Berzy-le-Sec;133;229;244;259;279;459;505;601;653
2300;Besmé;177;312;327;342;362;624;686;799;860
2500;Besmont;154;269;284;299;319;538;591;695;752
2870;Besny-et-Loizy;138;239;254;269;289;478;525;623;677
2300;Béthancourt-en-Vaux;174;306;321;336;356;613;674;785;846
2210;Beugneux;127;218;233;248;268;436;480;574;625
2130;Beuvardes;119;203;218;233;253;406;447;538;588
2310;Bézu-le-Guéry;105;177;192;207;227;354;389;475;522
2400;Bézu-Saint-Germain;126;216;231;246;266;433;476;569;621
2300;Bichancourt;171;301;316;331;351;601;661;772;832
2290;Bieuxy;141;244;259;274;294;489;538;637;691
2860;Bièvres;179;316;331;346;366;631;694;808;869
2200;Billy-sur-Aisne;122;209;224;239;259;418;459;551;602
2210;Billy-sur-Ourcq;147;256;271;286;306;511;562;664;719
2160;Blanzy-lès-Fismes;100;168;183;198;218;335;369;452;499
2300;Blérancourt;181;319;334;349;369;639;703;817;878
2400;Blesmes;93;154;169;184;204;309;340;421;466
2110;Bohain-en-Vermandois;183;323;338;353;373;646;711;826;888
2270;Bois-lès-Pargny;146;254;269;284;304;508;558;659;714
2350;Boncourt;146;254;269;284;304;508;558;659;714
2400;Bonneil;96;160;175;190;210;320;352;434;480
2400;Bonnesvalyn;132;228;243;258;278;455;501;596;649
2420;Bony;191;338;353;368;388;676;744;862;925
2250;Bosmont-sur-Serre;152;265;280;295;315;530;583;686;743
2860;Bouconville-Vauclair;114;194;209;224;244;388;426;515;564
2450;Boué;182;321;336;351;371;643;707;821;883
2160;Bouffignereux;100;168;183;198;218;335;369;452;499
2400;Bouresches;132;228;243;258;278;455;501;596;649
2160;Bourg-et-Comin;107;181;196;211;231;361;397;484;532
2300;Bourguignon-sous-Coucy;177;312;327;342;362;624;686;799;860
2000;Bourguignon-sous-Montbavin;146;254;269;284;304;508;558;659;714
2220;Braine;109;184;199;214;234;369;406;493;541
2320;Brancourt-en-Laonnois;142;246;261;276;296;493;542;641;696
2110;Brancourt-le-Grand;188;333;348;363;383;665;732;848;911
2400;Brasles;128;220;235;250;270;440;484;578;630
2480;Bray-Saint-Christophe;180;318;333;348;368;635;699;812;874
2880;Braye;127;218;233;248;268;436;480;574;625
2000;Braye-en-Laonnois;125;214;229;244;264;429;472;565;616
2140;Braye-en-Thiérache;143;248;263;278;298;496;546;646;700
2210;Brécy;135;233;248;263;283;466;513;610;663
2220;Brenelle;112;190;205;220;240;380;418;506;555
