cp;nom;distance;1-2;3-4;5-6;7-8;9-12;13-16;17-31;32-54
02300;Abbécourt;225;256;286;316;336;513;589;641;718
02800;Achery;154;179;209;239;259;359;412;448;502
02200;Acy;122;145;175;205;225;289;333;362;405
02340;Agnicourt-et-Séchelles;138;162;192;222;242;324;373;405;454
02190;Aguilcourt;98;119;149;179;199;237;273;297;332
02110;Aisonville-et-Bernoville;180;208;238;268;288;415;477;519;581
02820;Aizelles;112;134;164;194;214;268;308;335;375
02370;Aizy-Jouy;132;156;186;216;236;311;358;389;435
02240;Alaincourt;163;189;219;249;269;378;435;473;529
02320;Allemant;139;163;193;223;243;326;375;408;457
02290;Ambleny;139;163;193;223;243;326;375;408;457
02200;Ambrief;126;149;179;209;229;298;343;373;417
02190;Amifontaine;110;132;162;192;212;263;303;329;369
02700;Amigny-Rouy;166;192;222;252;272;385;442;481;539
02600;Ancienville;122;145;175;205;225;289;333;362;405
02800;Andelain;154;179;209;239;259;359;412;448;502
02800;Anguilcourt-le-Sart;149;174;204;234;254;348;400;435;487
02320;Anizy-le-Château;142;166;196;226;246;333;383;416;466
02480;Annois;183;211;241;271;291;422;485;527;590
02500;Any-Martin-Rieux;159;185;215;245;265;370;425;462;517
02360;Archon;139;163;193;223;243;326;375;408;457
02130;Arcy-Sainte-Restitue;125;148;178;208;228;296;340;370;414
02210;Armentières-sur-Ourcq;136;160;190;220;240;320;368;400;448
02860;Arrancy;116;138;168;198;218;276;318;345;387
02480;Artemps;174;201;231;261;281;402;462;503;563
02330;Artonges;76;95;125;155;175;190;218;237;266
02270;Assis-sur-Serre;152;177;207;237;257;354;407;443;496
02840;Athies-sous-Laon;135;159;189;219;239;318;365;397;445
02490;Attilly;178;205;235;265;285;411;472;513;575
02420;Aubencheul-aux-Bois;189;217;247;277;297;435;500;543;608
02500;Aubenton;155;180;210;240;260;361;415;451;505
02590;Aubigny-aux-Kaisnes;182;210;240;270;290;419;482;524;587
02820;Aubigny-en-Laonnois;113;135;165;195;215;270;310;337;378
02300;Audignicourt;151;176;206;236;256;352;405;440;493
