CP;Commune;Distance;1-2;3-4;5-6;7-8;9-12;13-16;17-31;32-54
2300;Abbécourt;225;256,25;286,25;316,25;336,25;512,5;589,375;640,625;717,5
2800;Achery;154;179,3333333;209,3333333;239,3333333;259,3333333;358,6666667;412,4666667;448,3333333;502,1333333
2200;Acy;122;144,6666667;174,6666667;204,6666667;224,6666667;289,3333333;332,7333333;361,6666667;405,0666667
2340;Agnicourt-et-Séchelles;138;162;192;222;242;324;372,6;405;453,6
2190;Aguilcourt;98;118,6666667;148,6666667;178,6666667;198,6666667;237,3333333;272,9333333;296,6666667;332,2666667
2110;Aisonville-et-Bernoville;180;207,5;237,5;267,5;287,5;415;477,25;518,75;581
2820;Aizelles;112;133,8333333;163,8333333;193,8333333;213,8333333;267,6666667;307,8166667;334,5833333;374,7333333
2370;Aizy-Jouy;132;155,5;185,5;215,5;235,5;311;357,65;388,75;435,4
2240;Alaincourt;163;189,0833333;219,0833333;249,0833333;269,0833333;378,1666667;434,8916667;472,7083333;529,4333333
2320;Allemant;139;163,0833333;193,0833333;223,0833333;243,0833333;326,1666667;375,0916667;407,7083333;456,6333333
2290;Ambleny;139;163,0833333;193,0833333;223,0833333;243,0833333;326,1666667;375,0916667;407,7083333;456,6333333
2200;Ambrief;126;149;179;209;229;298;342,7;372,5;417,2
2190;Amifontaine;110;131,6666667;161,6666667;191,6666667;211,6666667;263,3333333;302,8333333;329,1666667;368,6666667
2700;Amigny-Rouy;166;192,3333333;222,3333333;252,3333333;272,3333333;384,6666667;442,3666667;480,8333333;538,5333333
2600;Ancienville;122;144,6666667;174,6666667;204,6666667;224,6666667;289,3333333;332,7333333;361,6666667;405,0666667
2800;Andelain;154;179,3333333;209,3333333;239,3333333;259,3333333;358,6666667;412,4666667;448,3333333;502,1333333
2800;Anguilcourt-le-Sart;149;173,9166667;203,9166667;233,9166667;253,9166667;347,8333333;400,0083333;434,7916667;486,9666667
2320;Anizy-le-Château;142;166,3333333;196,3333333;226,3333333;246,3333333;332,6666667;382,5666667;415,8333333;465,7333333
2480;Annois;183;210,75;240,75;270,75;290,75;421,5;484,725;526,875;590,1
2500;Any-Martin-Rieux;159;184,75;214,75;244,75;264,75;369,5;424,925;461,875;517,3
2360;Archon;139;163,0833333;193,0833333;223,0833333;243,0833333;326,1666667;375,0916667;407,7083333;456,6333333
2130;Arcy-Sainte-Restitue;125;147,9166667;177,9166667;207,9166667;227,9166667;295,8333333;340,2083333;369,7916667;414,1666667
2210;Armentières-sur-Ourcq;136;159,8333333;189,8333333;219,8333333;239,8333333;319,6666667;367,6166667;399,5833333;447,5333333
2860;Arrancy;116;138,1666667;168,1666667;198,1666667;218,1666667;276,3333333;317,7833333;345,4166667;386,8666667
2480;Artemps;174;201;231;261;281;402;462,3;502,5;562,8
2330;Artonges;76;94,83333333;124,8333333;154,8333333;174,8333333;189,6666667;218,1166667;237,0833333;265,5333333
2270;Assis-sur-Serre;152;177,1666667;207,1666667;237,1666667;257,1666667;354,3333333;407,4833333;442,9166667;496,0666667
2840;Athies-sous-Laon;135;158,75;188,75;218,75;238,75;317,5;365,125;396,875;444,5
2490;Attilly;178;205,3333333;235,3333333;265,3333333;285,3333333;410,6666667;472,2666667;513,3333333;574,9333333
2420;Aubencheul-aux-Bois;189;217,25;247,25;277,25;297,25;434,5;499,675;543,125;608,3
2500;Aubenton;155;180,4166667;210,4166667;240,4166667;260,4166667;360,8333333;414,9583333;451,0416667;505,1666667
2590;Aubigny-aux-Kaisnes;182;209,6666667;239,6666667;269,6666667;289,6666667;419,3333333;482,2333333;524,1666667;587,0666667
2820;Aubigny-en-Laonnois;113;134,9166667;164,9166667;194,9166667;214,9166667;269,8333333;310,3083333;337,2916667;377,7666667
2300;Audignicourt;151;176,0833333;206,0833333;236,0833333;256,0833333;352,1666667;404,9916667;440,2083333;493,0333333
2120;Audigny;166;192,3333333;222,3333333;252,3333333;272,3333333;384,6666667;442,3666667;480,8333333;538,5333333
2220;Augy;147;171,75;201,75;231,75;251,75;343,5;395,025;429,375;480,9
