cp;nom;distance;P01-02;P03-04;P05-P06;P07-08;P09-12;P13-16;P17-31;P32-54
8300;Acy-Romance;105;182;192;202;212;364;400;517;593
8090;Aiglemont;160;285;295;305;315;570;627;764;861
8190;Aire;110;191;201;211;221;383;421;539;617
8310;Alincourt;100;173;183;193;203;345;380;494;569
8130;Alland'Huy-et-Sausseuil;125;219;229;239;249;439;483;607;690
8300;Amagne;120;210;220;230;240;420;462;584;666
8210;Amblimont;180;323;333;343;353;645;710;854;959
8130;Ambly-Fleury;120;210;220;230;240;420;462;584;666
8500;Anchamps;180;323;333;343;353;645;710;854;959
8450;Angecourt;175;313;323;333;343;626;689;832;934
8310;Annelles;110;191;201;211;221;383;421;539;617
8260;Antheny;155;276;286;296;306;551;606;742;837
8290;Aouste;145;257;267;277;287;514;565;697;788
8250;Apremont;130;229;239;249;259;458;503;629;715
8400;Ardeuil-et-Montfauxelles;90;154;164;174;184;308;338;449;520
8300;Arnicourt;115;201;211;221;231;401;441;562;642
8090;Arreux;160;285;295;305;315;570;627;764;861
8390;Artaise-le-Vivier;170;304;314;324;334;608;668;809;910
8190;Asfeld;110;191;201;211;221;383;421;539;617
8130;Attigny;110;191;201;211;221;383;421;539;617
8150;Aubigny-les-Pothées;145;257;267;277;287;514;565;697;788
8270;Auboncourt-Vauzelles;120;210;220;230;240;420;462;584;666
8320;Aubrives;200;360;370;380;390;720;792;944;1056
8370;Auflance;200;360;370;380;390;720;792;944;1056
8380;Auge;155;276;286;296;306;551;606;742;837
8400;Aure;85;144;154;164;174;289;318;427;495
8310;Aussonce;95;163;173;183;193;326;359;472;544
8240;Authe;120;210;220;230;240;420;462;584;666
8210;Autrecourt-et-Pourron;150;266;276;286;296;533;586;719;812
8240;Autruche;120;210;220;230;240;420;462;584;666
8250;Autry;105;182;192;202;212;364;400;517;593
8260;Auvillers-les-Forges;155;276;286;296;306;551;606;742;837
8300;Avançon;100;173;183;193;203;345;380;494;569
8190;Avaux;110;191;201;211;221;383;421;539;617
8160;Balaives-et-Butz;145;257;267;277;287;514;565;697;788
8200;Balan;170;304;314;324;334;608;668;809;910
8190;Balham;110;191;201;211;221;383;421;539;617
8400;Ballay;110;191;201;211;221;383;421;539;617
8220;Banogne-Recouvrance;120;210;220;230;240;420;462;584;666
8240;Bar-lès-Buzancy;120;210;220;230;240;420;462;584;666
8430;Barbaise;135;238;248;258;268;476;524;652;739
8300;Barby;110;191;201;211;221;383;421;539;617
8240;Bayonville;120;210;220;230;240;420;462;584;666
8140;Bazeilles;170;304;314;324;334;608;668;809;910
8430;Baâlons;140;248;258;268;278;495;545;674;764
8210;Beaumont-en-Argonne;145;257;267;277;287;514;565;697;788
8250;Beffu-et-le-Morthomme;115;201;211;221;231;401;441;562;642
8240;Belleville-et-Châtillon-sur-Bar;115;201;211;221;231;401;441;562;642
8090;Belval;130;229;239;249;259;458;503;629;715
8240;Belval-Bois-des-Dames;130;229;239;249;259;458;503;629;715
8300;Bergnicourt;95;163;173;183;193;326;359;472;544
8300;Bertoncourt;115;201;211;221;231;401;441;562;642
8300;Biermes;110;191;201;211;221;383;421;539;617
8310;Bignicourt;105;182;192;202;212;364;400;517;593
8370;Bièvres;170;304;314;324;334;608;668;809;910
8110;Blagny;185;332;342;352;362;664;730;877;983
8290;Blanchefosse-et-Bay;150;266;276;286;296;533;586;719;812
8190;Blanzy-la-Salonnaise;105;182;192;202;212;364;400;517;593
8260;Blombay;150;266;276;286;296;533;586;719;812
8120;Bogny-sur-Meuse;165;294;304;314;324;589;648;787;885
8350;Bosseval-et-Briancourt;165;294;304;314;324;589;648;787;885
8290;Bossus-lès-Rumigny;150;266;276;286;296;533;586;719;812
8250;Bouconville;100;173;183;193;203;345;380;494;569
8240;Boult-aux-Bois;115;201;211;221;231;401;441;562;642
8410;Boulzicourt;140;248;258;268;278;495;545;674;764
8400;Bourcq;100;173;183;193;203;345;380;494;569
8230;Bourg-Fidèle;175;313;323;333;343;626;689;832;934
8160;Boutancourt;150;266;276;286;296;533;586;719;812
8430;Bouvellemont;140;248;258;268;278;495;545;674;764
8190;Brienne-sur-Aisne;100;173;183;193;203;345;380;494;569
8240;Brieulles-sur-Bar;125;219;229;239;249;439;483;607;690
8240;Briquenay;115;201;211;221;231;401;441;562;642
8380;Brognon;165;294;304;314;324;589;648;787;885
8400;Brécy-Brières;100;173;183;193;203;345;380;494;569
8140;Brévilly;175;313;323;333;343;626;689;832;934
8450;Bulson;170;304;314;324;334;608;668;809;910
