CP;Commune;Distance;01-02;03-04;05-06;07-08;09-12;13-16 ;17-31 ;32-54
08300;Acy-Romance;105;204;219;229;244;408;469;570;651
08090;Aiglemont;160;318;333;343;358;635;730;842;946
08190;Aire;110;214;229;239;254;429;493;595;677
08310;Alincourt;100;194;209;219;234;388;446;545;624
08130;Alland'Huy-et-Sausseuil;125;245;260;270;285;491;564;669;758
08300;Amagne;120;235;250;260;275;470;541;644;731
08210;Amblimont;180;359;374;384;399;718;825;941;1053
08130;Ambly-Fleury;120;235;250;260;275;470;541;644;731
08500;Anchamps;180;359;374;384;399;718;825;941;1053
08450;Angecourt;175;348;363;373;388;697;801;916;1026
08310;Annelles;110;214;229;239;254;429;493;595;677
08260;Antheny;155;307;322;332;347;614;707;817;919
08290;Aouste;145;287;302;312;327;573;659;768;865
08250;Apremont;130;256;271;281;296;511;588;694;785
08400;Ardeuil-et-Montfauxelles;90;173;188;198;213;346;398;496;570
08300;Arnicourt;115;225;240;250;265;449;517;619;704
08090;Arreux;160;318;333;343;358;635;730;842;946
08390;Artaise-le-Vivier;170;338;353;363;378;676;778;892;999
08190;Asfeld;110;214;229;239;254;429;493;595;677
08130;Attigny;110;214;229;239;254;429;493;595;677
08150;Aubigny-les-Pothées;145;287;302;312;327;573;659;768;865
08270;Auboncourt-Vauzelles;120;235;250;260;275;470;541;644;731
08320;Aubrives;200;400;415;425;440;800;920;1040;1160
08370;Auflance;200;400;415;425;440;800;920;1040;1160
08380;Auge;155;307;322;332;347;614;707;817;919
08400;Aure;85;163;178;188;203;326;374;471;543
08310;Aussonce;95;183;198;208;223;367;422;520;597
08240;Authe;120;235;250;260;275;470;541;644;731
08210;Autrecourt-et-Pourron;150;297;312;322;337;594;683;793;892
08240;Autruche;120;235;250;260;275;470;541;644;731
08250;Autry;105;204;219;229;244;408;469;570;651
08260;Auvillers-les-Forges;155;307;322;332;347;614;707;817;919
08300;Avançon;100;194;209;219;234;388;446;545;624
08190;Avaux;110;214;229;239;254;429;493;595;677
08160;Balaives-et-Butz;145;287;302;312;327;573;659;768;865
08200;Balan;170;338;353;363;378;676;778;892;999
08190;Balham;110;214;229;239;254;429;493;595;677
08400;Ballay;110;214;229;239;254;429;493;595;677
08220;Banogne-Recouvrance;120;235;250;260;275;470;541;644;731
08240;Bar-lès-Buzancy;120;235;250;260;275;470;541;644;731
08430;Barbaise;135;266;281;291;306;532;612;718;811
08300;Barby;110;214;229;239;254;429;493;595;677
08240;Bayonville;120;235;250;260;275;470;541;644;731
08140;Bazeilles;170;338;353;363;378;676;778;892;999
08430;Baâlons;140;276;291;301;316;553;635;743;838
08210;Beaumont-en-Argonne;145;287;302;312;327;573;659;768;865
08250;Beffu-et-le-Morthomme;115;225;240;250;265;449;517;619;704
08240;Belleville-et-Châtillon-sur-Bar;115;225;240;250;265;449;517;619;704
08090;Belval;130;256;271;281;296;511;588;694;785
08240;Belval-Bois-des-Dames;130;256;271;281;296;511;588;694;785
08300;Bergnicourt;95;183;198;208;223;367;422;520;597
08300;Bertoncourt;115;225;240;250;265;449;517;619;704
08300;Biermes;110;214;229;239;254;429;493;595;677
08310;Bignicourt;105;204;219;229;244;408;469;570;651
08370;Bièvres;170;338;353;363;378;676;778;892;999
08110;Blagny;185;369;384;394;409;738;849;966;1080
08290;Blanchefosse-et-Bay;150;297;312;322;337;594;683;793;892
08190;Blanzy-la-Salonnaise;105;204;219;229;244;408;469;570;651
08260;Blombay;150;297;312;322;337;594;683;793;892
08120;Bogny-sur-Meuse;165;328;343;353;368;656;754;867;972
08350;Bosseval-et-Briancourt;165;328;343;353;368;656;754;867;972
08290;Bossus-lès-Rumigny;150;297;312;322;337;594;683;793;892
08250;Bouconville;100;194;209;219;234;388;446;545;624
08240;Boult-aux-Bois;115;225;240;250;265;449;517;619;704
08410;Boulzicourt;140;276;291;301;316;553;635;743;838
08400;Bourcq;100;194;209;219;234;388;446;545;624
08230;Bourg-Fidèle;175;348;363;373;388;697;801;916;1026
08160;Boutancourt;150;297;312;322;337;594;683;793;892
08430;Bouvellemont;140;276;291;301;316;553;635;743;838
08190;Brienne-sur-Aisne;100;194;209;219;234;388;446;545;624
08240;Brieulles-sur-Bar;125;245;260;270;285;491;564;669;758
08240;Briquenay;115;225;240;250;265;449;517;619;704
08380;Brognon;165;328;343;353;368;656;754;867;972
08400;Brécy-Brières;100;194;209;219;234;388;446;545;624
08140;Brévilly;175;348;363;373;388;697;801;916;1026
08450;Bulson;170;338;353;363;378;676;778;892;999
08240;Buzancy;120;235;250;260;275;470;541;644;731
08110;Carignan;185;369;384;394;409;738;849;966;1080
08310;Cauroy;95;183;198;208;223;367;422;520;597
08260;Cernion;145;287;302;312;327;573;659;768;865
