CP;Commune;Distance;1-2;3-4;5-6;7-8;9-12;13-16 ;17-31 ;32-54
08300;Acy-Romance;105;126;156;186;206;253;290;316;354
08090;Aiglemont;160;186;216;246;266;372;427;465;520
08190;Aire;110;132;162;192;212;263;303;329;369
08310;Alincourt;100;121;151;181;201;242;278;302;338
08130;Alland'Huy-et-Sausseuil;125;148;178;208;228;296;340;370;414
08300;Amagne;120;143;173;203;223;285;328;356;399
08210;Amblimont;180;208;238;268;288;415;477;519;581
08130;Ambly-Fleury;120;143;173;203;223;285;328;356;399
08500;Anchamps;180;208;238;268;288;415;477;519;581
08450;Angecourt;175;202;232;262;282;404;465;505;566
08310;Annelles;110;132;162;192;212;263;303;329;369
08260;Antheny;155;180;210;240;260;361;415;451;505
08290;Aouste;145;170;200;230;250;339;390;424;475
08250;Apremont;130;153;183;213;233;307;353;383;429
08400;Ardeuil-et-Montfauxelles;90;110;140;170;190;220;253;275;308
08300;Arnicourt;115;137;167;197;217;274;315;343;384
08090;Arreux;160;186;216;246;266;372;427;465;520
08390;Artaise-le-Vivier;170;197;227;257;277;393;452;492;551
08190;Asfeld;110;132;162;192;212;263;303;329;369
08130;Attigny;110;132;162;192;212;263;303;329;369
08150;Aubigny-les-Pothées;145;170;200;230;250;339;390;424;475
08270;Auboncourt-Vauzelles;120;143;173;203;223;285;328;356;399
08320;Aubrives;200;229;259;289;309;458;527;573;642
08370;Auflance;200;229;259;289;309;458;527;573;642
08380;Auge;155;180;210;240;260;361;415;451;505
08400;Aure;85;105;135;165;185;209;241;261;293
08310;Aussonce;95;115;145;175;195;231;265;289;323
08240;Authe;120;143;173;203;223;285;328;356;399
08210;Autrecourt-et-Pourron;150;175;205;235;255;350;403;438;490
08240;Autruche;120;143;173;203;223;285;328;356;399
08250;Autry;105;126;156;186;206;253;290;316;354
08260;Auvillers-les-Forges;155;180;210;240;260;361;415;451;505
08300;Avançon;100;121;151;181;201;242;278;302;338
08190;Avaux;110;132;162;192;212;263;303;329;369
08160;Balaives-et-Butz;145;170;200;230;250;339;390;424;475
08200;Balan;170;197;227;257;277;393;452;492;551
08190;Balham;110;132;162;192;212;263;303;329;369
08400;Ballay;110;132;162;192;212;263;303;329;369
08220;Banogne-Recouvrance;120;143;173;203;223;285;328;356;399
08240;Bar-lès-Buzancy;120;143;173;203;223;285;328;356;399
08430;Barbaise;135;159;189;219;239;318;365;397;445
08300;Barby;110;132;162;192;212;263;303;329;369
08240;Bayonville;120;143;173;203;223;285;328;356;399
08140;Bazeilles;170;197;227;257;277;393;452;492;551
08430;Baâlons;140;164;194;224;244;328;378;410;460
08210;Beaumont-en-Argonne;145;170;200;230;250;339;390;424;475
08250;Beffu-et-le-Morthomme;115;137;167;197;217;274;315;343;384
08240;Belleville-et-Châtillon-sur-Bar;115;137;167;197;217;274;315;343;384
08090;Belval;130;153;183;213;233;307;353;383;429
08240;Belval-Bois-des-Dames;130;153;183;213;233;307;353;383;429
08300;Bergnicourt;95;115;145;175;195;231;265;289;323
08300;Bertoncourt;115;137;167;197;217;274;315;343;384
08300;Biermes;110;132;162;192;212;263;303;329;369
08310;Bignicourt;105;126;156;186;206;253;290;316;354
08370;Bièvres;170;197;227;257;277;393;452;492;551
08110;Blagny;185;213;243;273;293;426;490;532;596
08290;Blanchefosse-et-Bay;150;175;205;235;255;350;403;438;490
08190;Blanzy-la-Salonnaise;105;126;156;186;206;253;290;316;354
08260;Blombay;150;175;205;235;255;350;403;438;490
08120;Bogny-sur-Meuse;165;191;221;251;271;383;440;478;536
08350;Bosseval-et-Briancourt;165;191;221;251;271;383;440;478;536
08290;Bossus-lès-Rumigny;150;175;205;235;255;350;403;438;490
08250;Bouconville;100;121;151;181;201;242;278;302;338
08240;Boult-aux-Bois;115;137;167;197;217;274;315;343;384
08410;Boulzicourt;140;164;194;224;244;328;378;410;460
08400;Bourcq;100;121;151;181;201;242;278;302;338
08230;Bourg-Fidèle;175;202;232;262;282;404;465;505;566
08160;Boutancourt;150;175;205;235;255;350;403;438;490
08430;Bouvellemont;140;164;194;224;244;328;378;410;460
08190;Brienne-sur-Aisne;100;121;151;181;201;242;278;302;338
08240;Brieulles-sur-Bar;125;148;178;208;228;296;340;370;414
08240;Briquenay;115;137;167;197;217;274;315;343;384
08380;Brognon;165;191;221;251;271;383;440;478;536
08400;Brécy-Brières;100;121;151;181;201;242;278;302;338
08140;Brévilly;175;202;232;262;282;404;465;505;566
08450;Bulson;170;197;227;257;277;393;452;492;551
08240;Buzancy;120;143;173;203;223;285;328;356;399
08110;Carignan;185;213;243;273;293;426;490;532;596
08310;Cauroy;95;115;145;175;195;231;265;289;323
08260;Cernion;145;170;200;230;250;339;390;424;475
08430;Chagny;145;170;200;230;250;339;390;424;475
08160;Chalandry-Elaire;145;170;200;230;250;339;390;424;475
08400;Challerange;100;121;151;181;201;242;278;302;338
08430;Champigneul-sur-Vence;145;170;200;230;250;339;390;424;475
08250;Champigneulle;115;137;167;197;217;274;315;343;384
08260;Champlin;155;180;210;240;260;361;415;451;505
08220;Chappes;125;148;178;208;228;296;340;370;414
08130;Charbogne;110;132;162;192;212;263;303;329;369
08400;Chardeny;100;121;151;181;201;242;278;302;338
08000;Charleville-Mézières;155;180;210;240;260;361;415;451;505
08600;Charnois;210;240;270;300;320;480;552;600;672
08250;Chatel-Chéhéry;130;153;183;213;233;307;353;383;429
08220;Chaumont-Porcien;125;148;178;208;228;296;340;370;414
08270;Chesnois-Auboncourt;130;153;183;213;233;307;353;383;429
08350;Cheveuges;165;191;221;251;271;383;440;478;536
08250;Chevières;110;132;162;192;212;263;303;329;369
08260;Chilly;150;175;205;235;255;350;403;438;490
08600;Chooz;205;235;265;295;315;469;540;586;657
08130;Chuffilly-Roche;105;126;156;186;206;253;290;316;354
08360;Château-Porcien;110;132;162;192;212;263;303;329;369
08350;Chéhéry;130;153;183;213;233;307;353;383;429
08450;Chémery-sur-Bar;140;164;194;224;244;328;378;410;460
08460;Clavy-Warby;145;170;200;230;250;339;390;424;475
08090;Cliron;160;186;216;246;266;372;427;465;520
08250;Condé-lès-Autry;115;137;167;197;217;274;315;343;384
08360;Condé-lès-Herpy;110;132;162;192;212;263;303;329;369
08400;Contreuve;95;115;145;175;195;231;265;289;323
08250;Cornay;135;159;189;219;239;318;365;397;445
08270;Corny-Machéroménil;120;143;173;203;223;285;328;356;399
08300;Coucy;115;137;167;197;217;274;315;343;384
08130;Coulommes-et-Marqueny;105;126;156;186;206;253;290;316;354
08140;Daigny;170;197;227;257;277;393;452;492;551
08090;Damouzy;155;180;210;240;260;361;415;451;505
08800;Deville;170;197;227;257;277;393;452;492;551
08160;Dom-le-Mesnil;150;175;205;235;255;350;403;438;490
08460;Dommery;140;164;194;224;244;328;378;410;460
08350;Donchery;160;186;216;246;266;372;427;465;520
08220;Doumely-Bégny;125;148;178;208;228;296;340;370;414
08300;Doux;110;132;162;192;212;263;303;329;369
08140;Douzy;175;202;232;262;282;404;465;505;566
08220;Draize;130;153;183;213;233;307;353;383;429
08310;Dricourt;105;126;156;186;206;253;290;316;354
08110;Escombres-et-le-Chesnois;180;208;238;268;288;415;477;519;581
08260;Estrebay;150;175;205;235;255;350;403;438;490
08210;Euilly-et-Lombut;185;213;243;273;293;426;490;532;596
08250;Exermont;135;159;189;219;239;318;365;397;445
08090;Fagnon;145;170;200;230;250;339;390;424;475
08270;Faissault;125;148;178;208;228;296;340;370;414
08400;Falaise;105;126;156;186;206;253;290;316;354
08260;Flaignes-Havys;150;175;205;235;255;350;403;438;490
08200;Fleigneux;170;197;227;257;277;393;452;492;551
08380;Fligny;160;186;216;246;266;372;427;465;520
08160;Flize;150;175;205;235;255;350;403;438;490
08200;Floing;165;191;221;251;271;383;440;478;536
08250;Fléville;135;159;189;219;239;318;365;397;445
08600;Foisches;205;235;265;295;315;469;540;586;657
08240;Fossé;125;148;178;208;228;296;340;370;414
