CP;Commune;Distance;01-févr;03-avr;05-juin;07-août;09-déc;13-16 ;17-31 ;32-54
8300;Acy-Romance;105;204;219;229;244;408;469;570;651
8090;Aiglemont;160;318;333;343;358;635;730;842;946
8190;Aire;110;214;229;239;254;429;493;595;677
8310;Alincourt;100;194;209;219;234;388;446;545;624
8130;Alland'Huy-et-Sausseuil;125;245;260;270;285;491;564;669;758
8300;Amagne;120;235;250;260;275;470;541;644;731
8210;Amblimont;180;359;374;384;399;718;825;941;1053
8130;Ambly-Fleury;120;235;250;260;275;470;541;644;731
8500;Anchamps;180;359;374;384;399;718;825;941;1053
8450;Angecourt;175;348;363;373;388;697;801;916;1026
8310;Annelles;110;214;229;239;254;429;493;595;677
8260;Antheny;155;307;322;332;347;614;707;817;919
8290;Aouste;145;287;302;312;327;573;659;768;865
8250;Apremont;130;256;271;281;296;511;588;694;785
8400;Ardeuil-et-Montfauxelles;90;173;188;198;213;346;398;496;570
8300;Arnicourt;115;225;240;250;265;449;517;619;704
8090;Arreux;160;318;333;343;358;635;730;842;946
8390;Artaise-le-Vivier;170;338;353;363;378;676;778;892;999
8190;Asfeld;110;214;229;239;254;429;493;595;677
8130;Attigny;110;214;229;239;254;429;493;595;677
8150;Aubigny-les-Pothées;145;287;302;312;327;573;659;768;865
8270;Auboncourt-Vauzelles;120;235;250;260;275;470;541;644;731
8320;Aubrives;200;400;415;425;440;800;920;1040;1160
8370;Auflance;200;400;415;425;440;800;920;1040;1160
8380;Auge;155;307;322;332;347;614;707;817;919
8400;Aure;85;163;178;188;203;326;374;471;543
8310;Aussonce;95;183;198;208;223;367;422;520;597
8240;Authe;120;235;250;260;275;470;541;644;731
8210;Autrecourt-et-Pourron;150;297;312;322;337;594;683;793;892
8240;Autruche;120;235;250;260;275;470;541;644;731
8250;Autry;105;204;219;229;244;408;469;570;651
8260;Auvillers-les-Forges;155;307;322;332;347;614;707;817;919
8300;Avançon;100;194;209;219;234;388;446;545;624
8190;Avaux;110;214;229;239;254;429;493;595;677
8160;Balaives-et-Butz;145;287;302;312;327;573;659;768;865
8200;Balan;170;338;353;363;378;676;778;892;999
8190;Balham;110;214;229;239;254;429;493;595;677
8400;Ballay;110;214;229;239;254;429;493;595;677
8220;Banogne-Recouvrance;120;235;250;260;275;470;541;644;731
8240;Bar-lès-Buzancy;120;235;250;260;275;470;541;644;731
8430;Barbaise;135;266;281;291;306;532;612;718;811
8300;Barby;110;214;229;239;254;429;493;595;677
8240;Bayonville;120;235;250;260;275;470;541;644;731
8140;Bazeilles;170;338;353;363;378;676;778;892;999
8430;Baâlons;140;276;291;301;316;553;635;743;838
8210;Beaumont-en-Argonne;145;287;302;312;327;573;659;768;865
8250;Beffu-et-le-Morthomme;115;225;240;250;265;449;517;619;704
8240;Belleville-et-Châtillon-sur-Bar;115;225;240;250;265;449;517;619;704
8090;Belval;130;256;271;281;296;511;588;694;785
8240;Belval-Bois-des-Dames;130;256;271;281;296;511;588;694;785
8300;Bergnicourt;95;183;198;208;223;367;422;520;597
8300;Bertoncourt;115;225;240;250;265;449;517;619;704
8300;Biermes;110;214;229;239;254;429;493;595;677
8310;Bignicourt;105;204;219;229;244;408;469;570;651
8370;Bièvres;170;338;353;363;378;676;778;892;999
8110;Blagny;185;369;384;394;409;738;849;966;1080
8290;Blanchefosse-et-Bay;150;297;312;322;337;594;683;793;892
8190;Blanzy-la-Salonnaise;105;204;219;229;244;408;469;570;651
8260;Blombay;150;297;312;322;337;594;683;793;892
8120;Bogny-sur-Meuse;165;328;343;353;368;656;754;867;972
8350;Bosseval-et-Briancourt;165;328;343;353;368;656;754;867;972
8290;Bossus-lès-Rumigny;150;297;312;322;337;594;683;793;892
8250;Bouconville;100;194;209;219;234;388;446;545;624
8240;Boult-aux-Bois;115;225;240;250;265;449;517;619;704
8410;Boulzicourt;140;276;291;301;316;553;635;743;838
8400;Bourcq;100;194;209;219;234;388;446;545;624
8230;Bourg-Fidèle;175;348;363;373;388;697;801;916;1026
8160;Boutancourt;150;297;312;322;337;594;683;793;892
8430;Bouvellemont;140;276;291;301;316;553;635;743;838
8190;Brienne-sur-Aisne;100;194;209;219;234;388;446;545;624
8240;Brieulles-sur-Bar;125;245;260;270;285;491;564;669;758
8240;Briquenay;115;225;240;250;265;449;517;619;704
8380;Brognon;165;328;343;353;368;656;754;867;972
8400;Brécy-Brières;100;194;209;219;234;388;446;545;624
8140;Brévilly;175;348;363;373;388;697;801;916;1026
8450;Bulson;170;338;353;363;378;676;778;892;999
8240;Buzancy;120;235;250;260;275;470;541;644;731
8110;Carignan;185;369;384;394;409;738;849;966;1080
8310;Cauroy;95;183;198;208;223;367;422;520;597
8260;Cernion;145;287;302;312;327;573;659;768;865
8430;Chagny;145;287;302;312;327;573;659;768;865
8160;Chalandry-Elaire;145;287;302;312;327;573;659;768;865
8400;Challerange;100;194;209;219;234;388;446;545;624
8430;Champigneul-sur-Vence;145;287;302;312;327;573;659;768;865
8250;Champigneulle;115;225;240;250;265;449;517;619;704
8260;Champlin;155;307;322;332;347;614;707;817;919
