CP;Commune;Distance;1-2;3-4 ;5-6 ;7-8 ;9-12 ;13-16 ;17-31 ;32-54 
8300;Acy-Romance;105;126,25;156,25;186,25;206,25;252,5;290,375;315,625;353,5
8090;Aiglemont;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
8190;Aire;110;131,6666667;161,6666667;191,6666667;211,6666667;263,3333333;302,8333333;329,1666667;368,6666667
8310;Alincourt;100;120,8333333;150,8333333;180,8333333;200,8333333;241,6666667;277,9166667;302,0833333;338,3333333
8130;Alland'Huy-et-Sausseuil;125;147,9166667;177,9166667;207,9166667;227,9166667;295,8333333;340,2083333;369,7916667;414,1666667
8300;Amagne;120;142,5;172,5;202,5;222,5;285;327,75;356,25;399
8210;Amblimont;180;207,5;237,5;267,5;287,5;415;477,25;518,75;581
8130;Ambly-Fleury;120;142,5;172,5;202,5;222,5;285;327,75;356,25;399
8500;Anchamps;180;207,5;237,5;267,5;287,5;415;477,25;518,75;581
8450;Angecourt;175;202,0833333;232,0833333;262,0833333;282,0833333;404,1666667;464,7916667;505,2083333;565,8333333
8310;Annelles;110;131,6666667;161,6666667;191,6666667;211,6666667;263,3333333;302,8333333;329,1666667;368,6666667
8260;Antheny;155;180,4166667;210,4166667;240,4166667;260,4166667;360,8333333;414,9583333;451,0416667;505,1666667
8290;Aouste;145;169,5833333;199,5833333;229,5833333;249,5833333;339,1666667;390,0416667;423,9583333;474,8333333
8250;Apremont;130;153,3333333;183,3333333;213,3333333;233,3333333;306,6666667;352,6666667;383,3333333;429,3333333
8400;Ardeuil-et-Montfauxelles;90;110;140;170;190;220;253;275;308
8300;Arnicourt;115;137,0833333;167,0833333;197,0833333;217,0833333;274,1666667;315,2916667;342,7083333;383,8333333
8090;Arreux;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
8390;Artaise-le-Vivier;170;196,6666667;226,6666667;256,6666667;276,6666667;393,3333333;452,3333333;491,6666667;550,6666667
8190;Asfeld;110;131,6666667;161,6666667;191,6666667;211,6666667;263,3333333;302,8333333;329,1666667;368,6666667
8130;Attigny;110;131,6666667;161,6666667;191,6666667;211,6666667;263,3333333;302,8333333;329,1666667;368,6666667
8150;Aubigny-les-Pothées;145;169,5833333;199,5833333;229,5833333;249,5833333;339,1666667;390,0416667;423,9583333;474,8333333
8270;Auboncourt-Vauzelles;120;142,5;172,5;202,5;222,5;285;327,75;356,25;399
8320;Aubrives;200;229,1666667;259,1666667;289,1666667;309,1666667;458,3333333;527,0833333;572,9166667;641,6666667
8370;Auflance;200;229,1666667;259,1666667;289,1666667;309,1666667;458,3333333;527,0833333;572,9166667;641,6666667
8380;Auge;155;180,4166667;210,4166667;240,4166667;260,4166667;360,8333333;414,9583333;451,0416667;505,1666667
8400;Aure;85;104,5833333;134,5833333;164,5833333;184,5833333;209,1666667;240,5416667;261,4583333;292,8333333
8310;Aussonce;95;115,4166667;145,4166667;175,4166667;195,4166667;230,8333333;265,4583333;288,5416667;323,1666667
8240;Authe;120;142,5;172,5;202,5;222,5;285;327,75;356,25;399
8210;Autrecourt-et-Pourron;150;175;205;235;255;350;402,5;437,5;490
8240;Autruche;120;142,5;172,5;202,5;222,5;285;327,75;356,25;399
8250;Autry;105;126,25;156,25;186,25;206,25;252,5;290,375;315,625;353,5
8260;Auvillers-les-Forges;155;180,4166667;210,4166667;240,4166667;260,4166667;360,8333333;414,9583333;451,0416667;505,1666667
8300;Avançon;100;120,8333333;150,8333333;180,8333333;200,8333333;241,6666667;277,9166667;302,0833333;338,3333333
8190;Avaux;110;131,6666667;161,6666667;191,6666667;211,6666667;263,3333333;302,8333333;329,1666667;368,6666667
8160;Balaives-et-Butz;145;169,5833333;199,5833333;229,5833333;249,5833333;339,1666667;390,0416667;423,9583333;474,8333333
8200;Balan;170;196,6666667;226,6666667;256,6666667;276,6666667;393,3333333;452,3333333;491,6666667;550,6666667
8190;Balham;110;131,6666667;161,6666667;191,6666667;211,6666667;263,3333333;302,8333333;329,1666667;368,6666667
8400;Ballay;110;131,6666667;161,6666667;191,6666667;211,6666667;263,3333333;302,8333333;329,1666667;368,6666667
8220;Banogne-Recouvrance;120;142,5;172,5;202,5;222,5;285;327,75;356,25;399
8240;Bar-lès-Buzancy;120;142,5;172,5;202,5;222,5;285;327,75;356,25;399
8430;Barbaise;135;158,75;188,75;218,75;238,75;317,5;365,125;396,875;444,5
8300;Barby;110;131,6666667;161,6666667;191,6666667;211,6666667;263,3333333;302,8333333;329,1666667;368,6666667
8240;Bayonville;120;142,5;172,5;202,5;222,5;285;327,75;356,25;399
8140;Bazeilles;170;196,6666667;226,6666667;256,6666667;276,6666667;393,3333333;452,3333333;491,6666667;550,6666667
8430;Baâlons;140;164,1666667;194,1666667;224,1666667;244,1666667;328,3333333;377,5833333;410,4166667;459,6666667
8210;Beaumont-en-Argonne;145;169,5833333;199,5833333;229,5833333;249,5833333;339,1666667;390,0416667;423,9583333;474,8333333
8250;Beffu-et-le-Morthomme;115;137,0833333;167,0833333;197,0833333;217,0833333;274,1666667;315,2916667;342,7083333;383,8333333
8240;Belleville-et-Châtillon-sur-Bar;115;137,0833333;167,0833333;197,0833333;217,0833333;274,1666667;315,2916667;342,7083333;383,8333333
8090;Belval;130;153,3333333;183,3333333;213,3333333;233,3333333;306,6666667;352,6666667;383,3333333;429,3333333
8240;Belval-Bois-des-Dames;130;153,3333333;183,3333333;213,3333333;233,3333333;306,6666667;352,6666667;383,3333333;429,3333333
8300;Bergnicourt;95;115,4166667;145,4166667;175,4166667;195,4166667;230,8333333;265,4583333;288,5416667;323,1666667
8300;Bertoncourt;115;137,0833333;167,0833333;197,0833333;217,0833333;274,1666667;315,2916667;342,7083333;383,8333333
