cp;nom;distance;P01-02;P03-04;P05-P06;P07-08;P09-12;P13-16;P17-31;P32-54
21700;Agencourt;262;471;486;501;521;943;1037;1181;1258
21410;Agey;217;387;402;417;437;774;851;979;1047
21121;Ahuy;220;393;408;423;443;785;864;992;1061
21510;Aignay le duc;169;297;312;327;347;594;653;763;822
21110;Aiserey;252;453;468;483;503;905;996;1136;1211
21400;Aisey sur seine;151;263;278;293;313;526;579;682;738
21390;Aisy sous thil;201;357;372;387;407;714;785;907;972
21150;Alise ste reine;184;325;340;355;375;650;715;830;893
21230;Allerey;233;417;432;447;467;834;917;1051;1122
21420;Aloxe corton;263;473;488;503;523;946;1041;1186;1263
21450;Ampilly les bordes;167;293;308;323;343;586;645;754;813
21400;Ampilly le sec;143;248;263;278;298;496;546;646;700
21410;Ancey;214;381;396;411;431;763;839;965;1033
21360;Antheuil;242;434;449;464;484;868;954;1091;1164
21230;Antigny la ville;246;441;456;471;491;883;971;1109;1183
21310;Arceau;223;398;413;428;448;796;876;1006;1075
21700;Arcenant;270;486;501;516;536;973;1070;1217;1296
21410;Arcey;299;541;556;571;591;1081;1189;1348;1432
21320;Arconcey;236;423;438;453;473;845;930;1064;1136
21560;Arc sur tille;229;409;424;439;459;819;901;1033;1103
21700;Argilly;269;484;499;514;534;969;1066;1213;1291
21230;Arnay le duc;239;428;443;458;478;856;942;1078;1150
21350;Arnay sous vitteaux;194;344;359;374;394;688;756;875;939
21500;Arrans;154;269;284;299;319;538;591;695;752
21500;Asnieres en montagne;154;269;284;299;319;538;591;695;752
21380;Asnieres les dijon;225;402;417;432;452;804;884;1015;1085
21130;Athee;260;468;483;498;518;935;1029;1172;1249
21500;Athie;171;301;316;331;351;601;661;772;832
21360;Aubaine;242;434;449;464;484;868;954;1091;1164
21170;Aubigny en plaine;256;460;475;490;510;920;1012;1154;1230
21340;Aubigny la ronce;262;471;486;501;521;943;1037;1181;1258
21540;Aubigny les sombernon;214;381;396;411;431;763;839;965;1033
21570;Autricourt;121;207;222;237;257;414;455;547;597
21250;Auvillars sur saone;275;496;511;526;546;991;1090;1240;1319
21360;Auxant;240;430;445;460;480;860;946;1082;1155
21190;Auxey duresses;287;518;533;548;568;1036;1140;1294;1375
21130;Auxonne;258;464;479;494;514;928;1020;1163;1239
21120;Avelanges;199;353;368;383;403;706;777;898;963
21350;Avosnes;209;372;387;402;422;744;818;943;1010
21580;Avot;190;336;351;366;386;673;740;857;921
21700;Bagnot;272;490;505;520;540;980;1078;1226;1305
21450;Baigneux les juifs;173;304;319;334;354;609;670;781;841
21330;Balot;142;246;261;276;296;493;542;641;696
21410;Barbirey sur ouche;243;436;451;466;486;871;958;1096;1169
21430;Bard le regulier;220;393;408;423;443;785;864;992;1061
21460;Bard les epoisses;177;312;327;342;362;624;686;799;860
21910;Barges;250;449;464;479;499;898;987;1127;1202
21580;Barjon;187;331;346;361;381;661;727;844;907
21340;Baubigny;268;483;498;513;533;965;1062;1208;1286
21410;Baulme la roche;208;370;385;400;420;740;814;938;1005
21510;Beaulieu;169;297;312;327;347;594;653;763;822
21310;Beaumont sur vingeanne;228;408;423;438;458;815;897;1028;1099
21200;Beaune;277;499;514;529;549;999;1099;1249;1328
21510;Beaunotte;167;293;308;323;343;586;645;754;813
21310;Beire le chatel;220;393;408;423;443;785;864;992;1061
21110;Beire le fort;248;445;460;475;495;890;979;1118;1193
21570;Belan sur ource;132;228;243;258;278;455;501;596;649
21490;Bellefond;226;404;419;434;454;808;888;1019;1089
21310;Belleneuve;237;424;439;454;474;849;934;1069;1141
21510;Bellenod sur seine;161;282;297;312;332;564;620;727;785
21320;Bellenot sous pouilly;219;391;406;421;441;781;859;988;1057
21290;Beneuvre;174;306;321;336;356;613;674;785;846
21500;Benoisey;178;314;329;344;364;628;690;803;864
21360;Bessey en chaume;252;453;468;483;503;905;996;1136;1211
21360;Bessey la cour;245;439;454;469;489;879;967;1105;1178
21110;Bessey les citeaux;254;456;471;486;506;913;1004;1145;1221
21320;Beurey bauguay;220;393;408;423;443;785;864;992;1061
21350;Beurizot;215;383;398;413;433;766;843;970;1038
21220;Bevy;272;490;505;520;540;980;1078;1226;1305
21310;Beze;217;387;402;417;437;774;851;979;1047
21310;Bezouotte;228;408;423;438;458;815;897;1028;1099
21390;Bierre les semur;196;348;363;378;398;695;765;884;949
21130;Billey;266;479;494;509;529;958;1053;1199;1277
21450;Billy les chanceaux;179;316;331;346;366;631;694;808;869
21270;Binges;236;423;438;453;473;845;930;1064;1136
21520;Bissey la cote;146;254;269;284;304;508;558;659;714
21330;Bissey la pierre;141;244;259;274;294;489;538;637;691
21310;Blagny sur vingeanne;228;408;423;438;458;815;897;1028;1099
21540;Blaisy bas;204;363;378;393;413;725;798;920;986
21540;Blaisy haut;204;363;378;393;413;725;798;920;986
21320;Blancey;220;393;408;423;443;785;864;992;1061
21430;Blanot;218;389;404;419;439;778;855;983;1052
21690;Blessey;185;327;342;357;377;654;719;835;897
21440;Bligny le sec;190;336;351;366;386;673;740;857;921
21200;Bligny les beaune;281;507;522;537;557;1014;1115;1267;1347
21360;Bligny sur ouche;243;436;451;466;486;871;958;1096;1169
21700;Boncourt le bois;262;471;486;501;521;943;1037;1181;1258
21250;Bonnencontre;263;473;488;503;523;946;1041;1186;1263
21520;Boudreville;142;246;261;276;296;493;542;641;696
21360;Bouhey;242;434;449;464;484;868;954;1091;1164
21420;Bouilland;249;447;462;477;497;894;983;1123;1197
21330;Bouix;133;229;244;259;279;459;505;601;653
21610;Bourberain;218;389;404;419;439;778;855;983;1052
21250;Bousselange;292;528;543;558;578;1055;1161;1316;1399
21260;Boussenois;217;387;402;417;437;774;851;979;1047
21350;Boussey;204;363;378;393;413;725;798;920;986
21690;Boux sous salmaise;191;338;353;368;388;676;744;862;925
21200;Bouze les beaune;284;513;528;543;563;1025;1128;1280;1361
21350;Brain;202;359;374;389;409;718;789;911;977
21390;Braux;200;355;370;385;405;710;781;902;968
21430;Brazey en morvan;216;385;400;415;435;770;847;974;1043
21470;Brazey en plaine;257;462;477;492;512;924;1016;1159;1235
21400;Bremur et vaurois;155;271;286;301;321;541;595;700;757
21560;Bressey sur tille;233;417;432;447;467;834;917;1051;1122
21110;Bretenieres;245;439;454;469;489;879;967;1105;1178
21490;Bretigny;224;400;415;430;450;800;880;1010;1080
21390;Brianny;206;366;381;396;416;733;806;929;996
21570;Brion sur ource;149;259;274;289;309;519;571;673;728
21220;Brochon;250;449;464;479;499;898;987;1127;1202
21490;Brognon;224;400;415;430;450;800;880;1010;1080
21250;Broin;276;498;513;528;548;995;1095;1244;1324
21220;Broindon;253;454;469;484;504;909;1000;1141;1216
21500;Buffon;159;278;293;308;328;556;612;718;775
21400;Buncey;141;244;259;274;294;489;538;637;691
21290;Bure les templiers;167;293;308;323;343;586;645;754;813
21510;Busseaut;158;276;291;306;326;553;608;713;771
21580;Busserotte montenaille;186;329;344;359;379;658;723;839;902
21580;Bussieres;180;318;333;348;368;635;699;812;874
21360;La bussiere sur ouche;246;441;456;471;491;883;971;1109;1183
21540;Bussy la pesle;212;378;393;408;428;755;831;956;1024
21150;Bussy le grand;172;303;318;333;353;605;666;776;836
21290;Buxerolles;169;297;312;327;347;594;653;763;822
21430;Censerey;216;385;400;415;435;770;847;974;1043
21330;Cerilly;136;235;250;265;285;470;517;614;668
21110;Cessey sur tille;238;426;441;456;476;853;938;1073;1146
21120;Chaignay;218;389;404;419;439;778;855;983;1052
21320;Chailly sur armancon;231;413;428;443;463;826;909;1042;1113
21290;Chambain;167;293;308;323;343;586;645;754;813
21110;Chambeire;243;436;451;466;486;871;958;1096;1169
21250;Chamblanc;285;514;529;544;564;1029;1132;1285;1366
21220;Chamboeuf;256;460;475;490;510;920;1012;1154;1230
21220;Chambolle musigny;268;483;498;513;533;965;1062;1208;1286
21400;Chamesson;146;254;269;284;304;508;558;659;714
21310;Champagne sur vingeanne;232;415;430;445;465;830;913;1046;1118
21440;Champagny;189;334;349;364;384;669;736;853;916
21500;Champ d oiseau;179;316;331;346;366;631;694;808;869
21130;Champdotre;256;460;475;490;510;920;1012;1154;1230
21210;Champeau en morvan;206;366;381;396;416;733;806;929;996
21230;Champignolles;233;417;432;447;467;834;917;1051;1122
21690;Champrenault;196;348;363;378;398;695;765;884;949
21440;Chanceaux;186;329;344;359;379;658;723;839;902
21340;Change;271;488;503;518;538;976;1074;1222;1300
21330;Channay;126;216;231;246;266;433;476;569;621
21690;Charencey;194;344;359;374;394;688;756;875;939
21140;Charigny;199;353;368;383;403;706;777;898;963
