cp;nom;distance;01-02;03-04;05-06;07-08;09-12;13-16;17-31;32-54
21700;Agencourt;262;528;543;553;568;1056;1214;1347;1492
21410;Agey;217;435;450;460;475;870;1001;1124;1251
21121;Ahuy;220;441;456;466;481;883;1015;1139;1267
21510;Aignay le duc;169;336;351;361;376;672;773;887;994
21110;Aiserey;252;507;522;532;547;1015;1167;1297;1439
21400;Aisey sur seine;151;299;314;324;339;598;688;797;897
21390;Aisy sous thil;201;402;417;427;442;804;925;1045;1165
21150;Alise ste reine;184;367;382;392;407;734;844;961;1074
21230;Allerey;233;468;483;493;508;936;1077;1203;1337
21420;Aloxe corton;263;530;545;555;570;1060;1219;1352;1498
21450;Ampilly les bordes;167;332;347;357;372;664;763;877;983
21400;Ampilly le sec;143;282;297;307;322;565;650;758;854
21410;Ancey;214;429;444;454;469;858;986;1109;1235
21360;Antheuil;242;487;502;512;527;973;1119;1248;1385
21230;Antigny la ville;246;495;510;520;535;990;1138;1268;1407
21310;Arceau;223;447;462;472;487;895;1029;1154;1283
21700;Arcenant;270;544;559;569;584;1089;1252;1387;1535
21410;Arcey;299;604;619;629;644;1208;1390;1530;1691
21320;Arconcey;236;474;489;499;514;949;1091;1218;1353
21560;Arc sur tille;229;460;475;485;500;920;1058;1184;1316
21700;Argilly;269;542;557;567;582;1085;1247;1382;1530
21230;Arnay le duc;239;480;495;505;520;961;1105;1233;1369
21350;Arnay sous vitteaux;194;388;403;413;428;775;892;1010;1128
21500;Arrans;154;305;320;330;345;610;702;812;913
21500;Asnieres en montagne;154;305;320;330;345;610;702;812;913
21380;Asnieres les dijon;225;452;467;477;492;903;1039;1164;1294
21130;Athee;260;524;539;549;564;1048;1205;1337;1482
21500;Athie;171;340;355;365;380;680;782;896;1004
21360;Aubaine;242;487;502;512;527;973;1119;1248;1385
21170;Aubigny en plaine;256;516;531;541;556;1031;1186;1317;1460
21340;Aubigny la ronce;262;528;543;553;568;1056;1214;1347;1492
21540;Aubigny les sombernon;214;429;444;454;469;858;986;1109;1235
21570;Autricourt;121;237;252;262;277;474;545;649;736
21250;Auvillars sur saone;275;555;570;580;595;1109;1276;1411;1562
21360;Auxant;240;483;498;508;523;965;1110;1238;1375
21190;Auxey duresses;287;579;594;604;619;1159;1333;1471;1627
21130;Auxonne;258;520;535;545;560;1039;1195;1327;1471
21120;Avelanges;199;398;413;423;438;796;915;1035;1155
21350;Avosnes;209;419;434;444;459;837;963;1085;1208
21580;Avot;190;379;394;404;419;759;873;991;1106
21700;Bagnot;272;549;564;574;589;1097;1262;1396;1546
21450;Baigneux les juifs;173;344;359;369;384;689;792;906;1015
21330;Balot;142;280;295;305;320;561;645;753;849
21410;Barbirey sur ouche;243;489;504;514;529;977;1124;1253;1391
21430;Bard le regulier;220;441;456;466;481;883;1015;1139;1267
21460;Bard les epoisses;177;353;368;378;393;705;811;926;1037
21910;Barges;250;503;518;528;543;1006;1157;1288;1428
21580;Barjon;187;373;388;398;413;746;858;976;1090
21340;Baubigny;268;540;555;565;580;1081;1243;1377;1525
21410;Baulme la roche;208;417;432;442;457;833;958;1080;1203
21510;Beaulieu;169;336;351;361;376;672;773;887;994
21310;Beaumont sur vingeanne;228;458;473;483;498;916;1053;1179;1310
21200;Beaune;277;559;574;584;599;1118;1285;1421;1573
21510;Beaunotte;167;332;347;357;372;664;763;877;983
21310;Beire le chatel;220;441;456;466;481;883;1015;1139;1267
21110;Beire le fort;248;499;514;524;539;998;1148;1278;1417
21570;Belan sur ource;132;260;275;285;300;520;597;703;795
21490;Bellefond;226;454;469;479;494;907;1043;1169;1299
21310;Belleneuve;237;476;491;501;516;953;1096;1223;1358
21510;Bellenod sur seine;161;320;335;345;360;639;735;847;951
21320;Bellenot sous pouilly;219;439;454;464;479;878;1010;1134;1262
21290;Beneuvre;174;346;361;371;386;693;797;911;1021
21500;Benoisey;178;355;370;380;395;709;816;931;1042
21360;Bessey en chaume;252;507;522;532;547;1015;1167;1297;1439
21360;Bessey la cour;245;493;508;518;533;986;1133;1263;1401
21110;Bessey les citeaux;254;511;526;536;551;1023;1176;1307;1450
21320;Beurey bauguay;220;441;456;466;481;883;1015;1139;1267
21350;Beurizot;215;431;446;456;471;862;991;1114;1240
21220;Bevy;272;549;564;574;589;1097;1262;1396;1546
21310;Beze;217;435;450;460;475;870;1001;1124;1251
21310;Bezouotte;228;458;473;483;498;916;1053;1179;1310
21390;Bierre les semur;196;392;407;417;432;784;901;1020;1139
21130;Billey;266;536;551;561;576;1072;1233;1367;1514
21450;Billy les chanceaux;179;357;372;382;397;713;820;936;1047
21270;Binges;236;474;489;499;514;949;1091;1218;1353
21520;Bissey la cote;146;289;304;314;329;577;664;773;870
21330;Bissey la pierre;141;278;293;303;318;557;640;748;844
21310;Blagny sur vingeanne;228;458;473;483;498;916;1053;1179;1310
21540;Blaisy bas;204;408;423;433;448;817;939;1060;1181
21540;Blaisy haut;204;408;423;433;448;817;939;1060;1181
21320;Blancey;220;441;456;466;481;883;1015;1139;1267
21430;Blanot;218;437;452;462;477;874;1005;1129;1257
21690;Blessey;185;369;384;394;409;738;849;966;1080
21440;Bligny le sec;190;379;394;404;419;759;873;991;1106
21200;Bligny les beaune;281;567;582;592;607;1134;1304;1441;1594
21360;Bligny sur ouche;243;489;504;514;529;977;1124;1253;1391
21700;Boncourt le bois;262;528;543;553;568;1056;1214;1347;1492
21250;Bonnencontre;263;530;545;555;570;1060;1219;1352;1498
21520;Boudreville;142;280;295;305;320;561;645;753;849
21360;Bouhey;242;487;502;512;527;973;1119;1248;1385
21420;Bouilland;249;501;516;526;541;1002;1152;1283;1423
21330;Bouix;133;262;277;287;302;524;602;708;801
21610;Bourberain;218;437;452;462;477;874;1005;1129;1257
21250;Bousselange;292;590;605;615;630;1180;1356;1495;1653
21260;Boussenois;217;435;450;460;475;870;1001;1124;1251
21350;Boussey;204;408;423;433;448;817;939;1060;1181
21690;Boux sous salmaise;191;381;396;406;421;763;877;995;1112
21200;Bouze les beaune;284;573;588;598;613;1147;1318;1456;1610
21350;Brain;202;404;419;429;444;808;929;1050;1171
21390;Braux;200;400;415;425;440;800;920;1040;1160
21430;Brazey en morvan;216;433;448;458;473;866;996;1119;1246
21470;Brazey en plaine;257;518;533;543;558;1035;1190;1322;1466
21400;Bremur et vaurois;155;307;322;332;347;614;707;817;919
21560;Bressey sur tille;233;468;483;493;508;936;1077;1203;1337
21110;Bretenieres;245;493;508;518;533;986;1133;1263;1401
21490;Bretigny;224;450;465;475;490;899;1034;1159;1289
21390;Brianny;206;412;427;437;452;825;948;1070;1192
21570;Brion sur ource;149;295;310;320;335;590;678;788;887
21220;Brochon;250;503;518;528;543;1006;1157;1288;1428
21490;Brognon;224;450;465;475;490;899;1034;1159;1289
21250;Broin;276;557;572;582;597;1114;1281;1416;1568
21220;Broindon;253;509;524;534;549;1019;1171;1302;1444
21500;Buffon;159;315;330;340;355;631;726;837;940
21400;Buncey;141;278;293;303;318;557;640;748;844
21290;Bure les templiers;167;332;347;357;372;664;763;877;983
21510;Busseaut;158;313;328;338;353;627;721;832;935
21580;Busserotte montenaille;186;371;386;396;411;742;854;971;1085
21580;Bussieres;180;359;374;384;399;718;825;941;1053
21360;La bussiere sur ouche;246;495;510;520;535;990;1138;1268;1407
21540;Bussy la pesle;212;425;440;450;465;850;977;1099;1224
21150;Bussy le grand;172;342;357;367;382;685;787;901;1010
21290;Buxerolles;169;336;351;361;376;672;773;887;994
21430;Censerey;216;433;448;458;473;866;996;1119;1246
21330;Cerilly;136;268;283;293;308;536;616;723;817
21110;Cessey sur tille;238;478;493;503;518;957;1100;1228;1364
21120;Chaignay;218;437;452;462;477;874;1005;1129;1257
21320;Chailly sur armancon;231;464;479;489;504;928;1067;1193;1326
21290;Chambain;167;332;347;357;372;664;763;877;983
21110;Chambeire;243;489;504;514;529;977;1124;1253;1391
21250;Chamblanc;285;575;590;600;615;1151;1323;1461;1616
21220;Chamboeuf;256;516;531;541;556;1031;1186;1317;1460
21220;Chambolle musigny;268;540;555;565;580;1081;1243;1377;1525
21400;Chamesson;146;289;304;314;329;577;664;773;870
21310;Champagne sur vingeanne;232;466;481;491;506;932;1072;1198;1332
21440;Champagny;189;377;392;402;417;755;868;986;1101
21500;Champ d oiseau;179;357;372;382;397;713;820;936;1047
21130;Champdotre;256;516;531;541;556;1031;1186;1317;1460
21210;Champeau en morvan;206;412;427;437;452;825;948;1070;1192
21230;Champignolles;233;468;483;493;508;936;1077;1203;1337
21690;Champrenault;196;392;407;417;432;784;901;1020;1139
21440;Chanceaux;186;371;386;396;411;742;854;971;1085
21340;Change;271;546;561;571;586;1093;1257;1391;1541
21330;Channay;126;247;262;272;287;495;569;674;763
21690;Charencey;194;388;403;413;428;775;892;1010;1128
21140;Charigny;199;398;413;423;438;796;915;1035;1155
21310;Charmes;206;412;427;437;452;825;948;1070;1192
21350;Charny;211;423;438;448;463;845;972;1094;1219
21170;Charrey sur saone;262;528;543;553;568;1056;1214;1347;1492
21400;Charrey sur seine;119;233;248;258;273;466;536;639;726
21190;Chassagne montrachet;282;569;584;594;609;1138;1309;1446;1600
21150;Chassey;181;361;376;386;401;722;830;946;1058
21320;Chateauneuf;227;456;471;481;496;911;1048;1174;1305
21320;Chatellenot;232;466;481;491;506;932;1072;1198;1332
21400;Chatillon sur seine;130;256;271;281;296;511;588;694;785
21360;Chaudenay la ville;237;476;491;501;516;953;1096;1223;1358
21360;Chaudenay le chateau;236;474;489;499;514;949;1091;1218;1353
21290;Chaugey;173;344;359;369;384;689;792;906;1015
21610;Chaume et courchamp;222;445;460;470;485;891;1024;1149;1278
21520;La chaume;150;297;312;322;337;594;683;793;892
21450;Chaume les baigneux;160;318;333;343;358;635;730;842;946
21400;Chaumont le bois;125;245;260;270;285;491;564;669;758
21700;Chaux;265;534;549;559;574;1068;1228;1362;1509
21260;Chazeuil;212;425;440;450;465;850;977;1099;1224
21320;Chazilly;232;466;481;491;506;932;1072;1198;1332
21400;Chemin d aisey;147;291;306;316;331;581;669;778;876
21300;Chenove;224;450;465;475;490;899;1034;1159;1289
21310;Cheuge;233;468;483;493;508;936;1077;1203;1337
21540;Chevannay;200;400;415;425;440;800;920;1040;1160
21220;Chevannes;170;338;353;363;378;676;778;892;999
21200;Chevigny en valiere;283;571;586;596;611;1142;1314;1451;1605
21800;Chevigny st sauveur;235;472;487;497;512;944;1086;1213;1348
21820;Chivres;285;575;590;600;615;1151;1323;1461;1616
21200;Chorey;277;559;574;584;599;1118;1285;1421;1573
21340;Cirey les nolay;265;534;549;559;574;1068;1228;1362;1509
21270;Cirey les pontailler;242;487;502;512;527;973;1119;1248;1385
21320;Civry en montagne;230;462;477;487;502;924;1062;1189;1321
21390;Clamerey;206;412;427;437;452;825;948;1070;1192
21220;Clemencey;259;522;537;547;562;1043;1200;1332;1476
21490;Clenay;221;443;458;468;483;887;1020;1144;1273
21270;Clery;255;513;528;538;553;1027;1181;1312;1455
21230;Clomot;234;470;485;495;510;940;1081;1208;1342
21220;Collonges les bevy;271;546;561;571;586;1093;1257;1391;1541
21110;Collonges les premieres;256;516;531;541;556;1031;1186;1317;1460
21360;Colombier;241;485;500;510;525;969;1114;1243;1380
21200;Combertault;282;569;584;594;609;1138;1309;1446;1600
21700;Comblanchien;266;536;551;561;576;1072;1233;1367;1514
21320;Commarin;233;468;483;493;508;936;1077;1203;1337
21250;Corberon;277;559;574;584;599;1118;1285;1421;1573
21190;Corcelles les arts;288;582;597;607;622;1163;1337;1476;1632
21910;Corcelles les citeaux;253;509;524;534;549;1019;1171;1302;1444
21160;Corcelles les monts;256;516;531;541;556;1031;1186;1317;1460
21250;Corgengoux;280;565;580;590;605;1130;1300;1436;1589
21700;Corgoloin;268;540;555;565;580;1081;1243;1377;1525
21340;Cormot le grand;266;536;551;561;576;1072;1233;1367;1514
21190;Corpeau;279;563;578;588;603;1126;1295;1431;1584
21150;Corpoyer la chapelle;172;342;357;367;382;685;787;901;1010
21460;Corrombles;180;359;374;384;399;718;825;941;1053
21460;Corsaint;170;338;353;363;378;676;778;892;999
21160;Couchey;247;497;512;522;537;994;1143;1273;1412
21400;Coulmier le sec;144;285;300;310;325;569;654;763;860
21520;Courban;143;282;297;307;322;565;650;758;854
21460;Courcelles fremoy;190;379;394;404;419;759;873;991;1106
21500;Courcelles les montbard;170;338;353;363;378;676;778;892;999
21140;Courcelles les semur;196;392;407;417;432;784;901;1020;1139
21610;Courchamp;222;445;460;470;485;891;1024;1149;1278
21580;Courlon;186;371;386;396;411;742;854;971;1085
21120;Courtivron;199;398;413;423;438;796;915;1035;1155
21560;Couternon;229;460;475;485;500;920;1058;1184;1316
21320;Creancey;225;452;467;477;492;903;1039;1164;1294
21120;Crecey sur tille;199;398;413;423;438;796;915;1035;1155
21500;Crepand;166;330;345;355;370;660;759;872;978
21800;Crimolois;238;478;493;503;518;957;1100;1228;1364
21360;Crugey;236;474;489;499;514;949;1091;1218;1353
21310;Cuiserey;228;458;473;483;498;916;1053;1179;1310
21230;Culetre;238;478;493;503;518;957;1100;1228;1364
21220;Curley;260;524;539;549;564;1048;1205;1337;1482
21380;Curtil st seine;206;412;427;437;452;825;948;1070;1192
21220;Curtil vergy;269;542;557;567;582;1085;1247;1382;1530
21580;Cussey les forges;191;381;396;406;421;763;877;995;1112
21360;Cussy la colonne;252;507;522;532;547;1015;1167;1297;1439
21230;Cussy le chatel;236;474;489;499;514;949;1091;1218;1353
21121;Daix;243;489;504;514;529;977;1124;1253;1391
21350;Dampierre en montagne;192;384;399;409;424;767;882;1000;1117
21310;Dampierre et flee;227;456;471;481;496;911;1048;1174;1305
21150;Darcey;171;340;355;365;380;680;782;896;1004
21121;Darois;250;503;518;528;543;1006;1157;1288;1428
21220;Detain et bruant;252;507;522;532;547;1015;1167;1297;1439
21430;Diancey;218;437;452;462;477;874;1005;1129;1257
21120;Dienay;216;433;448;458;473;866;996;1119;1246
21000;Dijon;237;476;491;501;516;953;1096;1223;1358
21390;Dompierre en morvan;193;386;401;411;426;771;887;1005;1122
21270;Drambon;244;491;506;516;531;982;1129;1258;1396
21540;Dree;215;431;446;456;471;862;991;1114;1240
21510;Duesme;168;334;349;359;374;668;768;882;988
21190;Ebaty;290;586;601;611;626;1171;1347;1486;1643
21510;Echalot;184;367;382;392;407;734;844;961;1074
21540;Echannay;237;476;491;501;516;953;1096;1223;1358
21170;Echenon;267;538;553;563;578;1076;1238;1372;1519
21120;Echevannes;207;414;429;439;454;829;953;1075;1198
21420;Echevronne;283;571;586;596;611;1142;1314;1451;1605
21110;Echigey;253;509;524;534;549;1019;1171;1302;1444
21360;Ecutigny;247;497;512;522;537;994;1143;1273;1412
21320;Eguilly;220;441;456;466;481;883;1015;1139;1267
21380;Epagny;229;460;475;485;500;920;1058;1184;1316
21220;Epernay sous gevrey;255;513;528;538;553;1027;1181;1312;1455
21460;Epoisses;186;371;386;396;411;742;854;971;1085
21500;Eringes;173;344;359;369;384;689;792;906;1015
21170;Esbarres;270;544;559;569;584;1089;1252;1387;1535
21290;Essarois;162;322;337;347;362;643;740;852;956
21320;Essey;227;456;471;481;496;911;1048;1174;1305
21500;Etais;171;340;355;365;380;680;782;896;1004
21510;Etalante;176;351;366;376;391;701;806;921;1031
21220;L etang vergy;270;544;559;569;584;1089;1252;1387;1535
21121;Etaules;210;421;436;446;461;841;967;1090;1214
21270;Etevaux;240;483;498;508;523;965;1110;1238;1375
21450;Etormay;170;338;353;363;378;676;778;892;999
21400;Etrochey;134;264;279;289;304;528;607;713;806
21500;Fain les montbard;173;344;359;369;384;689;792;906;1015
21500;Fain les moutiers;167;332;347;357;372;664;763;877;983
21110;Fauverney;239;480;495;505;520;961;1105;1233;1369
21290;Faverolles les lucey;156;309;324;334;349;619;711;822;924
21600;Fenay;247;497;512;522;537;994;1143;1273;1412
21230;Le fete;234;470;485;495;510;940;1081;1208;1342
21220;Fixin;249;501;516;526;541;1002;1152;1283;1423
21490;Flacey;217;435;450;460;475;870;1001;1124;1251
21640;Flagey echezeaux;265;534;549;559;574;1068;1228;1362;1509
21130;Flagey les auxonne;263;530;545;555;570;1060;1219;1352;1498
21130;Flammerans;265;534;549;559;574;1068;1228;1362;1509
21160;Flavignerot;254;511;526;536;551;1023;1176;1307;1450
21150;Flavigny sur ozerain;190;379;394;404;419;759;873;991;1106
21140;Flee;197;394;409;419;434;788;906;1025;1144
21410;Fleurey sur ouche;257;518;533;543;558;1035;1190;1322;1466
21230;Foissy;244;491;506;516;531;982;1129;1258;1396
21260;Foncegrive;215;431;446;456;471;862;991;1114;1240
21450;Fontaines en duesmois;162;322;337;347;362;643;740;852;956
21610;Fontaine francaise;221;443;458;468;483;887;1020;1144;1273
21121;Fontaines les dijon;230;462;477;487;502;924;1062;1189;1321
21330;Fontaines les seches;143;282;297;307;322;565;650;758;854
21390;Fontangy;206;412;427;437;452;825;948;1070;1192
21610;Fontenelle;223;447;462;472;487;895;1029;1154;1283
21460;Forleans;190;379;394;404;419;759;873;991;1106
21580;Fraignot et vesvrotte;183;365;380;390;405;730;839;956;1069
21440;Francheville;156;309;324;334;349;619;711;822;924
21170;Franxault;273;551;566;576;591;1101;1266;1401;1551
21120;Frenois;196;392;407;417;432;784;901;1020;1139
21500;Fresnes;176;351;366;376;391;701;806;921;1031
21150;Frolois;176;351;366;376;391;701;806;921;1031
21700;Fussey;272;549;564;574;589;1097;1262;1396;1546
21120;Gemeaux;212;425;440;450;465;850;977;1099;1224
21140;Genay;188;375;390;400;415;751;863;981;1096
21110;Genlis;245;493;508;518;533;986;1133;1263;1401
21410;Gergueil;268;540;555;565;580;1081;1243;1377;1525
