cp;nom;distance;1-2;3-4;5-6;7-8;9-12;13-16;17-31;32-54
21700;Agencourt;262;296;326;356;376;593;682;741;830
21410;Agey;217;248;278;308;328;495;569;619;693
21121;Ahuy;220;251;281;311;331;502;577;627;702
21510;Aignay le duc;169;196;226;256;276;391;450;489;548
21110;Aiserey;252;286;316;346;366;571;657;714;799
21400;Aisey sur seine;151;176;206;236;256;352;405;440;493
21390;Aisy sous thil;201;230;260;290;310;461;530;576;645
21150;Alise ste reine;184;212;242;272;292;424;487;530;593
21230;Allerey;233;265;295;325;345;530;609;662;742
21420;Aloxe corton;263;297;327;357;377;595;684;744;833
21450;Ampilly les bordes;167;193;223;253;273;387;445;484;542
21400;Ampilly le sec;143;167;197;227;247;335;385;419;469
21410;Ancey;214;244;274;304;324;489;562;611;684
21360;Antheuil;242;275;305;335;355;549;632;687;769
21230;Antigny la ville;246;279;309;339;359;558;642;698;781
21310;Arceau;223;254;284;314;334;508;584;635;711
21700;Arcenant;270;305;335;365;385;610;702;763;854
21410;Arcey;299;336;366;396;416;673;774;841;942
21320;Arconcey;236;268;298;328;348;536;617;670;751
21560;Arc sur tille;229;261;291;321;341;521;599;651;730
21700;Argilly;269;304;334;364;384;608;699;760;851
21230;Arnay le duc;239;271;301;331;351;543;624;679;760
21350;Arnay sous vitteaux;194;223;253;283;303;445;512;557;623
21500;Arrans;154;179;209;239;259;359;412;448;502
21500;Asnieres en montagne;154;179;209;239;259;359;412;448;502
21380;Asnieres les dijon;225;256;286;316;336;513;589;641;718
21130;Athee;260;294;324;354;374;588;677;735;824
21500;Athie;171;198;228;258;278;396;455;494;554
21360;Aubaine;242;275;305;335;355;549;632;687;769
21170;Aubigny en plaine;256;290;320;350;370;580;667;725;812
21340;Aubigny la ronce;262;296;326;356;376;593;682;741;830
21540;Aubigny les sombernon;214;244;274;304;324;489;562;611;684
21570;Autricourt;121;144;174;204;224;287;330;359;402
21250;Auvillars sur saone;275;310;340;370;390;621;714;776;869
21360;Auxant;240;273;303;333;353;545;627;681;763
21190;Auxey duresses;287;323;353;383;403;647;744;809;906
21130;Auxonne;258;292;322;352;372;584;672;730;818
21120;Avelanges;199;228;258;288;308;456;525;570;639
21350;Avosnes;209;239;269;299;319;478;550;597;669
21580;Avot;190;218;248;278;298;437;502;546;611
21700;Bagnot;272;307;337;367;387;614;706;768;860
21450;Baigneux les juifs;173;200;230;260;280;400;460;500;560
21330;Balot;142;166;196;226;246;333;383;416;466
21410;Barbirey sur ouche;243;276;306;336;356;552;634;689;772
21430;Bard le regulier;220;251;281;311;331;502;577;627;702
21460;Bard les epoisses;177;204;234;264;284;409;470;511;572
21910;Barges;250;283;313;343;363;567;652;708;793
21580;Barjon;187;215;245;275;295;430;495;538;602
21340;Baubigny;268;303;333;363;383;606;697;757;848
21410;Baulme la roche;208;238;268;298;318;476;547;595;666
21510;Beaulieu;169;196;226;256;276;391;450;489;548
21310;Beaumont sur vingeanne;228;260;290;320;340;519;597;649;727
21200;Beaune;277;313;343;373;393;625;719;781;875
21510;Beaunotte;167;193;223;253;273;387;445;484;542
21310;Beire le chatel;220;251;281;311;331;502;577;627;702
21110;Beire le fort;248;281;311;341;361;562;647;703;787
21570;Belan sur ource;132;156;186;216;236;311;358;389;435
21490;Bellefond;226;257;287;317;337;515;592;643;721
21310;Belleneuve;237;269;299;329;349;539;619;673;754
21510;Bellenod sur seine;161;187;217;247;267;374;430;467;523
21320;Bellenot sous pouilly;219;250;280;310;330;500;574;624;699
21290;Beneuvre;174;201;231;261;281;402;462;503;563
21500;Benoisey;178;205;235;265;285;411;472;513;575
21360;Bessey en chaume;252;286;316;346;366;571;657;714;799
21360;Bessey la cour;245;278;308;338;358;556;639;695;778
21110;Bessey les citeaux;254;288;318;348;368;575;662;719;805
21320;Beurey bauguay;220;251;281;311;331;502;577;627;702
21350;Beurizot;215;245;275;305;325;491;564;614;687
21220;Bevy;272;307;337;367;387;614;706;768;860
21310;Beze;217;248;278;308;328;495;569;619;693
21310;Bezouotte;228;260;290;320;340;519;597;649;727
21390;Bierre les semur;196;225;255;285;305;450;517;562;630
21130;Billey;266;301;331;361;381;601;692;752;842
21450;Billy les chanceaux;179;206;236;266;286;413;475;516;578
21270;Binges;236;268;298;328;348;536;617;670;751
21520;Bissey la cote;146;171;201;231;251;341;393;427;478
21330;Bissey la pierre;141;165;195;225;245;331;380;413;463
