CP;Commune;Distance;1-2;3-4 ;5-6;7-8;9-12;13-16;17-31;32-54
21700;Agencourt;262;296,3333333;326,3333333;356,3333333;376,3333333;592,6666667;681,5666667;740,8333333;829,7333333
21410;Agey;217;247,5833333;277,5833333;307,5833333;327,5833333;495,1666667;569,4416667;618,9583333;693,2333333
21121;Ahuy;220;250,8333333;280,8333333;310,8333333;330,8333333;501,6666667;576,9166667;627,0833333;702,3333333
21510;Aignay le duc;169;195,5833333;225,5833333;255,5833333;275,5833333;391,1666667;449,8416667;488,9583333;547,6333333
21110;Aiserey;252;285,5;315,5;345,5;365,5;571;656,65;713,75;799,4
21400;Aisey sur seine;151;176,0833333;206,0833333;236,0833333;256,0833333;352,1666667;404,9916667;440,2083333;493,0333333
21390;Aisy sous thil;201;230,25;260,25;290,25;310,25;460,5;529,575;575,625;644,7
21150;Alise ste reine;184;211,8333333;241,8333333;271,8333333;291,8333333;423,6666667;487,2166667;529,5833333;593,1333333
21230;Allerey;233;264,9166667;294,9166667;324,9166667;344,9166667;529,8333333;609,3083333;662,2916667;741,7666667
21420;Aloxe corton;263;297,4166667;327,4166667;357,4166667;377,4166667;594,8333333;684,0583333;743,5416667;832,7666667
21450;Ampilly les bordes;167;193,4166667;223,4166667;253,4166667;273,4166667;386,8333333;444,8583333;483,5416667;541,5666667
21400;Ampilly le sec;143;167,4166667;197,4166667;227,4166667;247,4166667;334,8333333;385,0583333;418,5416667;468,7666667
21410;Ancey;214;244,3333333;274,3333333;304,3333333;324,3333333;488,6666667;561,9666667;610,8333333;684,1333333
21360;Antheuil;242;274,6666667;304,6666667;334,6666667;354,6666667;549,3333333;631,7333333;686,6666667;769,0666667
21230;Antigny la ville;246;279;309;339;359;558;641,7;697,5;781,2
21310;Arceau;223;254,0833333;284,0833333;314,0833333;334,0833333;508,1666667;584,3916667;635,2083333;711,4333333
21700;Arcenant;270;305;335;365;385;610;701,5;762,5;854
21410;Arcey;299;336,4166667;366,4166667;396,4166667;416,4166667;672,8333333;773,7583333;841,0416667;941,9666667
21320;Arconcey;236;268,1666667;298,1666667;328,1666667;348,1666667;536,3333333;616,7833333;670,4166667;750,8666667
21560;Arc sur tille;229;260,5833333;290,5833333;320,5833333;340,5833333;521,1666667;599,3416667;651,4583333;729,6333333
21700;Argilly;269;303,9166667;333,9166667;363,9166667;383,9166667;607,8333333;699,0083333;759,7916667;850,9666667
21230;Arnay le duc;239;271,4166667;301,4166667;331,4166667;351,4166667;542,8333333;624,2583333;678,5416667;759,9666667
21350;Arnay sous vitteaux;194;222,6666667;252,6666667;282,6666667;302,6666667;445,3333333;512,1333333;556,6666667;623,4666667
21500;Arrans;154;179,3333333;209,3333333;239,3333333;259,3333333;358,6666667;412,4666667;448,3333333;502,1333333
21500;Asnieres en montagne;154;179,3333333;209,3333333;239,3333333;259,3333333;358,6666667;412,4666667;448,3333333;502,1333333
21380;Asnieres les dijon;225;256,25;286,25;316,25;336,25;512,5;589,375;640,625;717,5
21130;Athee;260;294,1666667;324,1666667;354,1666667;374,1666667;588,3333333;676,5833333;735,4166667;823,6666667
21500;Athie;171;197,75;227,75;257,75;277,75;395,5;454,825;494,375;553,7
21360;Aubaine;242;274,6666667;304,6666667;334,6666667;354,6666667;549,3333333;631,7333333;686,6666667;769,0666667
21170;Aubigny en plaine;256;289,8333333;319,8333333;349,8333333;369,8333333;579,6666667;666,6166667;724,5833333;811,5333333
21340;Aubigny la ronce;262;296,3333333;326,3333333;356,3333333;376,3333333;592,6666667;681,5666667;740,8333333;829,7333333
21540;Aubigny les sombernon;214;244,3333333;274,3333333;304,3333333;324,3333333;488,6666667;561,9666667;610,8333333;684,1333333
21570;Autricourt;121;143,5833333;173,5833333;203,5833333;223,5833333;287,1666667;330,2416667;358,9583333;402,0333333
21250;Auvillars sur saone;275;310,4166667;340,4166667;370,4166667;390,4166667;620,8333333;713,9583333;776,0416667;869,1666667
21360;Auxant;240;272,5;302,5;332,5;352,5;545;626,75;681,25;763
21190;Auxey duresses;287;323,4166667;353,4166667;383,4166667;403,4166667;646,8333333;743,8583333;808,5416667;905,5666667
21130;Auxonne;258;292;322;352;372;584;671,6;730;817,6
21120;Avelanges;199;228,0833333;258,0833333;288,0833333;308,0833333;456,1666667;524,5916667;570,2083333;638,6333333
21350;Avosnes;209;238,9166667;268,9166667;298,9166667;318,9166667;477,8333333;549,5083333;597,2916667;668,9666667
21580;Avot;190;218,3333333;248,3333333;278,3333333;298,3333333;436,6666667;502,1666667;545,8333333;611,3333333
