Code Postal;Ville ;Lieu de rendez-vous;Tarif Adulte;Tarif 2; Tarif 3;Tarif enfant;traif BB;ATarif Adulte;ATarif 2;ATarif 3;ATarif enfant;Atraif BB;duree
g1;Gare de Châlons-en-Champagne;Place de la Gare;14;14;14;14;0;14;14;14;14;0;40
g2;Gare de Reims;Place de la Gare;25;25;25;25;0;25;25;25;25;0;90
51000;Châlons-en-Champagne centre;21 Rue Thiers, 51000 Châlons-en-Champagne;20;14;14;14;0;20;14;14;14;0;40
57000;Metz - Semécourt;Centre Commercial Auchan Semécourt, Entrée principale;48;40;35;19;0;48;40;35;19;0;40
75013;Paris - Bibliothèque François Mitterrand;92 Avenue de France 75013 Paris;48;39,6;39,6;39,6;0;38;30;30;30;0;150
94490;Paris - Ormessan;Carrefour Ormesson, 85 Route de Provins, Route Nationale 4, 94490 Ormesson, entrée principale;48;39,6;39,6;39,6;0;38;30;30;30;0;120
77160;Provins;Avenue Jean Jaures 77160 Provins;40;35;35;35;0;33;30;30;30;0;80
51100;Reims - Croix Rouge;Place Maurice Utrillo 51100 Reims;30;25;25;25;0;30;25;25;25;0;80
51100;Reims - Jean Jaurès;139 Avenue Jean Jaurès, 51100 Reims;30;25;25;25;0;30;25;25;25;0;70
51100;Reims - Orgeval;Place Pierre de Fermat, 51100 Reims;30;25;25;25;0;30;25;25;25;0;60
51120;Sézanne;Office de Tourisme, place de la République 51120 Sézanne;35;30;30;30;0;30;25;25;25;0;30
