cp;nom;distance;P01-02;P03-04;P05-P06;P07-08;P09-12;P13-16;P17-31;P32-54
54610;Abaucourt;200;355;370;385;405;710;781;902;968
54800;Abbéville-lès-Conflans;174;306;321;336;356;613;674;785;846
54115;Aboncourt;208;370;385;400;420;740;814;938;1005
54800;Affléville;168;295;310;325;345;590;649;758;818
54740;Affracourt;185;327;342;357;377;654;719;835;897
54770;Agincourt;178;314;329;344;364;628;690;803;864
54460;Aingeray;160;280;295;310;330;560;616;722;780
54170;Allain;157;274;289;304;324;549;604;709;766
54800;Allamont;156;273;288;303;323;545;600;704;761
54112;Allamps;148;258;273;288;308;515;567;668;724
54260;Allondrelle-la-Malmaison;185;327;342;357;377;654;719;835;897
54770;Amance;181;319;334;349;369;639;703;817;878
54450;Amenoncourt;232;415;430;445;465;830;913;1046;1118
54450;Ancerviller;227;406;421;436;456;811;892;1024;1094
54560;Anderny;187;331;346;361;381;661;727;844;907
54200;Andilly;160;280;295;310;330;560;616;722;780
54540;Angomont;237;424;439;454;474;849;934;1069;1141
54150;Anoux;178;314;329;344;364;628;690;803;864
54470;Ansauville;147;256;271;286;306;511;562;664;719
54110;Anthelupt;191;338;353;368;388;676;744;862;925
54760;Armaucourt;188;333;348;363;383;665;732;848;911
54530;Arnaville;182;321;336;351;371;643;707;821;883
54370;Arracourt;210;374;389;404;424;748;822;947;1014
54760;Arraye-et-Han;190;336;351;366;386;673;740;857;921
54510;Art-sur-Meurthe;184;325;340;355;375;650;715;830;893
54370;Athienville;209;372;387;402;422;744;818;943;1010
54700;Atton;189;334;349;364;384;669;736;853;916
54580;Auboué;175;308;323;338;358;616;678;790;850
54560;Audun-le-Roman;180;318;333;348;368;635;699;812;874
54450;Autrepierre;230;411;426;441;461;823;905;1037;1108
54380;Autreville-sur-Moselle;183;323;338;353;373;646;711;826;888
54160;Autrey;181;319;334;349;369;639;703;817;878
54490;Avillers;173;304;319;334;354;609;670;781;841
54385;Avrainville;176;310;325;340;360;620;682;794;855
54450;Avricourt;224;400;415;430;450;800;880;1010;1080
54150;Avril;178;314;329;344;364;628;690;803;864
54210;Azelot;185;327;342;357;377;654;719;835;897
54122;Azerailles;216;385;400;415;435;770;847;974;1043
54120;Baccarat;222;396;411;426;446;793;872;1001;1071
54540;Badonviller;230;411;426;441;461;823;905;1037;1108
54170;Bagneux;156;273;288;303;323;545;600;704;761
54290;Bainville-aux-Miroirs;197;349;364;379;399;699;769;889;953
54550;Bainville-sur-Madon;173;304;319;334;354;609;670;781;841
54450;Barbas;224;400;415;430;450;800;880;1010;1080
54360;Barbonville;191;338;353;368;388;676;744;862;925
54170;Barisey-au-Plain;158;276;291;306;326;553;608;713;771
54170;Barisey-la-Côte;155;271;286;301;321;541;595;700;757
54150;Les Baroches;170;299;314;329;349;598;657;767;827
54620;Baslieux;185;327;342;357;377;654;719;835;897
54370;Bathelémont;211;376;391;406;426;751;826;952;1019
54980;Batilly;175;308;323;338;358;616;678;790;850
54115;Battigny;172;303;318;333;353;605;666;776;836
54370;Bauzemont;205;364;379;394;414;729;802;925;991
54290;Bayon;197;349;364;379;399;699;769;889;953
54890;Bayonville-sur-Mad;179;316;331;346;366;631;694;808;869
54620;Bazailles;185;327;342;357;377;654;719;835;897
54470;Beaumont;142;246;261;276;296;493;542;641;696
54800;Béchamps;159;278;293;308;328;556;612;718;775
54610;Belleau;104;175;190;205;225;350;385;470;518
54940;Belleville;174;306;321;336;356;613;674;785;846
54450;Bénaménil;212;378;393;408;428;755;831;956;1024
54740;Benney;187;331;346;361;381;661;727;844;907
54470;Bernécourt;146;254;269;284;304;508;558;659;714
54480;Bertrambois;238;426;441;456;476;853;938;1073;1146
54120;Bertrichamps;226;404;419;434;454;808;888;1019;1089
54640;Bettainvillers;179;316;331;346;366;631;694;808;869
54620;Beuveille;181;319;334;349;369;639;703;817;878
54115;Beuvezin;184;325;340;355;375;650;715;830;893
54560;Beuvillers;190;336;351;366;386;673;740;857;921
54760;Bey-sur-Seille;189;334;349;364;384;669;736;853;916
54370;Bezange-la-Grande;201;357;372;387;407;714;785;907;972
54380;Bezaumont;175;308;323;338;358;616;678;790;850
54200;Bicqueley;149;259;274;289;309;519;571;673;728
54300;Bienville-la-Petite;202;359;374;389;409;718;789;911;977
54540;Bionville;242;434;449;464;484;868;954;1091;1164
54360;Blainville-sur-l'Eau;193;342;357;372;392;684;752;871;935
54450;Blâmont;227;406;421;436;456;811;892;1024;1094
54450;Blémerey;217;387;402;417;437;774;851;979;1047
54700;Blénod-lès-Pont-à-Mousson;176;310;325;340;360;620;682;794;855
54113;Blénod-lès-Toul;149;259;274;289;309;519;571;673;728
54620;Boismont;183;323;338;353;373;646;711;826;888
54800;Boncourt;164;288;303;318;338;575;633;740;799
54300;Bonviller;201;357;372;387;407;714;785;907;972
54290;Borville;204;363;378;393;413;725;798;920;986
54200;Boucq;145;252;267;282;302;504;554;655;710
54470;Bouillonville;157;274;289;304;324;549;604;709;766
54200;Bouvron;157;274;289;304;324;549;604;709;766
54770;Bouxières-aux-Chênes;182;321;336;351;371;643;707;821;883
54136;Bouxières-aux-Dames;172;303;318;333;353;605;666;776;836
54700;Bouxières-sous-Froidmont;195;346;361;376;396;691;760;880;944
54930;Bouzanville;192;340;355;370;390;680;748;866;930
54800;Brainville;164;288;303;318;338;575;633;740;799
54740;Bralleville;201;357;372;387;407;714;785;907;972
54610;Bratte;186;329;344;359;379;658;723;839;902
54190;Bréhain-la-Ville;199;353;368;383;403;706;777;898;963
54540;Bréménil;234;419;434;449;469;838;921;1055;1127
54290;Brémoncourt;201;357;372;387;407;714;785;907;972
54150;Briey;172;303;318;333;353;605;666;776;836
54280;Brin-sur-Seille;192;340;355;370;390;680;748;866;930
54120;Brouville;223;398;413;428;448;796;876;1006;1075
54200;Bruley;148;258;273;288;308;515;567;668;724
54800;Bruville;169;297;312;327;347;594;653;763;822
54110;Buissoncourt;191;338;353;368;388;676;744;862;925
54113;Bulligny;151;263;278;293;313;526;579;682;738
54370;Bures;211;376;391;406;426;751;826;952;1019
54450;Buriville;216;385;400;415;435;770;847;974;1043
54210;Burthecourt-aux-Chênes;185;327;342;357;377;654;719;835;897
54134;Ceintrey;184;325;340;355;375;650;715;830;893
54420;Cerville;185;327;342;357;377;654;719;835;897
54230;Chaligny;165;289;304;319;339;579;637;745;803
54890;Chambley-Bussières;171;301;316;331;351;601;661;772;832
54280;Champenoux;188;333;348;363;383;665;732;848;911
54700;Champey-sur-Moselle;170;299;314;329;349;598;657;767;827
54250;Champigneulles;171;301;316;331;351;601;661;772;832
54300;Chanteheux;200;355;370;385;405;710;781;902;968
54330;Chaouilley;182;321;336;351;371;643;707;821;883
54260;Charency-Vezin;191;338;353;368;388;676;744;862;925
54470;Charey;164;288;303;318;338;575;633;740;799
54113;Charmes-la-Côte;147;256;271;286;306;511;562;664;719
54360;Charmois;193;342;357;372;392;684;752;871;935
54200;Chaudeney-sur-Moselle;148;258;273;288;308;515;567;668;724
54230;Chavigny;171;301;316;331;351;601;661;772;832
54450;Chazelles-sur-Albe;224;400;415;430;450;800;880;1010;1080
54122;Chenevières;210;374;389;404;424;748;822;947;1014
54610;Chenicourt;192;340;355;370;390;680;748;866;930
54720;Chenières;191;338;353;368;388;676;744;862;925
54200;Choloy-Ménillot;138;239;254;269;289;478;525;623;677
54480;Cirey-sur-Vezouze;234;419;434;449;469;838;921;1055;1127
54290;Clayeures;205;364;379;394;414;729;802;925;991
54610;Clémery;195;346;361;376;396;691;760;880;944
54330;Clérey-sur-Brenon;188;333;348;363;383;665;732;848;911
54370;Coincourt;214;381;396;411;431;763;839;965;1033
54260;Colmey;185;327;342;357;377;654;719;835;897
54170;Colombey-les-Belles;159;278;293;308;328;556;612;718;775
54800;Conflans-en-Jarnisy;171;301;316;331;351;601;661;772;832
54870;Cons-la-Grandville;188;333;348;363;383;665;732;848;911
54400;Cosnes-et-Romain;193;342;357;372;392;684;752;871;935
54110;Courbesseaux;194;344;359;374;394;688;756;875;939
54930;Courcelles;185;327;342;357;377;654;719;835;897
54210;Coyviller;186;329;344;359;379;658;723;839;902
54740;Crantenoy;193;342;357;372;392;684;752;871;935
54170;Crépey;167;293;308;323;343;586;645;754;813
54290;Crévéchamps;188;333;348;363;383;665;732;848;911
54110;Crévic;198;351;366;381;401;703;773;893;958
54113;Crézilles;152;265;280;295;315;530;583;686;743
54300;Crion;204;363;378;393;413;725;798;920;986
54300;Croismare;207;368;383;398;418;736;810;934;1000
