cp;nom;distance;01-02;03-04;05-06;07-08;09-12;13-16;17-31;32-54
54610;Abaucourt;200;400;415;425;440;800;920;1040;1160
54800;Abbéville-lès-Conflans;174;346;361;371;386;693;797;911;1021
54115;Aboncourt;208;417;432;442;457;833;958;1080;1203
54800;Affléville;168;334;349;359;374;668;768;882;988
54740;Affracourt;185;369;384;394;409;738;849;966;1080
54770;Agincourt;178;355;370;380;395;709;816;931;1042
54460;Aingeray;160;318;333;343;358;635;730;842;946
54170;Allain;157;311;326;336;351;623;716;827;929
54800;Allamont;156;309;324;334;349;619;711;822;924
54112;Allamps;148;293;308;318;333;586;673;783;881
54260;Allondrelle-la-Malmaison;185;369;384;394;409;738;849;966;1080
54770;Amance;181;361;376;386;401;722;830;946;1058
54450;Amenoncourt;232;466;481;491;506;932;1072;1198;1332
54450;Ancerviller;227;456;471;481;496;911;1048;1174;1305
54560;Anderny;187;373;388;398;413;746;858;976;1090
54200;Andilly;160;318;333;343;358;635;730;842;946
54540;Angomont;237;476;491;501;516;953;1096;1223;1358
54150;Anoux;178;355;370;380;395;709;816;931;1042
54470;Ansauville;147;291;306;316;331;581;669;778;876
54110;Anthelupt;191;381;396;406;421;763;877;995;1112
54760;Armaucourt;188;375;390;400;415;751;863;981;1096
54530;Arnaville;182;363;378;388;403;726;835;951;1063
54370;Arracourt;210;421;436;446;461;841;967;1090;1214
54760;Arraye-et-Han;190;379;394;404;419;759;873;991;1106
54510;Art-sur-Meurthe;184;367;382;392;407;734;844;961;1074
54370;Athienville;209;419;434;444;459;837;963;1085;1208
54700;Atton;189;377;392;402;417;755;868;986;1101
54580;Auboué;175;348;363;373;388;697;801;916;1026
54560;Audun-le-Roman;180;359;374;384;399;718;825;941;1053
54450;Autrepierre;230;462;477;487;502;924;1062;1189;1321
54380;Autreville-sur-Moselle;183;365;380;390;405;730;839;956;1069
54160;Autrey;181;361;376;386;401;722;830;946;1058
54490;Avillers;173;344;359;369;384;689;792;906;1015
54385;Avrainville;176;351;366;376;391;701;806;921;1031
54450;Avricourt;224;450;465;475;490;899;1034;1159;1289
54150;Avril;178;355;370;380;395;709;816;931;1042
54210;Azelot;185;369;384;394;409;738;849;966;1080
54122;Azerailles;216;433;448;458;473;866;996;1119;1246
54120;Baccarat;222;445;460;470;485;891;1024;1149;1278
54540;Badonviller;230;462;477;487;502;924;1062;1189;1321
54170;Bagneux;156;309;324;334;349;619;711;822;924
54290;Bainville-aux-Miroirs;197;394;409;419;434;788;906;1025;1144
54550;Bainville-sur-Madon;173;344;359;369;384;689;792;906;1015
54450;Barbas;224;450;465;475;490;899;1034;1159;1289
54360;Barbonville;191;381;396;406;421;763;877;995;1112
54170;Barisey-au-Plain;158;313;328;338;353;627;721;832;935
54170;Barisey-la-Côte;155;307;322;332;347;614;707;817;919
54150;Les Baroches;170;338;353;363;378;676;778;892;999
54620;Baslieux;185;369;384;394;409;738;849;966;1080
54370;Bathelémont;211;423;438;448;463;845;972;1094;1219
54980;Batilly;175;348;363;373;388;697;801;916;1026
54115;Battigny;172;342;357;367;382;685;787;901;1010
54370;Bauzemont;205;410;425;435;450;821;944;1065;1187
54290;Bayon;197;394;409;419;434;788;906;1025;1144
54890;Bayonville-sur-Mad;179;357;372;382;397;713;820;936;1047
54620;Bazailles;185;369;384;394;409;738;849;966;1080
54470;Beaumont;142;280;295;305;320;561;645;753;849
54800;Béchamps;159;315;330;340;355;631;726;837;940
54610;Belleau;104;202;217;227;242;404;465;565;645
54940;Belleville;174;346;361;371;386;693;797;911;1021
54450;Bénaménil;212;425;440;450;465;850;977;1099;1224
54740;Benney;187;373;388;398;413;746;858;976;1090
54470;Bernécourt;146;289;304;314;329;577;664;773;870
54480;Bertrambois;238;478;493;503;518;957;1100;1228;1364
54120;Bertrichamps;226;454;469;479;494;907;1043;1169;1299
54640;Bettainvillers;179;357;372;382;397;713;820;936;1047
54620;Beuveille;181;361;376;386;401;722;830;946;1058
54115;Beuvezin;184;367;382;392;407;734;844;961;1074
54560;Beuvillers;190;379;394;404;419;759;873;991;1106
54760;Bey-sur-Seille;189;377;392;402;417;755;868;986;1101
54370;Bezange-la-Grande;201;402;417;427;442;804;925;1045;1165
54380;Bezaumont;175;348;363;373;388;697;801;916;1026
54200;Bicqueley;149;295;310;320;335;590;678;788;887
54300;Bienville-la-Petite;202;404;419;429;444;808;929;1050;1171
54540;Bionville;242;487;502;512;527;973;1119;1248;1385
54360;Blainville-sur-l'Eau;193;386;401;411;426;771;887;1005;1122
