cp;nom;distance;1-2;3-4;5-6;7-8;9-12;13-16;17-31;32-54
54610;Abaucourt;200;229;259;289;309;458;527;573;642
54800;Abbéville-lès-Conflans;174;201;231;261;281;402;462;503;563
54115;Aboncourt;208;238;268;298;318;476;547;595;666
54800;Affléville;168;195;225;255;275;389;447;486;545
54740;Affracourt;185;213;243;273;293;426;490;532;596
54770;Agincourt;178;205;235;265;285;411;472;513;575
54460;Aingeray;160;186;216;246;266;372;427;465;520
54170;Allain;157;183;213;243;263;365;420;456;511
54800;Allamont;156;182;212;242;262;363;417;454;508
54112;Allamps;148;173;203;233;253;346;398;432;484
54260;Allondrelle-la-Malmaison;185;213;243;273;293;426;490;532;596
54770;Amance;181;209;239;269;289;417;480;521;584
54450;Amenoncourt;232;264;294;324;344;528;607;660;739
54450;Ancerviller;227;258;288;318;338;517;594;646;724
54560;Anderny;187;215;245;275;295;430;495;538;602
54200;Andilly;160;186;216;246;266;372;427;465;520
54540;Angomont;237;269;299;329;349;539;619;673;754
54150;Anoux;178;205;235;265;285;411;472;513;575
54470;Ansauville;147;172;202;232;252;344;395;429;481
54110;Anthelupt;191;219;249;279;299;439;505;549;614
54760;Armaucourt;188;216;246;276;296;432;497;540;605
54530;Arnaville;182;210;240;270;290;419;482;524;587
54370;Arracourt;210;240;270;300;320;480;552;600;672
54760;Arraye-et-Han;190;218;248;278;298;437;502;546;611
54510;Art-sur-Meurthe;184;212;242;272;292;424;487;530;593
54370;Athienville;209;239;269;299;319;478;550;597;669
54700;Atton;189;217;247;277;297;435;500;543;608
54580;Auboué;175;202;232;262;282;404;465;505;566
54560;Audun-le-Roman;180;208;238;268;288;415;477;519;581
54450;Autrepierre;230;262;292;322;342;523;602;654;733
54380;Autreville-sur-Moselle;183;211;241;271;291;422;485;527;590
54160;Autrey;181;209;239;269;289;417;480;521;584
54490;Avillers;173;200;230;260;280;400;460;500;560
54385;Avrainville;176;203;233;263;283;406;467;508;569
54450;Avricourt;224;255;285;315;335;510;587;638;714
54150;Avril;178;205;235;265;285;411;472;513;575
54210;Azelot;185;213;243;273;293;426;490;532;596
54122;Azerailles;216;247;277;307;327;493;567;616;690
54120;Baccarat;222;253;283;313;333;506;582;633;708
54540;Badonviller;230;262;292;322;342;523;602;654;733
54170;Bagneux;156;182;212;242;262;363;417;454;508
54290;Bainville-aux-Miroirs;197;226;256;286;306;452;520;565;633
54550;Bainville-sur-Madon;173;200;230;260;280;400;460;500;560
54450;Barbas;224;255;285;315;335;510;587;638;714
54360;Barbonville;191;219;249;279;299;439;505;549;614
54170;Barisey-au-Plain;158;184;214;244;264;367;422;459;514
54170;Barisey-la-Côte;155;180;210;240;260;361;415;451;505
54150;Les Baroches;170;197;227;257;277;393;452;492;551
54620;Baslieux;185;213;243;273;293;426;490;532;596
54370;Bathelémont;211;241;271;301;321;482;554;603;675
54980;Batilly;175;202;232;262;282;404;465;505;566
54115;Battigny;172;199;229;259;279;398;457;497;557
54370;Bauzemont;205;235;265;295;315;469;540;586;657
54290;Bayon;197;226;256;286;306;452;520;565;633
54890;Bayonville-sur-Mad;179;206;236;266;286;413;475;516;578
54620;Bazailles;185;213;243;273;293;426;490;532;596
54470;Beaumont;142;166;196;226;246;333;383;416;466
54800;Béchamps;159;185;215;245;265;370;425;462;517
54610;Belleau;104;125;155;185;205;250;288;313;350
54940;Belleville;174;201;231;261;281;402;462;503;563
54450;Bénaménil;212;242;272;302;322;484;557;605;678
54740;Benney;187;215;245;275;295;430;495;538;602
54470;Bernécourt;146;171;201;231;251;341;393;427;478
54480;Bertrambois;238;270;300;330;350;541;622;676;757
54120;Bertrichamps;226;257;287;317;337;515;592;643;721
54640;Bettainvillers;179;206;236;266;286;413;475;516;578
54620;Beuveille;181;209;239;269;289;417;480;521;584
54115;Beuvezin;184;212;242;272;292;424;487;530;593
54560;Beuvillers;190;218;248;278;298;437;502;546;611
54760;Bey-sur-Seille;189;217;247;277;297;435;500;543;608
54370;Bezange-la-Grande;201;230;260;290;310;461;530;576;645
54380;Bezaumont;175;202;232;262;282;404;465;505;566
54200;Bicqueley;149;174;204;234;254;348;400;435;487
54300;Bienville-la-Petite;202;231;261;291;311;463;532;578;648
54540;Bionville;242;275;305;335;355;549;632;687;769
54360;Blainville-sur-l'Eau;193;222;252;282;302;443;510;554;620
54450;Blâmont;227;258;288;318;338;517;594;646;724
54450;Blémerey;217;248;278;308;328;495;569;619;693
54700;Blénod-lès-Pont-à-Mousson;176;203;233;263;283;406;467;508;569
54113;Blénod-lès-Toul;149;174;204;234;254;348;400;435;487
54620;Boismont;183;211;241;271;291;422;485;527;590
54800;Boncourt;164;190;220;250;270;380;437;475;532
54300;Bonviller;201;230;260;290;310;461;530;576;645
54290;Borville;204;234;264;294;314;467;537;584;654
54200;Boucq;145;170;200;230;250;339;390;424;475
54470;Bouillonville;157;183;213;243;263;365;420;456;511
54200;Bouvron;157;183;213;243;263;365;420;456;511
54770;Bouxières-aux-Chênes;182;210;240;270;290;419;482;524;587
54136;Bouxières-aux-Dames;172;199;229;259;279;398;457;497;557
54700;Bouxières-sous-Froidmont;195;224;254;284;304;448;515;559;627
54930;Bouzanville;192;221;251;281;301;441;507;551;617
54800;Brainville;164;190;220;250;270;380;437;475;532
54740;Bralleville;201;230;260;290;310;461;530;576;645
54610;Bratte;186;214;244;274;294;428;492;535;599
54190;Bréhain-la-Ville;199;228;258;288;308;456;525;570;639
54540;Bréménil;234;266;296;326;346;532;612;665;745
54290;Brémoncourt;201;230;260;290;310;461;530;576;645
54150;Briey;172;199;229;259;279;398;457;497;557
54280;Brin-sur-Seille;192;221;251;281;301;441;507;551;617
54120;Brouville;223;254;284;314;334;508;584;635;711
54200;Bruley;148;173;203;233;253;346;398;432;484
54800;Bruville;169;196;226;256;276;391;450;489;548
54110;Buissoncourt;191;219;249;279;299;439;505;549;614
54113;Bulligny;151;176;206;236;256;352;405;440;493
54370;Bures;211;241;271;301;321;482;554;603;675
54450;Buriville;216;247;277;307;327;493;567;616;690
54210;Burthecourt-aux-Chênes;185;213;243;273;293;426;490;532;596
