CP;Commune;Distance;1-2 ;3-4 ;5-6 ;7-8 ;9-12 ;13-16 ;17-31 ;32-54
54610;Abaucourt;200;229,1666667;259,1666667;289,1666667;309,1666667;458,3333333;527,0833333;572,9166667;641,6666667
54800;Abbéville-lès-Conflans;174;201;231;261;281;402;462,3;502,5;562,8
54115;Aboncourt;208;237,8333333;267,8333333;297,8333333;317,8333333;475,6666667;547,0166667;594,5833333;665,9333333
54800;Affléville;168;194,5;224,5;254,5;274,5;389;447,35;486,25;544,6
54740;Affracourt;185;212,9166667;242,9166667;272,9166667;292,9166667;425,8333333;489,7083333;532,2916667;596,1666667
54770;Agincourt;178;205,3333333;235,3333333;265,3333333;285,3333333;410,6666667;472,2666667;513,3333333;574,9333333
54460;Aingeray;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
54170;Allain;157;182,5833333;212,5833333;242,5833333;262,5833333;365,1666667;419,9416667;456,4583333;511,2333333
54800;Allamont;156;181,5;211,5;241,5;261,5;363;417,45;453,75;508,2
54112;Allamps;148;172,8333333;202,8333333;232,8333333;252,8333333;345,6666667;397,5166667;432,0833333;483,9333333
54260;Allondrelle-la-Malmaison;185;212,9166667;242,9166667;272,9166667;292,9166667;425,8333333;489,7083333;532,2916667;596,1666667
54770;Amance;181;208,5833333;238,5833333;268,5833333;288,5833333;417,1666667;479,7416667;521,4583333;584,0333333
54450;Amenoncourt;232;263,8333333;293,8333333;323,8333333;343,8333333;527,6666667;606,8166667;659,5833333;738,7333333
54450;Ancerviller;227;258,4166667;288,4166667;318,4166667;338,4166667;516,8333333;594,3583333;646,0416667;723,5666667
54560;Anderny;187;215,0833333;245,0833333;275,0833333;295,0833333;430,1666667;494,6916667;537,7083333;602,2333333
54200;Andilly;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
54540;Angomont;237;269,25;299,25;329,25;349,25;538,5;619,275;673,125;753,9
54150;Anoux;178;205,3333333;235,3333333;265,3333333;285,3333333;410,6666667;472,2666667;513,3333333;574,9333333
54470;Ansauville;147;171,75;201,75;231,75;251,75;343,5;395,025;429,375;480,9
54110;Anthelupt;191;219,4166667;249,4166667;279,4166667;299,4166667;438,8333333;504,6583333;548,5416667;614,3666667
54760;Armaucourt;188;216,1666667;246,1666667;276,1666667;296,1666667;432,3333333;497,1833333;540,4166667;605,2666667
54530;Arnaville;182;209,6666667;239,6666667;269,6666667;289,6666667;419,3333333;482,2333333;524,1666667;587,0666667
54370;Arracourt;210;240;270;300;320;480;552;600;672
54760;Arraye-et-Han;190;218,3333333;248,3333333;278,3333333;298,3333333;436,6666667;502,1666667;545,8333333;611,3333333
54510;Art-sur-Meurthe;184;211,8333333;241,8333333;271,8333333;291,8333333;423,6666667;487,2166667;529,5833333;593,1333333
54370;Athienville;209;238,9166667;268,9166667;298,9166667;318,9166667;477,8333333;549,5083333;597,2916667;668,9666667
54700;Atton;189;217,25;247,25;277,25;297,25;434,5;499,675;543,125;608,3
54580;Auboué;175;202,0833333;232,0833333;262,0833333;282,0833333;404,1666667;464,7916667;505,2083333;565,8333333
