cp;nom;distance;P01-02;P03-04;P05-P06;P07-08;P09-12;P13-16;P17-31;P32-54
55130;Abainville;125;214;229;244;264;429;472;565;616
55400;Abaucourt-Hautecourt;141;244;259;274;294;489;538;637;691
55110;Aincreville;139;241;256;271;291;481;529;628;682
55130;Amanty;136;235;250;265;285;470;517;614;668
55300;Ambly-sur-Meuse;137;237;252;267;287;474;521;619;672
55230;Amel-sur-l'Étang;160;280;295;310;330;560;616;722;780
55320;Ancemont;128;220;235;250;270;440;484;578;630
55170;Ancerville;76;123;138;153;173;245;270;344;386
55800;Andernay;70;111;126;141;161;223;245;317;358
55300;Apremont-la-Forêt;134;231;246;261;281;463;509;605;658
55230;Arrancy-sur-Crusne;178;314;329;344;364;628;690;803;864
55120;Aubréville;109;184;199;214;234;369;406;493;541
55170;Aulnois-en-Perthois;84;138;153;168;188;275;303;380;424
55120;Autrécourt-sur-Aire;110;186;201;216;236;373;410;497;546
55700;Autréville-Saint-Lambert;167;293;308;323;343;586;645;754;813
55210;Avillers-Sainte-Croix;160;280;295;310;330;560;616;722;780
55600;Avioth;175;308;323;338;358;616;678;790;850
55270;Avocourt;122;209;224;239;259;418;459;551;602
55150;Azannes-et-Soumazannes;150;261;276;291;311;523;575;677;733
55700;Baâlon;157;274;289;304;324;549;604;709;766
55130;Badonvilliers-Gérauvilliers;132;228;243;258;278;455;501;596;649
55300;Bannoncourt;145;252;267;282;302;504;554;655;710
55110;Bantheville;126;216;231;246;266;433;476;569;621
55000;Bar-le-Duc;91;151;166;181;201;301;331;412;457
55130;Baudignécourt;120;205;220;235;255;410;451;542;593
55170;Baudonvilliers;76;123;138;153;173;245;270;344;386
55260;Baudrémont;147;256;271;286;306;511;562;664;719
55270;Baulny;124;213;228;243;263;425;468;560;611
55600;Bazeilles-sur-Othain;176;310;325;340;360;620;682;794;855
55170;Bazincourt-sur-Saulx;90;149;164;179;199;298;327;407;452
55700;Beauclair;134;231;246;261;281;463;509;605;658
55700;Beaufort-en-Argonne;156;273;288;303;323;545;600;704;761
55250;Beaulieu-en-Argonne;112;190;205;220;240;380;418;506;555
55100;Beaumont-en-Verdunois;142;246;261;276;296;493;542;641;696
55250;Beausite;105;177;192;207;227;354;389;475;522
55000;Behonne;95;158;173;188;208;316;348;430;475
55100;Belleray;130;224;239;254;274;448;492;587;639
55430;Belleville-sur-Meuse;129;222;237;252;272;444;488;583;635
55260;Belrain;110;186;201;216;236;373;410;497;546
55100;Belrupt-en-Verdunois;132;228;243;258;278;455;501;596;649
55210;Beney-en-Woëvre;158;276;291;306;326;553;608;713;771
55100;Béthelainville;120;205;220;235;255;410;451;542;593
55270;Béthincourt;134;231;246;261;281;463;509;605;658
55000;Beurey-sur-Saulx;85;139;154;169;189;279;307;385;428
55100;Bezonvaux;144;250;265;280;300;500;550;650;705
55290;Biencourt-sur-Orge;106;179;194;209;229;358;393;479;527
55230;Billy-sous-Mangiennes;171;301;316;331;351;601;661;772;832
55300;Bislée;132;228;243;258;278;455;501;596;649
55400;Blanzée;157;274;289;304;324;549;604;709;766
55400;Boinville-en-Woëvre;151;263;278;293;313;526;579;682;738
55200;Boncourt-sur-Meuse;124;213;228;243;263;425;468;560;611
55130;Bonnet;124;213;228;243;263;425;468;560;611
55160;Bonzée;150;261;276;291;311;523;575;677;733
55500;Le Bouchon-sur-Saulx;93;154;169;184;204;309;340;421;466
55300;Bouconville-sur-Madt;137;237;252;267;287;474;521;619;672
55240;Bouligny;166;291;306;321;341;583;641;749;808
55300;Bouquemont;139;241;256;271;291;481;529;628;682
55270;Boureuilles;115;196;211;226;246;391;430;520;569
55190;Bovée-sur-Barboure;120;205;220;235;255;410;451;542;593
55500;Boviolles;110;186;201;216;236;373;410;497;546
55120;Brabant-en-Argonne;110;186;201;216;236;373;410;497;546
55800;Brabant-le-Roi;78;126;141;156;176;253;278;353;396
55100;Brabant-sur-Meuse;143;248;263;278;298;496;546;646;700
55150;Brandeville;157;274;289;304;324;549;604;709;766
55400;Braquis;145;252;267;282;302;504;554;655;710
55100;Bras-sur-Meuse;121;207;222;237;257;414;455;547;597
55170;Brauvilliers;103;173;188;203;223;346;381;466;513
55150;Bréhéville;162;284;299;314;334;568;624;731;789
55600;Breux;177;312;327;342;362;624;686;799;860
55110;Brieulles-sur-Meuse;139;241;256;271;291;481;529;628;682
55000;Brillon-en-Barrois;82;134;149;164;184;268;294;371;414
55140;Brixey-aux-Chanoines;150;261;276;291;311;523;575;677;733
55250;Brizeaux;116;198;213;228;248;395;435;524;574
55120;Brocourt-en-Argonne;111;188;203;218;238;376;414;502;550
55700;Brouennes;163;286;301;316;336;571;628;736;794
55190;Broussey-en-Blois;123;211;226;241;261;421;463;556;607
55200;Broussey-Raulecourt;136;235;250;265;285;470;517;614;668
55290;Bure;112;190;205;220;240;380;418;506;555
55140;Burey-en-Vaux;137;237;252;267;287;474;521;619;672
55140;Burey-la-Côte;146;254;269;284;304;508;558;659;714
55300;Buxières-sous-les-Côtes;173;304;319;334;354;609;670;781;841
55400;Buzy-Darmont;155;271;286;301;321;541;595;700;757
55700;Cesse;160;280;295;310;330;560;616;722;780
55210;Chaillon;156;273;288;303;323;545;600;704;761
55140;Chalaines;156;273;288;303;323;545;600;704;761
55100;Champneuville;119;203;218;233;253;406;447;538;588
55140;Champougny;141;244;259;274;294;489;538;637;691
55500;Chanteraine;105;177;192;207;227;354;389;475;522
55000;Chardogne;90;149;164;179;199;298;327;407;452
55100;Charny-sur-Meuse;119;203;218;233;253;406;447;538;588
55270;Charpentry;124;213;228;243;263;425;468;560;611
55130;Chassey-Beaupré;125;214;229;244;264;429;472;565;616
55400;Châtillon-sous-les-Côtes;140;243;258;273;293;485;534;632;686
55100;Chattancourt;127;218;233;248;268;436;480;574;625
55150;Chaumont-devant-Damvillers;148;258;273;288;308;515;567;668;724
55260;Chaumont-sur-Aire;127;218;233;248;268;436;480;574;625
55600;Chauvency-le-Château;164;288;303;318;338;575;633;740;799
55600;Chauvency-Saint-Hubert;166;291;306;321;341;583;641;749;808
55300;Chauvoncourt;123;211;226;241;261;421;463;556;607
55270;Cheppy;121;207;222;237;257;414;455;547;597
55200;Chonville-Malaumont;118;201;216;231;251;403;443;533;583
55270;Cierges-sous-Montfaucon;130;224;239;254;274;448;492;587;639
55120;Le Claon;88;145;160;175;195;290;319;398;443
55120;Clermont-en-Argonne;92;153;168;183;203;305;336;416;461
55110;Cléry-le-Grand;133;229;244;259;279;459;505;601;653
55110;Cléry-le-Petit;136;235;250;265;285;470;517;614;668
55000;Combles-en-Barrois;87;143;158;173;193;286;315;394;438
55160;Combres-sous-les-Côtes;153;267;282;297;317;534;587;691;747
55200;Commercy;123;211;226;241;261;421;463;556;607
55110;Consenvoye;144;250;265;280;300;500;550;650;705
55800;Contrisson;68;108;123;138;158;215;237;308;349
55260;Courcelles-en-Barrois;110;186;201;216;236;373;410;497;546
55260;Courcelles-sur-Aire;112;190;205;220;240;380;418;506;555
55260;Courouvre;138;239;254;269;289;478;525;623;677
55170;Cousances-les-Forges;84;138;153;168;188;275;303;380;424
55500;Cousances-lès-Triconville;118;201;216;231;251;403;443;533;583
55290;Couvertpuis;102;171;186;201;221;343;377;461;508
55800;Couvonges;74;119;134;149;169;238;261;335;377
55270;Cuisy;144;250;265;280;300;500;550;650;705
55100;Cumières-le-Mort-Homme;116;198;213;228;248;395;435;524;574
55110;Cunel;127;218;233;248;268;436;480;574;625
55500;Dagonville;121;207;222;237;257;414;455;547;597
55130;Dainville-Bertheléville;131;226;241;256;276;451;496;592;644
55400;Damloup;126;216;231;246;266;433;476;569;621
55500;Dammarie-sur-Saulx;96;160;175;190;210;320;352;434;480
55150;Damvillers;153;267;282;297;317;534;587;691;747
55110;Dannevoux;140;243;258;273;293;485;534;632;686
55130;Delouze-Rosières;126;216;231;246;266;433;476;569;621
55150;Delut;162;284;299;314;334;568;624;731;789
55130;Demange-aux-Eaux;118;201;216;231;251;403;443;533;583
55400;Dieppe-sous-Douaumont;143;248;263;278;298;496;546;646;700
55320;Dieue-sur-Meuse;116;198;213;228;248;395;435;524;574
55120;Dombasle-en-Argonne;101;169;184;199;219;339;373;457;503
55150;Dombras;161;282;297;312;332;564;620;727;785
55160;Dommartin-la-Montagne;157;274;289;304;324;549;604;709;766
55240;Dommary-Baroncourt;163;286;301;316;336;571;628;736;794
55300;Dompcevrin;148;258;273;288;308;515;567;668;724
55300;Dompierre-aux-Bois;151;263;278;293;313;526;579;682;738
55240;Domremy-la-Canne;165;289;304;319;339;579;637;745;803
55160;Doncourt-aux-Templiers;155;271;286;301;321;541;595;700;757
55100;Douaumont;138;239;254;269;289;478;525;623;677
55110;Doulcon;134;231;246;261;281;463;509;605;658
55100;Dugny-sur-Meuse;111;188;203;218;238;376;414;502;550
55110;Dun-sur-Meuse;144;250;265;280;300;500;550;650;705
55230;Duzey;171;301;316;331;351;601;661;772;832
55600;Écouviez;176;310;325;340;360;620;682;794;855
55150;Écurey-en-Verdunois;158;276;291;306;326;553;608;713;771
55400;Eix;124;213;228;243;263;425;468;560;611
55160;Les Éparges;153;267;282;297;317;534;587;691;747
55140;Épiez-sur-Meuse;141;244;259;274;294;489;538;637;691
55270;Épinonville;128;220;235;250;270;440;484;578;630
55260;Érize-la-Brûlée;135;233;248;263;283;466;513;610;663
55260;Érize-la-Petite;98;164;179;194;214;328;360;443;489
55000;Érize-Saint-Dizier;105;177;192;207;227;354;389;475;522
55500;Erneville-aux-Bois;114;194;209;224;244;388;426;515;564
55100;Esnes-en-Argonne;125;214;229;244;264;429;472;565;616
55400;Étain;155;271;286;301;321;541;595;700;757
55240;Éton;162;284;299;314;334;568;624;731;789
55150;Étraye;154;269;284;299;319;538;591;695;752
55200;Euville;125;214;229;244;264;429;472;565;616
55250;Èvres;103;173;188;203;223;346;381;466;513
55000;Fains-Véel;82;134;149;164;184;268;294;371;414
55600;Flassigny;173;304;319;334;354;609;670;781;841
55100;Fleury-devant-Douaumont;121;207;222;237;257;414;455;547;597
55400;Foameix-Ornel;158;276;291;306;326;553;608;713;771
