cp;commune;distance;01-02;03-04;05-06;07-08;09-12;13-16;17-31;32-54
55130;Abainville;125;245;260;270;285;491;564;669;758
55400;Abaucourt-Hautecourt;141;278;293;303;318;557;640;748;844
55110;Aincreville;139;274;289;299;314;548;631;738;833
55130;Amanty;136;268;283;293;308;536;616;723;817
55300;Ambly-sur-Meuse;137;270;285;295;310;540;621;728;822
55230;Amel-sur-l'Étang;160;318;333;343;358;635;730;842;946
55320;Ancemont;128;252;267;277;292;503;578;684;774
55170;Ancerville;76;144;159;169;184;289;332;426;495
55800;Andernay;70;132;147;157;172;264;303;397;463
55300;Apremont-la-Forêt;134;264;279;289;304;528;607;713;806
55230;Arrancy-sur-Crusne;178;355;370;380;395;709;816;931;1042
55120;Aubréville;109;212;227;237;252;425;488;590;672
55170;Aulnois-en-Perthois;84;161;176;186;201;322;370;466;538
55120;Autrécourt-sur-Aire;110;214;229;239;254;429;493;595;677
55700;Autréville-Saint-Lambert;167;332;347;357;372;664;763;877;983
55210;Avillers-Sainte-Croix;160;318;333;343;358;635;730;842;946
55600;Avioth;175;348;363;373;388;697;801;916;1026
55270;Avocourt;122;239;254;264;279;478;550;654;742
55150;Azannes-et-Soumazannes;150;297;312;322;337;594;683;793;892
55700;Baâlon;157;311;326;336;351;623;716;827;929
55130;Badonvilliers-Gérauvilliers;132;260;275;285;300;520;597;703;795
55300;Bannoncourt;145;287;302;312;327;573;659;768;865
55110;Bantheville;126;247;262;272;287;495;569;674;763
55000;Bar-le-Duc;91;175;190;200;215;350;403;500;575
55130;Baudignécourt;120;235;250;260;275;470;541;644;731
55170;Baudonvilliers;76;144;159;169;184;289;332;426;495
55260;Baudrémont;147;291;306;316;331;581;669;778;876
55270;Baulny;124;243;258;268;283;487;559;664;752
55600;Bazeilles-sur-Othain;176;351;366;376;391;701;806;921;1031
55170;Bazincourt-sur-Saulx;90;173;188;198;213;346;398;496;570
55700;Beauclair;134;264;279;289;304;528;607;713;806
55700;Beaufort-en-Argonne;156;309;324;334;349;619;711;822;924
55250;Beaulieu-en-Argonne;112;219;234;244;259;437;503;604;688
55100;Beaumont-en-Verdunois;142;280;295;305;320;561;645;753;849
55250;Beausite;105;204;219;229;244;408;469;570;651
55000;Behonne;95;183;198;208;223;367;422;520;597
55100;Belleray;130;256;271;281;296;511;588;694;785
55430;Belleville-sur-Meuse;129;254;269;279;294;507;583;689;779
55260;Belrain;110;214;229;239;254;429;493;595;677
55100;Belrupt-en-Verdunois;132;260;275;285;300;520;597;703;795
55210;Beney-en-Woëvre;158;313;328;338;353;627;721;832;935
55100;Béthelainville;120;235;250;260;275;470;541;644;731
55270;Béthincourt;134;264;279;289;304;528;607;713;806
55000;Beurey-sur-Saulx;85;163;178;188;203;326;374;471;543
55100;Bezonvaux;144;285;300;310;325;569;654;763;860
55290;Biencourt-sur-Orge;106;206;221;231;246;412;474;575;656
55230;Billy-sous-Mangiennes;171;340;355;365;380;680;782;896;1004
55300;Bislée;132;260;275;285;300;520;597;703;795
