cp;nom;distance;P01-02;P03-04;P05-P06;P07-08;P09-12;P13-16;P17-31;P32-54
59268;Abancourt;220;393;408;423;443;785;864;992;1061
59215;Abscon;239;428;443;458;478;856;985;1108;1233
59149;Aibes;217;387;402;417;437;774;890;1009;1126
59310;Aix;270;486;501;516;536;973;1118;1247;1384
59251;Allennes-les-Marais;262;471;486;501;521;943;1084;1211;1345
59144;Amfroipret;256;460;475;490;510;920;1058;1184;1316
59194;Anhiers;258;464;479;494;514;928;1067;1193;1326
59580;Aniche;230;411;426;441;461;823;946;1067;1189
59400;Anneux;215;383;398;413;433;766;881;1000;1116
59112;Annœullin;260;468;483;498;518;935;1075;1202;1336
59186;Anor;178;314;329;344;364;628;722;833;936
59152;Anstaing;276;498;513;528;548;995;1144;1274;1414
59410;Anzin;243;436;451;466;486;871;1002;1126;1253
59151;Arleux;224;400;415;430;450;800;920;1040;1160
59380;Armbouts-Cappel;335;608;623;638;658;1216;1399;1540;1701
59280;Armentières;288;520;535;550;570;1040;1196;1328;1472
59285;Arnèke;326;591;606;621;641;1183;1360;1499;1657
59269;Artres;248;445;460;475;495;890;1024;1148;1277
59600;Assevent;279;503;518;533;553;1006;1157;1288;1428
59551;Attiches;267;481;496;511;531;961;1105;1234;1370
59265;Aubencheul-au-Bac;222;396;411;426;446;793;911;1031;1150
59165;Auberchicourt;232;415;430;445;465;830;955;1076;1199
59249;Aubers;277;499;514;529;549;999;1149;1279;1418
59265;Aubigny-au-Bac;222;396;411;426;446;793;911;1031;1150
59494;Aubry-du-Hainaut;245;439;454;469;489;879;1011;1135;1262
59950;Auby;256;460;475;490;510;920;1058;1184;1316
59310;Auchy-lez-Orchies;270;486;501;516;536;973;1118;1247;1384
59570;Audignies;266;479;494;509;529;958;1101;1229;1365
59620;Aulnoye-Aymeries;210;374;389;404;424;748;860;977;1092
59300;Aulnoy-lez-Valenciennes;244;438;453;468;488;875;1006;1130;1258
59710;Avelin;266;479;494;509;529;958;1101;1229;1365
59440;Avesnelles;195;346;361;376;396;691;795;910;1019
59129;Avesnes-les-Aubert;222;396;411;426;446;793;911;1031;1150
59296;Avesnes-le-Sec;231;413;428;443;463;826;950;1072;1194
59440;Avesnes-sur-Helpe;195;346;361;376;396;691;795;910;1019
59400;Awoingt;215;383;398;413;433;766;881;1000;1116
59138;Bachant;213;379;394;409;429;759;873;991;1106
59830;Bachy;280;505;520;535;555;1010;1162;1292;1433
59270;Bailleul;305;552;567;582;602;1104;1269;1405;1555
59780;Baisieux;279;503;518;533;553;1006;1157;1288;1428
59132;Baives;191;338;353;368;388;676;778;892;999
59470;Bambecque;331;601;616;631;651;1201;1381;1522;1682
59266;Banteux;204;363;378;393;413;725;834;950;1063
59554;Bantigny;216;385;400;415;435;770;886;1004;1121
59266;Bantouzelle;204;363;378;393;413;725;834;950;1063
59440;Bas-Lieu;195;346;361;376;396;691;795;910;1019
59480;La Bassée;271;488;503;518;538;976;1123;1252;1389
59221;Bauvin;263;473;488;503;523;946;1088;1216;1350
59570;Bavay;265;477;492;507;527;954;1097;1225;1360
59670;Bavinchove;307;556;571;586;606;1111;1278;1414;1565
59360;Bazuel;195;346;361;376;396;691;795;910;1019
59134;Beaucamps-Ligny;276;498;513;528;548;995;1144;1274;1414
59530;Beaudignies;210;374;389;404;424;748;860;977;1092
59330;Beaufort;209;372;387;402;422;744;855;973;1087
59540;Beaumont-en-Cambrésis;212;378;393;408;428;755;868;986;1102
59730;Beaurain;207;368;383;398;418;736;847;964;1077
59550;Beaurepaire-sur-Sambre;194;344;359;374;394;688;791;905;1014
59740;Beaurieux;199;353;368;383;403;706;812;928;1038
59157;Beauvois-en-Cambrésis;221;394;409;424;444;789;907;1027;1145
59135;Bellaing;241;432;447;462;482;864;993;1117;1243
59570;Bellignies;265;477;492;507;527;954;1097;1225;1360
59740;Bérelles;199;353;368;383;403;706;812;928;1038
59380;Bergues;335;608;623;638;658;1216;1399;1540;1701
59145;Berlaimont;213;379;394;409;429;759;873;991;1106
59213;Bermerain;246;441;456;471;491;883;1015;1139;1267
59570;Bermeries;265;477;492;507;527;954;1097;1225;1360
59235;Bersée;262;471;486;501;521;943;1084;1211;1345
59600;Bersillies;279;503;518;533;553;1006;1157;1288;1428
59270;Berthen;305;552;567;582;602;1104;1269;1405;1555
59980;Bertry;207;368;383;398;418;736;847;964;1077
59540;Béthencourt;212;378;393;408;428;755;868;986;1102
59600;Bettignies;279;503;518;533;553;1006;1157;1288;1428
59570;Bettrechies;265;477;492;507;527;954;1097;1225;1360
59216;Beugnies;203;361;376;391;411;721;829;946;1058
59192;Beuvrages;248;445;460;475;495;890;1024;1148;1277
