cp;nom;distance;01-02;03-04;05-06;07-08;09-12;13-16;17-31;32-54
59268;Abancourt;220;441;456;466;481;883;1015;1139;1267
59215;Abscon;239;480;495;505;520;961;1105;1233;1369
59149;Aibes;217;435;450;460;475;870;1001;1124;1251
59310;Aix;270;544;559;569;584;1089;1252;1387;1535
59251;Allennes-les-Marais;262;528;543;553;568;1056;1214;1347;1492
59144;Amfroipret;256;516;531;541;556;1031;1186;1317;1460
59194;Anhiers;258;520;535;545;560;1039;1195;1327;1471
59580;Aniche;230;462;477;487;502;924;1062;1189;1321
59400;Anneux;215;431;446;456;471;862;991;1114;1240
59112;Annœullin;260;524;539;549;564;1048;1205;1337;1482
59186;Anor;178;355;370;380;395;709;816;931;1042
59152;Anstaing;276;557;572;582;597;1114;1281;1416;1568
59410;Anzin;243;489;504;514;529;977;1124;1253;1391
59151;Arleux;224;450;465;475;490;899;1034;1159;1289
59380;Armbouts-Cappel;335;678;693;703;718;1357;1560;1708;1884
59280;Armentières;288;582;597;607;622;1163;1337;1476;1632
59285;Arnèke;326;660;675;685;700;1320;1518;1664;1836
59269;Artres;248;499;514;524;539;998;1148;1278;1417
59600;Assevent;279;563;578;588;603;1126;1295;1431;1584
59551;Attiches;267;538;553;563;578;1076;1238;1372;1519
59265;Aubencheul-au-Bac;222;445;460;470;485;891;1024;1149;1278
59165;Auberchicourt;232;466;481;491;506;932;1072;1198;1332
59249;Aubers;277;559;574;584;599;1118;1285;1421;1573
59265;Aubigny-au-Bac;222;445;460;470;485;891;1024;1149;1278
59494;Aubry-du-Hainaut;245;493;508;518;533;986;1133;1263;1401
59950;Auby;256;516;531;541;556;1031;1186;1317;1460
59310;Auchy-lez-Orchies;270;544;559;569;584;1089;1252;1387;1535
59570;Audignies;266;536;551;561;576;1072;1233;1367;1514
59620;Aulnoye-Aymeries;210;421;436;446;461;841;967;1090;1214
59300;Aulnoy-lez-Valenciennes;244;491;506;516;531;982;1129;1258;1396
59710;Avelin;266;536;551;561;576;1072;1233;1367;1514
59440;Avesnelles;195;390;405;415;430;779;896;1015;1133
59129;Avesnes-les-Aubert;222;445;460;470;485;891;1024;1149;1278
59296;Avesnes-le-Sec;231;464;479;489;504;928;1067;1193;1326
59440;Avesnes-sur-Helpe;195;390;405;415;430;779;896;1015;1133
59400;Awoingt;215;431;446;456;471;862;991;1114;1240
59138;Bachant;213;427;442;452;467;854;982;1104;1230
59830;Bachy;280;565;580;590;605;1130;1300;1436;1589
59270;Bailleul;305;617;632;642;657;1233;1418;1560;1723
59780;Baisieux;279;563;578;588;603;1126;1295;1431;1584
59132;Baives;191;381;396;406;421;763;877;995;1112
59470;Bambecque;331;670;685;695;710;1340;1541;1688;1862
59266;Banteux;204;408;423;433;448;817;939;1060;1181
59554;Bantigny;216;433;448;458;473;866;996;1119;1246
59266;Bantouzelle;204;408;423;433;448;817;939;1060;1181
59440;Bas-Lieu;195;390;405;415;430;779;896;1015;1133
59480;La Bassée;271;546;561;571;586;1093;1257;1391;1541
59221;Bauvin;263;530;545;555;570;1060;1219;1352;1498
59570;Bavay;265;534;549;559;574;1068;1228;1362;1509
59670;Bavinchove;307;621;636;646;661;1241;1428;1570;1734
59360;Bazuel;195;390;405;415;430;779;896;1015;1133
59134;Beaucamps-Ligny;276;557;572;582;597;1114;1281;1416;1568
59530;Beaudignies;210;421;436;446;461;841;967;1090;1214
59330;Beaufort;209;419;434;444;459;837;963;1085;1208
59540;Beaumont-en-Cambrésis;212;425;440;450;465;850;977;1099;1224
59730;Beaurain;207;414;429;439;454;829;953;1075;1198
59550;Beaurepaire-sur-Sambre;194;388;403;413;428;775;892;1010;1128
59740;Beaurieux;199;398;413;423;438;796;915;1035;1155
59157;Beauvois-en-Cambrésis;221;443;458;468;483;887;1020;1144;1273
59135;Bellaing;241;485;500;510;525;969;1114;1243;1380
59570;Bellignies;265;534;549;559;574;1068;1228;1362;1509
59740;Bérelles;199;398;413;423;438;796;915;1035;1155
59380;Bergues;335;678;693;703;718;1357;1560;1708;1884
59145;Berlaimont;213;427;442;452;467;854;982;1104;1230
59213;Bermerain;246;495;510;520;535;990;1138;1268;1407
59570;Bermeries;265;534;549;559;574;1068;1228;1362;1509
59235;Bersée;262;528;543;553;568;1056;1214;1347;1492
59600;Bersillies;279;563;578;588;603;1126;1295;1431;1584
59270;Berthen;305;617;632;642;657;1233;1418;1560;1723
59980;Bertry;207;414;429;439;454;829;953;1075;1198
59540;Béthencourt;212;425;440;450;465;850;977;1099;1224
59600;Bettignies;279;563;578;588;603;1126;1295;1431;1584
59570;Bettrechies;265;534;549;559;574;1068;1228;1362;1509
59216;Beugnies;203;406;421;431;446;812;934;1055;1176
59192;Beuvrages;248;499;514;524;539;998;1148;1278;1417
59310;Beuvry-la-Forêt;270;544;559;569;584;1089;1252;1387;1535
59217;Bévillers;212;425;440;450;465;850;977;1099;1224
59380;Bierne;335;678;693;703;718;1357;1560;1708;1884
59380;Bissezeele;335;678;693;703;718;1357;1560;1708;1884
59173;Blaringhem;298;602;617;627;642;1204;1385;1525;1686
59268;Blécourt;218;437;452;462;477;874;1005;1129;1257
59299;Boeschepe;312;631;646;656;671;1262;1451;1594;1761
59189;Boëseghem;291;588;603;613;628;1175;1352;1490;1648
59280;Bois-Grenier;288;582;597;607;622;1163;1337;1476;1632
59470;Bollezeele;331;670;685;695;710;1340;1541;1688;1862
59910;Bondues;285;575;590;600;615;1151;1323;1461;1616
59190;Borre;311;629;644;654;669;1258;1447;1589;1755
59111;Bouchain;226;454;469;479;494;907;1043;1169;1299
59440;Boulogne-sur-Helpe;195;390;405;415;430;779;896;1015;1133
59630;Bourbourg;333;674;689;699;714;1349;1551;1698;1873
59830;Bourghelles;280;565;580;590;605;1130;1300;1436;1589
59166;Bousbecque;292;590;605;615;630;1180;1356;1495;1653
59222;Bousies;200;400;415;425;440;800;920;1040;1160
59178;Bousignies;245;493;508;518;533;986;1133;1263;1401
59149;Bousignies-sur-Roc;217;435;450;460;475;870;1001;1124;1251
59217;Boussières-en-Cambrésis;220;441;456;466;481;883;1015;1139;1267
59330;Boussières-sur-Sambre;209;419;434;444;459;837;963;1085;1208
59168;Boussois;222;445;460;470;485;891;1024;1149;1278
59870;Bouvignies;250;503;518;528;543;1006;1157;1288;1428
59830;Bouvines;280;565;580;590;605;1130;1300;1436;1589
59123;Bray-Dunes;346;701;716;726;741;1402;1613;1763;1943
59730;Briastre;207;414;429;439;454;829;953;1075;1198
59178;Brillon;245;493;508;518;533;986;1133;1263;1401
59630;Brouckerque;338;685;700;710;725;1369;1575;1723;1900
59470;Broxeele;331;670;685;695;710;1340;1541;1688;1862
59860;Bruay-sur-l'Escaut;254;511;526;536;551;1023;1176;1307;1450
59490;Bruille-lez-Marchiennes;245;493;508;518;533;986;1133;1263;1401
59199;Bruille-Saint-Amand;267;538;553;563;578;1076;1238;1372;1519
59151;Brunémont;224;450;465;475;490;899;1034;1159;1289
59144;Bry;256;516;531;541;556;1031;1186;1317;1460
