cp;nom;distance;01-févr;03-avr;05-juin;07-août;09-déc;13-16;17-31;32-54
59268;Abancourt;220;441;456;466;481;883;1 015;1 139;1 267
59215;Abscon;239;480;495;505;520;961;1 105;1 233;1 369
59149;Aibes;217;435;450;460;475;870;1 001;1 124;1 251
59310;Aix;270;544;559;569;584;1 089;1 252;1 387;1 535
59251;Allennes-les-Marais;262;528;543;553;568;1 056;1 214;1 347;1 492
59144;Amfroipret;256;516;531;541;556;1 031;1 186;1 317;1 460
59194;Anhiers;258;520;535;545;560;1 039;1 195;1 327;1 471
59580;Aniche;230;462;477;487;502;924;1 062;1 189;1 321
59400;Anneux;215;431;446;456;471;862;991;1 114;1 240
59112;Annœullin;260;524;539;549;564;1 048;1 205;1 337;1 482
59186;Anor;178;355;370;380;395;709;816;931;1 042
59152;Anstaing;276;557;572;582;597;1 114;1 281;1 416;1 568
59410;Anzin;243;489;504;514;529;977;1 124;1 253;1 391
59151;Arleux;224;450;465;475;490;899;1 034;1 159;1 289
59380;Armbouts-Cappel;335;678;693;703;718;1 357;1 560;1 708;1 884
59280;Armentières;288;582;597;607;622;1 163;1 337;1 476;1 632
59285;Arnèke;326;660;675;685;700;1 320;1 518;1 664;1 836
59269;Artres;248;499;514;524;539;998;1 148;1 278;1 417
59600;Assevent;279;563;578;588;603;1 126;1 295;1 431;1 584
59551;Attiches;267;538;553;563;578;1 076;1 238;1 372;1 519
59265;Aubencheul-au-Bac;222;445;460;470;485;891;1 024;1 149;1 278
59165;Auberchicourt;232;466;481;491;506;932;1 072;1 198;1 332
59249;Aubers;277;559;574;584;599;1 118;1 285;1 421;1 573
59265;Aubigny-au-Bac;222;445;460;470;485;891;1 024;1 149;1 278
59494;Aubry-du-Hainaut;245;493;508;518;533;986;1 133;1 263;1 401
59950;Auby;256;516;531;541;556;1 031;1 186;1 317;1 460
59310;Auchy-lez-Orchies;270;544;559;569;584;1 089;1 252;1 387;1 535
59570;Audignies;266;536;551;561;576;1 072;1 233;1 367;1 514
59620;Aulnoye-Aymeries;210;421;436;446;461;841;967;1 090;1 214
59300;Aulnoy-lez-Valenciennes;244;491;506;516;531;982;1 129;1 258;1 396
59710;Avelin;266;536;551;561;576;1 072;1 233;1 367;1 514
59440;Avesnelles;195;390;405;415;430;779;896;1 015;1 133
59129;Avesnes-les-Aubert;222;445;460;470;485;891;1 024;1 149;1 278
59296;Avesnes-le-Sec;231;464;479;489;504;928;1 067;1 193;1 326
59440;Avesnes-sur-Helpe;195;390;405;415;430;779;896;1 015;1 133
59400;Awoingt;215;431;446;456;471;862;991;1 114;1 240
59138;Bachant;213;427;442;452;467;854;982;1 104;1 230
59830;Bachy;280;565;580;590;605;1 130;1 300;1 436;1 589
59270;Bailleul;305;617;632;642;657;1 233;1 418;1 560;1 723
59780;Baisieux;279;563;578;588;603;1 126;1 295;1 431;1 584
59132;Baives;191;381;396;406;421;763;877;995;1 112
59470;Bambecque;331;670;685;695;710;1 340;1 541;1 688;1 862
59266;Banteux;204;408;423;433;448;817;939;1 060;1 181
59554;Bantigny;216;433;448;458;473;866;996;1 119;1 246
59266;Bantouzelle;204;408;423;433;448;817;939;1 060;1 181
59440;Bas-Lieu;195;390;405;415;430;779;896;1 015;1 133
59480;La Bassée;271;546;561;571;586;1 093;1 257;1 391;1 541
59221;Bauvin;263;530;545;555;570;1 060;1 219;1 352;1 498
59570;Bavay;265;534;549;559;574;1 068;1 228;1 362;1 509
59670;Bavinchove;307;621;636;646;661;1 241;1 428;1 570;1 734
59360;Bazuel;195;390;405;415;430;779;896;1 015;1 133
59134;Beaucamps-Ligny;276;557;572;582;597;1 114;1 281;1 416;1 568
59530;Beaudignies;210;421;436;446;461;841;967;1 090;1 214
59330;Beaufort;209;419;434;444;459;837;963;1 085;1 208
59540;Beaumont-en-Cambrésis;212;425;440;450;465;850;977;1 099;1 224
59730;Beaurain;207;414;429;439;454;829;953;1 075;1 198
59550;Beaurepaire-sur-Sambre;194;388;403;413;428;775;892;1 010;1 128
59740;Beaurieux;199;398;413;423;438;796;915;1 035;1 155
59157;Beauvois-en-Cambrésis;221;443;458;468;483;887;1 020;1 144;1 273
59135;Bellaing;241;485;500;510;525;969;1 114;1 243;1 380
59570;Bellignies;265;534;549;559;574;1 068;1 228;1 362;1 509
59740;Bérelles;199;398;413;423;438;796;915;1 035;1 155
59380;Bergues;335;678;693;703;718;1 357;1 560;1 708;1 884
59145;Berlaimont;213;427;442;452;467;854;982;1 104;1 230
59213;Bermerain;246;495;510;520;535;990;1 138;1 268;1 407
59570;Bermeries;265;534;549;559;574;1 068;1 228;1 362;1 509
59235;Bersée;262;528;543;553;568;1 056;1 214;1 347;1 492
59600;Bersillies;279;563;578;588;603;1 126;1 295;1 431;1 584
59270;Berthen;305;617;632;642;657;1 233;1 418;1 560;1 723
59980;Bertry;207;414;429;439;454;829;953;1 075;1 198
59540;Béthencourt;212;425;440;450;465;850;977;1 099;1 224
59600;Bettignies;279;563;578;588;603;1 126;1 295;1 431;1 584
59570;Bettrechies;265;534;549;559;574;1 068;1 228;1 362;1 509
59216;Beugnies;203;406;421;431;446;812;934;1 055;1 176
59192;Beuvrages;248;499;514;524;539;998;1 148;1 278;1 417
59310;Beuvry-la-Forêt;270;544;559;569;584;1 089;1 252;1 387;1 535
59217;Bévillers;212;425;440;450;465;850;977;1 099;1 224
59380;Bierne;335;678;693;703;718;1 357;1 560;1 708;1 884
59380;Bissezeele;335;678;693;703;718;1 357;1 560;1 708;1 884
59173;Blaringhem;298;602;617;627;642;1 204;1 385;1 525;1 686
59268;Blécourt;218;437;452;462;477;874;1 005;1 129;1 257
59299;Boeschepe;312;631;646;656;671;1 262;1 451;1 594;1 761
59189;Boëseghem;291;588;603;613;628;1 175;1 352;1 490;1 648
59280;Bois-Grenier;288;582;597;607;622;1 163;1 337;1 476;1 632
59470;Bollezeele;331;670;685;695;710;1 340;1 541;1 688;1 862
59910;Bondues;285;575;590;600;615;1 151;1 323;1 461;1 616
59190;Borre;311;629;644;654;669;1 258;1 447;1 589;1 755
59111;Bouchain;226;454;469;479;494;907;1 043;1 169;1 299
59440;Boulogne-sur-Helpe;195;390;405;415;430;779;896;1 015;1 133
59630;Bourbourg;333;674;689;699;714;1 349;1 551;1 698;1 873
59830;Bourghelles;280;565;580;590;605;1 130;1 300;1 436;1 589
59166;Bousbecque;292;590;605;615;630;1 180;1 356;1 495;1 653
59222;Bousies;200;400;415;425;440;800;920;1 040;1 160
59178;Bousignies;245;493;508;518;533;986;1 133;1 263;1 401
59149;Bousignies-sur-Roc;217;435;450;460;475;870;1 001;1 124;1 251
59217;Boussières-en-Cambrésis;220;441;456;466;481;883;1 015;1 139;1 267
59330;Boussières-sur-Sambre;209;419;434;444;459;837;963;1 085;1 208
59168;Boussois;222;445;460;470;485;891;1 024;1 149;1 278
59870;Bouvignies;250;503;518;528;543;1 006;1 157;1 288;1 428
59830;Bouvines;280;565;580;590;605;1 130;1 300;1 436;1 589
