CP;Commune;Distance;1-2;3-4;5-6;7-8;9-12;13-16;17-31;32-54
59268;Abancourt;220;250,8333333;280,8333333;310,8333333;330,8333333;501,6666667;576,9166667;627,0833333;702,3333333
59215;Abscon;239;271,4166667;301,4166667;331,4166667;351,4166667;542,8333333;624,2583333;678,5416667;759,9666667
59149;Aibes;217;247,5833333;277,5833333;307,5833333;327,5833333;495,1666667;569,4416667;618,9583333;693,2333333
59310;Aix;270;305;335;365;385;610;701,5;762,5;854
59251;Allennes-les-Marais;262;296,3333333;326,3333333;356,3333333;376,3333333;592,6666667;681,5666667;740,8333333;829,7333333
59144;Amfroipret;256;289,8333333;319,8333333;349,8333333;369,8333333;579,6666667;666,6166667;724,5833333;811,5333333
59194;Anhiers;258;292;322;352;372;584;671,6;730;817,6
59580;Aniche;230;261,6666667;291,6666667;321,6666667;341,6666667;523,3333333;601,8333333;654,1666667;732,6666667
59400;Anneux;215;245,4166667;275,4166667;305,4166667;325,4166667;490,8333333;564,4583333;613,5416667;687,1666667
59112;Annœullin;260;294,1666667;324,1666667;354,1666667;374,1666667;588,3333333;676,5833333;735,4166667;823,6666667
59186;Anor;178;205,3333333;235,3333333;265,3333333;285,3333333;410,6666667;472,2666667;513,3333333;574,9333333
59152;Anstaing;276;311,5;341,5;371,5;391,5;623;716,45;778,75;872,2
59410;Anzin;243;275,75;305,75;335,75;355,75;551,5;634,225;689,375;772,1
59151;Arleux;224;255,1666667;285,1666667;315,1666667;335,1666667;510,3333333;586,8833333;637,9166667;714,4666667
59380;Armbouts-Cappel;335;375,4166667;405,4166667;435,4166667;455,4166667;750,8333333;863,4583333;938,5416667;1051,166667
59280;Armentières;288;324,5;354,5;384,5;404,5;649;746,35;811,25;908,6
59285;Arnèke;326;365,6666667;395,6666667;425,6666667;445,6666667;731,3333333;841,0333333;914,1666667;1023,866667
59269;Artres;248;281,1666667;311,1666667;341,1666667;361,1666667;562,3333333;646,6833333;702,9166667;787,2666667
59600;Assevent;279;314,75;344,75;374,75;394,75;629,5;723,925;786,875;881,3
59551;Attiches;267;301,75;331,75;361,75;381,75;603,5;694,025;754,375;844,9
59265;Aubencheul-au-Bac;222;253;283;313;333;506;581,9;632,5;708,4
59165;Auberchicourt;232;263,8333333;293,8333333;323,8333333;343,8333333;527,6666667;606,8166667;659,5833333;738,7333333
59249;Aubers;277;312,5833333;342,5833333;372,5833333;392,5833333;625,1666667;718,9416667;781,4583333;875,2333333
59265;Aubigny-au-Bac;222;253;283;313;333;506;581,9;632,5;708,4
59494;Aubry-du-Hainaut;245;277,9166667;307,9166667;337,9166667;357,9166667;555,8333333;639,2083333;694,7916667;778,1666667
59950;Auby;256;289,8333333;319,8333333;349,8333333;369,8333333;579,6666667;666,6166667;724,5833333;811,5333333
59310;Auchy-lez-Orchies;270;305;335;365;385;610;701,5;762,5;854
59570;Audignies;266;300,6666667;330,6666667;360,6666667;380,6666667;601,3333333;691,5333333;751,6666667;841,8666667
59620;Aulnoye-Aymeries;210;240;270;300;320;480;552;600;672
59300;Aulnoy-lez-Valenciennes;244;276,8333333;306,8333333;336,8333333;356,8333333;553,6666667;636,7166667;692,0833333;775,1333333
59710;Avelin;266;300,6666667;330,6666667;360,6666667;380,6666667;601,3333333;691,5333333;751,6666667;841,8666667
59440;Avesnelles;195;223,75;253,75;283,75;303,75;447,5;514,625;559,375;626,5
59129;Avesnes-les-Aubert;222;253;283;313;333;506;581,9;632,5;708,4
59296;Avesnes-le-Sec;231;262,75;292,75;322,75;342,75;525,5;604,325;656,875;735,7
59440;Avesnes-sur-Helpe;195;223,75;253,75;283,75;303,75;447,5;514,625;559,375;626,5
59400;Awoingt;215;245,4166667;275,4166667;305,4166667;325,4166667;490,8333333;564,4583333;613,5416667;687,1666667
59138;Bachant;213;243,25;273,25;303,25;323,25;486,5;559,475;608,125;681,1
59830;Bachy;280;315,8333333;345,8333333;375,8333333;395,8333333;631,6666667;726,4166667;789,5833333;884,3333333
59270;Bailleul;305;342,9166667;372,9166667;402,9166667;422,9166667;685,8333333;788,7083333;857,2916667;960,1666667
59780;Baisieux;279;314,75;344,75;374,75;394,75;629,5;723,925;786,875;881,3
59132;Baives;191;219,4166667;249,4166667;279,4166667;299,4166667;438,8333333;504,6583333;548,5416667;614,3666667
59470;Bambecque;331;371,0833333;401,0833333;431,0833333;451,0833333;742,1666667;853,4916667;927,7083333;1039,033333
59266;Banteux;204;233,5;263,5;293,5;313,5;467;537,05;583,75;653,8
59554;Bantigny;216;246,5;276,5;306,5;326,5;493;566,95;616,25;690,2
59266;Bantouzelle;204;233,5;263,5;293,5;313,5;467;537,05;583,75;653,8
59440;Bas-Lieu;195;223,75;253,75;283,75;303,75;447,5;514,625;559,375;626,5
59480;La Bassée;271;306,0833333;336,0833333;366,0833333;386,0833333;612,1666667;703,9916667;765,2083333;857,0333333
59221;Bauvin;263;297,4166667;327,4166667;357,4166667;377,4166667;594,8333333;684,0583333;743,5416667;832,7666667
59570;Bavay;265;299,5833333;329,5833333;359,5833333;379,5833333;599,1666667;689,0416667;748,9583333;838,8333333
59670;Bavinchove;307;345,0833333;375,0833333;405,0833333;425,0833333;690,1666667;793,6916667;862,7083333;966,2333333
59360;Bazuel;195;223,75;253,75;283,75;303,75;447,5;514,625;559,375;626,5
59134;Beaucamps-Ligny;276;311,5;341,5;371,5;391,5;623;716,45;778,75;872,2
59530;Beaudignies;210;240;270;300;320;480;552;600;672
59330;Beaufort;209;238,9166667;268,9166667;298,9166667;318,9166667;477,8333333;549,5083333;597,2916667;668,9666667
59540;Beaumont-en-Cambrésis;212;242,1666667;272,1666667;302,1666667;322,1666667;484,3333333;556,9833333;605,4166667;678,0666667
59730;Beaurain;207;236,75;266,75;296,75;316,75;473,5;544,525;591,875;662,9
59550;Beaurepaire-sur-Sambre;194;222,6666667;252,6666667;282,6666667;302,6666667;445,3333333;512,1333333;556,6666667;623,4666667
59740;Beaurieux;199;228,0833333;258,0833333;288,0833333;308,0833333;456,1666667;524,5916667;570,2083333;638,6333333
59157;Beauvois-en-Cambrésis;221;251,9166667;281,9166667;311,9166667;331,9166667;503,8333333;579,4083333;629,7916667;705,3666667
59135;Bellaing;241;273,5833333;303,5833333;333,5833333;353,5833333;547,1666667;629,2416667;683,9583333;766,0333333
59570;Bellignies;265;299,5833333;329,5833333;359,5833333;379,5833333;599,1666667;689,0416667;748,9583333;838,8333333
59740;Bérelles;199;228,0833333;258,0833333;288,0833333;308,0833333;456,1666667;524,5916667;570,2083333;638,6333333
59380;Bergues;335;375,4166667;405,4166667;435,4166667;455,4166667;750,8333333;863,4583333;938,5416667;1051,166667
59145;Berlaimont;213;243,25;273,25;303,25;323,25;486,5;559,475;608,125;681,1
59213;Bermerain;246;279;309;339;359;558;641,7;697,5;781,2
59570;Bermeries;265;299,5833333;329,5833333;359,5833333;379,5833333;599,1666667;689,0416667;748,9583333;838,8333333
59235;Bersée;262;296,3333333;326,3333333;356,3333333;376,3333333;592,6666667;681,5666667;740,8333333;829,7333333
59600;Bersillies;279;314,75;344,75;374,75;394,75;629,5;723,925;786,875;881,3
59270;Berthen;305;342,9166667;372,9166667;402,9166667;422,9166667;685,8333333;788,7083333;857,2916667;960,1666667
59980;Bertry;207;236,75;266,75;296,75;316,75;473,5;544,525;591,875;662,9
59540;Béthencourt;212;242,1666667;272,1666667;302,1666667;322,1666667;484,3333333;556,9833333;605,4166667;678,0666667
59600;Bettignies;279;314,75;344,75;374,75;394,75;629,5;723,925;786,875;881,3
59570;Bettrechies;265;299,5833333;329,5833333;359,5833333;379,5833333;599,1666667;689,0416667;748,9583333;838,8333333
59216;Beugnies;203;232,4166667;262,4166667;292,4166667;312,4166667;464,8333333;534,5583333;581,0416667;650,7666667
59192;Beuvrages;248;281,1666667;311,1666667;341,1666667;361,1666667;562,3333333;646,6833333;702,9166667;787,2666667
59310;Beuvry-la-Forêt;270;305;335;365;385;610;701,5;762,5;854
59217;Bévillers;212;242,1666667;272,1666667;302,1666667;322,1666667;484,3333333;556,9833333;605,4166667;678,0666667
59380;Bierne;335;375,4166667;405,4166667;435,4166667;455,4166667;750,8333333;863,4583333;938,5416667;1051,166667
59380;Bissezeele;335;375,4166667;405,4166667;435,4166667;455,4166667;750,8333333;863,4583333;938,5416667;1051,166667
59173;Blaringhem;298;335,3333333;365,3333333;395,3333333;415,3333333;670,6666667;771,2666667;838,3333333;938,9333333
59268;Blécourt;218;248,6666667;278,6666667;308,6666667;328,6666667;497,3333333;571,9333333;621,6666667;696,2666667
59299;Boeschepe;312;350,5;380,5;410,5;430,5;701;806,15;876,25;981,4
59189;Boëseghem;291;327,75;357,75;387,75;407,75;655,5;753,825;819,375;917,7
59280;Bois-Grenier;288;324,5;354,5;384,5;404,5;649;746,35;811,25;908,6
59470;Bollezeele;331;371,0833333;401,0833333;431,0833333;451,0833333;742,1666667;853,4916667;927,7083333;1039,033333
59910;Bondues;285;321,25;351,25;381,25;401,25;642,5;738,875;803,125;899,5
59190;Borre;311;349,4166667;379,4166667;409,4166667;429,4166667;698,8333333;803,6583333;873,5416667;978,3666667
59111;Bouchain;226;257,3333333;287,3333333;317,3333333;337,3333333;514,6666667;591,8666667;643,3333333;720,5333333
59440;Boulogne-sur-Helpe;195;223,75;253,75;283,75;303,75;447,5;514,625;559,375;626,5
59630;Bourbourg;333;373,25;403,25;433,25;453,25;746,5;858,475;933,125;1045,1
59830;Bourghelles;280;315,8333333;345,8333333;375,8333333;395,8333333;631,6666667;726,4166667;789,5833333;884,3333333
59166;Bousbecque;292;328,8333333;358,8333333;388,8333333;408,8333333;657,6666667;756,3166667;822,0833333;920,7333333
59222;Bousies;200;229,1666667;259,1666667;289,1666667;309,1666667;458,3333333;527,0833333;572,9166667;641,6666667
59178;Bousignies;245;277,9166667;307,9166667;337,9166667;357,9166667;555,8333333;639,2083333;694,7916667;778,1666667
59149;Bousignies-sur-Roc;217;247,5833333;277,5833333;307,5833333;327,5833333;495,1666667;569,4416667;618,9583333;693,2333333
59217;Boussières-en-Cambrésis;220;250,8333333;280,8333333;310,8333333;330,8333333;501,6666667;576,9166667;627,0833333;702,3333333
59330;Boussières-sur-Sambre;209;238,9166667;268,9166667;298,9166667;318,9166667;477,8333333;549,5083333;597,2916667;668,9666667
59168;Boussois;222;253;283;313;333;506;581,9;632,5;708,4
59870;Bouvignies;250;283,3333333;313,3333333;343,3333333;363,3333333;566,6666667;651,6666667;708,3333333;793,3333333
59830;Bouvines;280;315,8333333;345,8333333;375,8333333;395,8333333;631,6666667;726,4166667;789,5833333;884,3333333
59123;Bray-Dunes;346;387,3333333;417,3333333;447,3333333;467,3333333;774,6666667;890,8666667;968,3333333;1084,533333
59730;Briastre;207;236,75;266,75;296,75;316,75;473,5;544,525;591,875;662,9
59178;Brillon;245;277,9166667;307,9166667;337,9166667;357,9166667;555,8333333;639,2083333;694,7916667;778,1666667
59630;Brouckerque;338;378,6666667;408,6666667;438,6666667;458,6666667;757,3333333;870,9333333;946,6666667;1060,266667
59470;Broxeele;331;371,0833333;401,0833333;431,0833333;451,0833333;742,1666667;853,4916667;927,7083333;1039,033333
59860;Bruay-sur-l'Escaut;254;287,6666667;317,6666667;347,6666667;367,6666667;575,3333333;661,6333333;719,1666667;805,4666667
59490;Bruille-lez-Marchiennes;245;277,9166667;307,9166667;337,9166667;357,9166667;555,8333333;639,2083333;694,7916667;778,1666667
59199;Bruille-Saint-Amand;267;301,75;331,75;361,75;381,75;603,5;694,025;754,375;844,9
59151;Brunémont;224;255,1666667;285,1666667;315,1666667;335,1666667;510,3333333;586,8833333;637,9166667;714,4666667
59144;Bry;256;289,8333333;319,8333333;349,8333333;369,8333333;579,6666667;666,6166667;724,5833333;811,5333333
