CP;Commune;Tarif / PAX;Agglomération
75001;Paris 1;39,60;1
75002;Paris 2;39,60;1
75003;Paris 3;39,60;1
75004;Paris 4;39,60;1
75005;Paris 5;39,60;1
75006;Paris 6;39,60;1
75007;Paris 7;39,60;1
75008;Paris 8;39,60;1
75009;Paris 9;39,60;1
75009;Gare de Saint Lazarre;39,60;1
75010;Paris 10;39,60;1
75010;Gare du Nord;39,60;1
75010;Gare de l'Est;39,60;1
75011;Paris 11;39,60;1
75012;Paris 12;39,60;1
75012;Gare de Lyon;39,60;1
75012;Gare de Bercy;39,60;1
75012;Gare Routière Paris Bercy;39,60;1
75013;Paris 13;39,60;1
75013;Gare d'Austerlitz;39,60;1
75014;Paris 14;39,60;1
75014;Gare de Montparnasse;39,60;1
75015;Paris 15;39,60;1
75016;Paris 16;39,60;1
75017;Paris 17;39,60;1
75017;Gare Routière Porte Maillot;39,60;1
75018;Paris 18;39,60;1
75019;Paris 19;39,60;1
75020;Paris 20;39,60;1
77760;Achères-la-Forêt;39,60;1
77120;Amillis;39,60;1
77760;Amponville;39,60;1
77390;Andrezel;39,60;1
77410;Annet-sur-Marne;39,60;1
77630;Arbonne-la-Forêt;39,60;1
77390;Argentières;39,60;1
77440;Armentières-en-Brie;39,60;1
77890;Arville;39,60;1
77720;Aubepierre-Ozouer-le-Repos;39,60;1
77570;Aufferville;39,60;1
77120;Aulnoy;39,60;1
77210;Avon;39,60;1
77480;Baby;39,60;1
77167;Bagneaux-sur-Loing;39,60;1
77700;Bailly-Romainvilliers;39,60;1
77118;Balloy;39,60;1
77130;Barbey;39,60;1
77630;Barbizon;39,60;1
77910;Barcy;39,60;1
77750;Bassevelle;39,60;1
77118;Bazoches-lès-Bray;39,60;1
77890;Beaumont-du-Gâtinais;39,60;1
77120;Beautheil;39,60;1
77390;Beauvoir;39,60;1
77510;Bellot;39,60;1
77540;Bernay-Vilbert;39,60;1
77115;Blandy-les-Tours;39,60;1
77940;Blennes;39,60;1
77590;Bois-le-Roi;39,60;1
77350;Boissettes;39,60;1
77350;Boissise-la-Bertrand;39,60;1
77310;Boissise-le-Roi;39,60;1
77760;Boissy-aux-Cailles;39,60;1
77169;Boissy-le-Châtel;39,60;1
77750;Boitron;39,60;1
77720;Bombon;39,60;1
77570;Bougligny;39,60;1
77760;Boulancourt;39,60;1
77580;Bouleurs;39,60;1
77780;Bourron-Marlotte;39,60;1
77470;Boutigny;39,60;1
77620;Bransles;39,60;1
77480;Bray-sur-Seine;39,60;1
77720;Bréau;39,60;1
77170;Brie-Comte-Robert;39,60;1
77940;La Brosse-Montceaux;39,60;1
77177;Brou-sur-Chantereine;39,60;1
77890;Burcy;39,60;1
77750;Bussières;39,60;1
77600;Bussy-Saint-Georges;39,60;1
77600;Bussy-Saint-Martin;39,60;1
77760;Buthiers;39,60;1
77130;Cannes-Écluse;39,60;1
77400;Carnetin;39,60;1
77515;La Celle-sur-Morin;39,60;1
77930;Cély;39,60;1
77240;Cesson;39,60;1
77520;Cessoy-en-Montois;39,60;1
77930;Chailly-en-Bière;39,60;1
77120;Chailly-en-Brie;39,60;1
77460;Chaintreaux;39,60;1
77144;Chalifert;39,60;1
77650;Chalmaison;39,60;1
77910;Chambry;39,60;1
77260;Chamigny;39,60;1
77430;Champagne-sur-Seine;39,60;1
77390;Champdeuil;39,60;1
77720;Champeaux;39,60;1
77420;Champs-sur-Marne;39,60;1
77660;Changis-sur-Marne;39,60;1
77600;Chanteloup-en-Brie;39,60;1
77720;La Chapelle-Gauthier;39,60;1
77540;La Chapelle-Iger;39,60;1
77760;La Chapelle-la-Reine;39,60;1
77320;La Chapelle-Moutils;39,60;1
77370;La Chapelle-Rablais;39,60;1
77610;Les Chapelles-Bourbon;39,60;1
77410;Charmentray;39,60;1
77410;Charny;39,60;1
77590;Chartrettes;39,60;1
77320;Chartronges;39,60;1
77370;Châteaubleau;39,60;1
77570;Château-Landon;39,60;1
