cp;nom;distance;P01-02;P03-04;P05-P06;P07-08;P09-12;P13-16;P17-31;P32-54
75001;Paris 1;160;280;295;310;330;560;616;722;780
75002;Paris 2;160;280;295;310;330;560;616;722;780
75003;Paris 3;160;280;295;310;330;560;616;722;780
75004;Paris 4;160;280;295;310;330;560;616;722;780
75005;Paris 5;160;280;295;310;330;560;616;722;780
75006;Paris 6;160;280;295;310;330;560;616;722;780
75007;Paris 7;160;280;295;310;330;560;616;722;780
75008;Paris 8;160;280;295;310;330;560;616;722;780
75009;Paris 9;160;280;295;310;330;560;616;722;780
75009;Gare de Saint Lazarre;160;280;295;310;330;560;616;722;780
75010;Paris 10;160;280;295;310;330;560;616;722;780
75010;Gare du Nord;160;280;295;310;330;560;616;722;780
75010;Gare de l'Est;160;280;295;310;330;560;616;722;780
75011;Paris 11;160;280;295;310;330;560;616;722;780
75012;Paris 12;160;280;295;310;330;560;616;722;780
75012;Gare de Lyon;160;280;295;310;330;560;616;722;780
75012;Gare de Bercy;160;280;295;310;330;560;616;722;780
75012;Gare Routière Paris Bercy;160;280;295;310;330;560;616;722;780
75013;Paris 13;160;280;295;310;330;560;616;722;780
75013;Gare d'Austerlitz;160;280;295;310;330;560;616;722;780
75014;Paris 14;160;280;295;310;330;560;616;722;780
75014;Gare de Montparnasse;160;280;295;310;330;560;616;722;780
75015;Paris 15;160;280;295;310;330;560;616;722;780
75016;Paris 16;160;280;295;310;330;560;616;722;780
75017;Paris 17;160;280;295;310;330;560;616;722;780
75017;Gare Routière Porte Maillot;160;280;295;310;330;560;616;722;780
75018;Paris 18;160;280;295;310;330;560;616;722;780
75019;Paris 19;160;280;295;310;330;560;616;722;780
75020;Paris 20;160;280;295;310;330;560;616;722;780
77760;Achères-la-Forêt;160;280;295;310;330;560;616;722;780
77120;Amillis;95;158;173;188;208;316;348;430;475
77760;Amponville;165;289;304;319;339;579;637;745;803
77390;Andrezel;120;205;220;235;255;410;451;542;593
77410;Annet-sur-Marne;135;233;248;263;283;466;513;610;663
77630;Arbonne-la-Forêt;160;280;295;310;330;560;616;722;780
77390;Argentières;115;196;211;226;246;391;430;520;569
77440;Armentières-en-Brie;115;196;211;226;246;391;430;520;569
77890;Arville;165;289;304;319;339;579;637;745;803
77720;Aubepierre-Ozouer-le-Repos;115;196;211;226;246;391;430;520;569
77570;Aufferville;160;280;295;310;330;560;616;722;780
77560;Augers-en-Brie;80;130;145;160;180;260;286;362;405
77120;Aulnoy;100;168;183;198;218;335;369;452;499
77210;Avon;140;243;258;273;293;485;534;632;686
77480;Baby;100;168;183;198;218;335;369;452;499
77167;Bagneaux-sur-Loing;160;280;295;310;330;560;616;722;780
