cp;nom;distance;01-02;03-04;05-06;07-08;09-12;13-16;17-31;32-54
75001;Paris 1;160;280;295;310;320;560;644;752;848
75002;Paris 2;160;280;295;305;320;560;644;752;848
75003;Paris 3;160;280;295;305;320;560;644;752;848
75004;Paris 4;160;280;295;305;320;560;644;752;848
75005;Paris 5;160;280;295;305;320;560;644;752;848
75006;Paris 6;160;280;295;305;320;560;644;752;848
75007;Paris 7;160;280;295;305;320;560;644;752;848
75008;Paris 8;160;280;295;305;320;560;644;752;848
75009;Paris 9;160;280;295;305;320;560;644;752;848
75009;Gare de Saint Lazarre;160;280;295;305;320;560;644;752;848
75010;Paris 10;160;280;295;305;320;560;644;752;848
75010;Gare du Nord;160;280;295;305;320;560;644;752;848
75010;Gare de l'Est;160;280;295;305;320;560;644;752;848
75011;Paris 11;160;280;295;305;320;560;644;752;848
75012;Paris 12;160;280;295;305;320;560;644;752;848
75012;Gare de Lyon;160;280;295;305;320;560;644;752;848
75012;Gare de Bercy;160;280;295;305;320;560;644;752;848
75012;Gare Routière Paris Bercy;160;280;295;305;320;560;644;752;848
75013;Paris 13;160;280;295;305;320;560;644;752;848
75013;Gare d'Austerlitz;160;280;295;305;320;560;644;752;848
75014;Paris 14;160;280;295;305;320;560;644;752;848
75014;Gare de Montparnasse;160;280;295;305;320;560;644;752;848
75015;Paris 15;160;280;295;305;320;560;644;752;848
75016;Paris 16;160;280;295;305;320;560;644;752;848
75017;Paris 17;160;280;295;305;320;560;644;752;848
75017;Gare Routière Porte Maillot;160;280;295;305;320;560;644;752;848
75018;Paris 18;160;280;295;305;320;560;644;752;848
75019;Paris 19;160;280;295;305;320;560;644;752;848
75020;Paris 20;160;280;295;305;320;560;644;752;848
77760;Achères-la-Forêt;160;280;295;305;320;560;644;752;848
77120;Amillis;95;158;173;183;198;316;364;460;531
77760;Amponville;165;289;304;314;329;579;666;775;872
77390;Andrezel;120;205;220;230;245;410;472;572;653
77410;Annet-sur-Marne;135;233;248;258;273;466;536;640;726
77630;Arbonne-la-Forêt;160;280;295;305;320;560;644;752;848
77390;Argentières;115;196;211;221;236;391;450;550;629
77440;Armentières-en-Brie;115;196;211;221;236;391;450;550;629
77890;Arville;165;289;304;314;329;579;666;775;872
77720;Aubepierre-Ozouer-le-Repos;115;196;211;221;236;391;450;550;629
77570;Aufferville;160;280;295;305;320;560;644;752;848
77560;Augers-en-Brie;80;130;145;155;170;260;299;392;458
77120;Aulnoy;100;168;183;193;208;335;385;482;556
77210;Avon;140;243;258;268;283;485;558;662;751
77480;Baby;100;168;183;193;208;335;385;482;556
77167;Bagneaux-sur-Loing;160;280;295;305;320;560;644;752;848
77700;Bailly-Romainvilliers;120;205;220;230;245;410;472;572;653
77118;Balloy;115;196;211;221;236;391;450;550;629
77970;Bannost-Villegagnon;90;149;164;174;189;298;342;437;507
77130;Barbey;120;205;220;230;245;410;472;572;653
77630;Barbizon;150;261;276;286;301;523;601;707;799
77910;Barcy;130;224;239;249;264;448;515;617;702
77750;Bassevelle;95;158;173;183;198;316;364;460;531
77118;Bazoches-lès-Bray;110;186;201;211;226;373;428;527;604
77560;Beauchery-Saint-Martin;80;130;145;155;170;260;299;392;458
77890;Beaumont-du-Gâtinais;175;308;323;333;348;616;709;820;921
77120;Beautheil;100;168;183;193;208;335;385;482;556
77390;Beauvoir;115;196;211;221;236;391;450;550;629
77510;Bellot;90;149;164;174;189;298;342;437;507
77540;Bernay-Vilbert;110;186;201;211;226;373;428;527;604
77320;Beton-Bazoches;85;139;154;164;179;279;321;415;482
77970;Bezalles;85;139;154;164;179;279;321;415;482
77115;Blandy-les-Tours;130;224;239;249;264;448;515;617;702
77940;Blennes;130;224;239;249;264;448;515;617;702
77970;Boisdon;85;139;154;164;179;279;321;415;482
77590;Bois-le-Roi;140;243;258;268;283;485;558;662;751
77350;Boissettes;140;243;258;268;283;485;558;662;751
77350;Boissise-la-Bertrand;140;243;258;268;283;485;558;662;751
77310;Boissise-le-Roi;145;252;267;277;292;504;579;685;775
77760;Boissy-aux-Cailles;170;299;314;324;339;598;687;797;897
77169;Boissy-le-Châtel;100;168;183;193;208;335;385;482;556
77750;Boitron;95;158;173;183;198;316;364;460;531
77720;Bombon;120;205;220;230;245;410;472;572;653
77570;Bougligny;160;280;295;305;320;560;644;752;848
77760;Boulancourt;175;308;323;333;348;616;709;820;921
77580;Bouleurs;115;196;211;221;236;391;450;550;629
77780;Bourron-Marlotte;150;261;276;286;301;523;601;707;799
77470;Boutigny;115;196;211;221;236;391;450;550;629
77620;Bransles;150;261;276;286;301;523;601;707;799
77480;Bray-sur-Seine;100;168;183;193;208;335;385;482;556
77720;Bréau;120;205;220;230;245;410;472;572;653
77170;Brie-Comte-Robert;135;233;248;258;273;466;536;640;726
77940;La Brosse-Montceaux;125;214;229;239;254;429;493;595;677
77177;Brou-sur-Chantereine;135;233;248;258;273;466;536;640;726
77890;Burcy;170;299;314;324;339;598;687;797;897
77750;Bussières;95;158;173;183;198;316;364;460;531
77600;Bussy-Saint-Georges;130;224;239;249;264;448;515;617;702
77600;Bussy-Saint-Martin;135;233;248;258;273;466;536;640;726
77760;Buthiers;175;308;323;333;348;616;709;820;921
77130;Cannes-Écluse;130;224;239;249;264;448;515;617;702
77400;Carnetin;135;233;248;258;273;466;536;640;726
77515;La Celle-sur-Morin;105;177;192;202;217;354;407;505;580
77930;Cély;155;271;286;296;311;541;622;730;824
77320;Cerneux;75;121;136;146;161;241;277;370;434
77240;Cesson;140;243;258;268;283;485;558;662;751
77520;Cessoy-en-Montois;105;177;192;202;217;354;407;505;580
77930;Chailly-en-Bière;145;252;267;277;292;504;579;685;775
77120;Chailly-en-Brie;95;158;173;183;198;316;364;460;531
77460;Chaintreaux;150;261;276;286;301;523;601;707;799
77171;Chalautre-la-Grande;75;121;136;146;161;241;277;370;434
77160;Chalautre-la-Petite;90;149;164;174;189;298;342;437;507
77144;Chalifert;125;214;229;239;254;429;493;595;677
77650;Chalmaison;95;158;173;183;198;316;364;460;531
77910;Chambry;120;205;220;230;245;410;472;572;653
77260;Chamigny;110;186;201;211;226;373;428;527;604
77430;Champagne-sur-Seine;140;243;258;268;283;485;558;662;751
77560;Champcenest;85;139;154;164;179;279;321;415;482
77390;Champdeuil;125;214;229;239;254;429;493;595;677
77720;Champeaux;125;214;229;239;254;429;493;595;677
77420;Champs-sur-Marne;140;243;258;268;283;485;558;662;751
77660;Changis-sur-Marne;110;186;201;211;226;373;428;527;604
77600;Chanteloup-en-Brie;130;224;239;249;264;448;515;617;702
77720;La Chapelle-Gauthier;120;205;220;230;245;410;472;572;653
77540;La Chapelle-Iger;110;186;201;211;226;373;428;527;604
77760;La Chapelle-la-Reine;160;280;295;305;320;560;644;752;848
77320;La Chapelle-Moutils;80;130;145;155;170;260;299;392;458
77370;La Chapelle-Rablais;115;196;211;221;236;391;450;550;629
77160;La Chapelle-Saint-Sulpice;100;168;183;193;208;335;385;482;556
77610;Les Chapelles-Bourbon;120;205;220;230;245;410;472;572;653
77410;Charmentray;135;233;248;258;273;466;536;640;726
77410;Charny;135;233;248;258;273;466;536;640;726
77590;Chartrettes;140;243;258;268;283;485;558;662;751
77320;Chartronges;85;139;154;164;179;279;321;415;482
77370;Châteaubleau;105;177;192;202;217;354;407;505;580
77570;Château-Landon;170;299;314;324;339;598;687;797;897
77820;Le Châtelet-en-Brie;130;224;239;249;264;448;515;617;702
77126;Châtenay-sur-Seine;115;196;211;221;236;391;450;550;629
77167;Châtenoy;160;280;295;305;320;560;644;752;848
77820;Châtillon-la-Borde;130;224;239;249;264;448;515;617;702
77610;Châtres;120;205;220;230;245;410;472;572;653
77124;Chauconin-Neufmontiers;130;224;239;249;264;448;515;617;702
77169;Chauffry;90;149;164;174;189;298;342;437;507
77390;Chaumes-en-Brie;115;196;211;221;236;391;450;550;629
77500;Chelles;140;243;258;268;283;485;558;662;751
77160;Chenoise;90;149;164;174;189;298;342;437;507
77570;Chenou;165;289;304;314;329;579;666;775;872
77700;Chessy;135;233;248;258;273;466;536;640;726
77760;Chevrainvilliers;160;280;295;305;320;560;644;752;848
77320;Chevru;95;158;173;183;198;316;364;460;531
77173;Chevry-Cossigny;135;233;248;258;273;466;536;640;726
77710;Chevry-en-Sereine;135;233;248;258;273;466;536;640;726
77320;Choisy-en-Brie;85;139;154;164;179;279;321;415;482
77730;Citry;100;168;183;193;208;335;385;482;556
77410;Claye-Souilly;140;243;258;268;283;485;558;662;751
77370;Clos-Fontaine;110;186;201;211;226;373;428;527;604
77440;Cocherel;110;186;201;211;226;373;428;527;604
77090;Collégien;135;233;248;258;273;466;536;640;726
77380;Combs-la-Ville;140;243;258;268;283;485;558;662;751
77290;Compans;145;252;267;277;292;504;579;685;775
77600;Conches-sur-Gondoire;130;224;239;249;264;448;515;617;702
77450;Condé-Sainte-Libiaire;120;205;220;230;245;410;472;572;653
77440;Congis-sur-Thérouanne;120;205;220;230;245;410;472;572;653
77170;Coubert;130;224;239;249;264;448;515;617;702
77860;Couilly-Pont-aux-Dames;115;196;211;221;236;391;450;550;629
77840;Coulombs-en-Valois;115;196;211;221;236;391;450;550;629
77580;Coulommes;115;196;211;221;236;391;450;550;629
77120;Coulommiers;95;158;173;183;198;316;364;460;531
77700;Coupvray;125;214;229;239;254;429;493;595;677
77126;Courcelles-en-Bassée;115;196;211;221;236;391;450;550;629
77560;Courchamp;85;139;154;164;179;279;321;415;482
77540;Courpalay;110;186;201;211;226;373;428;527;604
77390;Courquetaine;125;214;229;239;254;429;493;595;677
77560;Courtacon;80;130;145;155;170;260;299;392;458
77390;Courtomer;110;186;201;211;226;373;428;527;604
77181;Courtry;145;252;267;277;292;504;579;685;775
77154;Coutençon;120;205;220;230;245;410;472;572;653
77580;Coutevroult;115;196;211;221;236;391;450;550;629
77580;Crécy-la-Chapelle;115;196;211;221;236;391;450;550;629
77124;Crégy-lès-Meaux;125;214;229;239;254;429;493;595;677
77610;Crèvecœur-en-Brie;115;196;211;221;236;391;450;550;629
77390;Crisenoy;130;224;239;249;264;448;515;617;702
77183;Croissy-Beaubourg;135;233;248;258;273;466;536;640;726
77370;La Croix-en-Brie;100;168;183;193;208;335;385;482;556
77840;Crouy-sur-Ourcq;120;205;220;230;245;410;472;572;653
77160;Cucharmoy;95;158;173;183;198;316;364;460;531
77165;Cuisy;135;233;248;258;273;466;536;640;726
77320;Dagny;95;158;173;183;198;316;364;460;531
77190;Dammarie-lès-Lys;140;243;258;268;283;485;558;662;751
77230;Dammartin-en-Goële;145;252;267;277;292;504;579;685;775
77163;Dammartin-sur-Tigeaux;110;186;201;211;226;373;428;527;604
77400;Dampmart;135;233;248;258;273;466;536;640;726
77140;Darvault;145;252;267;277;292;504;579;685;775
77440;Dhuisy;110;186;201;211;226;373;428;527;604
77940;Diant;130;224;239;249;264;448;515;617;702
77520;Donnemarie-Dontilly;110;186;201;211;226;373;428;527;604
77130;Dormelles;135;233;248;258;273;466;536;640;726
77510;Doue;95;158;173;183;198;316;364;460;531
77139;Douy-la-Ramée;130;224;239;249;264;448;515;617;702
77830;Échouboulains;120;205;220;230;245;410;472;572;653
77820;Les Écrennes;125;214;229;239;254;429;493;595;677
77250;Écuelles;140;243;258;268;283;485;558;662;751
77126;Égligny;110;186;201;211;226;373;428;527;604
77620;Égreville;150;261;276;286;301;523;601;707;799
