CP;Commune;Distance;1-2 ;3-4 ;5-6 ;7-8 ;9-12 ;13-16 ;17-31 ;32-54
75001;Paris 1;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
75002;Paris 2;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
75003;Paris 3;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
75004;Paris 4;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
75005;Paris 5;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
75006;Paris 6;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
75007;Paris 7;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
75008;Paris 8;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
75009;Paris 9;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
75009;Gare de Saint Lazarre;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
75010;Paris 10;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
75010;Gare du Nord;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
75010;Gare de l'Est;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
75011;Paris 11;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
75012;Paris 12;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
75012;Gare de Lyon;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
75012;Gare de Bercy;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
75012;Gare Routière Paris Bercy;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
75013;Paris 13;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
75013;Gare d'Austerlitz;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
75014;Paris 14;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
75014;Gare de Montparnasse;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
75015;Paris 15;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
75016;Paris 16;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
75017;Paris 17;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
75017;Gare Routière Porte Maillot;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
75018;Paris 18;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
75019;Paris 19;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
75020;Paris 20;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
77760;Achères-la-Forêt;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
77120;Amillis;95;115,4166667;145,4166667;175,4166667;195,4166667;230,8333333;265,4583333;288,5416667;323,1666667
77760;Amponville;165;191,25;221,25;251,25;271,25;382,5;439,875;478,125;535,5
77390;Andrezel;120;142,5;172,5;202,5;222,5;285;327,75;356,25;399
77410;Annet-sur-Marne;135;158,75;188,75;218,75;238,75;317,5;365,125;396,875;444,5
77630;Arbonne-la-Forêt;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
77390;Argentières;115;137,0833333;167,0833333;197,0833333;217,0833333;274,1666667;315,2916667;342,7083333;383,8333333
77440;Armentières-en-Brie;115;137,0833333;167,0833333;197,0833333;217,0833333;274,1666667;315,2916667;342,7083333;383,8333333
77890;Arville;165;191,25;221,25;251,25;271,25;382,5;439,875;478,125;535,5
77720;Aubepierre-Ozouer-le-Repos;115;137,0833333;167,0833333;197,0833333;217,0833333;274,1666667;315,2916667;342,7083333;383,8333333
77570;Aufferville;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
77560;Augers-en-Brie;80;99,16666667;129,1666667;159,1666667;179,1666667;198,3333333;228,0833333;247,9166667;277,6666667
77120;Aulnoy;100;120,8333333;150,8333333;180,8333333;200,8333333;241,6666667;277,9166667;302,0833333;338,3333333
77210;Avon;140;164,1666667;194,1666667;224,1666667;244,1666667;328,3333333;377,5833333;410,4166667;459,6666667
77480;Baby;100;120,8333333;150,8333333;180,8333333;200,8333333;241,6666667;277,9166667;302,0833333;338,3333333
77167;Bagneaux-sur-Loing;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
77700;Bailly-Romainvilliers;120;142,5;172,5;202,5;222,5;285;327,75;356,25;399
77118;Balloy;115;137,0833333;167,0833333;197,0833333;217,0833333;274,1666667;315,2916667;342,7083333;383,8333333
77970;Bannost-Villegagnon;90;110;140;170;190;220;253;275;308
77130;Barbey;120;142,5;172,5;202,5;222,5;285;327,75;356,25;399
77630;Barbizon;150;175;205;235;255;350;402,5;437,5;490
77910;Barcy;130;153,3333333;183,3333333;213,3333333;233,3333333;306,6666667;352,6666667;383,3333333;429,3333333
77750;Bassevelle;95;115,4166667;145,4166667;175,4166667;195,4166667;230,8333333;265,4583333;288,5416667;323,1666667
77118;Bazoches-lès-Bray;110;131,6666667;161,6666667;191,6666667;211,6666667;263,3333333;302,8333333;329,1666667;368,6666667
77560;Beauchery-Saint-Martin;80;99,16666667;129,1666667;159,1666667;179,1666667;198,3333333;228,0833333;247,9166667;277,6666667
77890;Beaumont-du-Gâtinais;175;202,0833333;232,0833333;262,0833333;282,0833333;404,1666667;464,7916667;505,2083333;565,8333333
77120;Beautheil;100;120,8333333;150,8333333;180,8333333;200,8333333;241,6666667;277,9166667;302,0833333;338,3333333
77390;Beauvoir;115;137,0833333;167,0833333;197,0833333;217,0833333;274,1666667;315,2916667;342,7083333;383,8333333
77510;Bellot;90;110;140;170;190;220;253;275;308
77540;Bernay-Vilbert;110;131,6666667;161,6666667;191,6666667;211,6666667;263,3333333;302,8333333;329,1666667;368,6666667
77320;Beton-Bazoches;85;104,5833333;134,5833333;164,5833333;184,5833333;209,1666667;240,5416667;261,4583333;292,8333333
77970;Bezalles;85;104,5833333;134,5833333;164,5833333;184,5833333;209,1666667;240,5416667;261,4583333;292,8333333
77115;Blandy-les-Tours;130;153,3333333;183,3333333;213,3333333;233,3333333;306,6666667;352,6666667;383,3333333;429,3333333
77940;Blennes;130;153,3333333;183,3333333;213,3333333;233,3333333;306,6666667;352,6666667;383,3333333;429,3333333
77970;Boisdon;85;104,5833333;134,5833333;164,5833333;184,5833333;209,1666667;240,5416667;261,4583333;292,8333333
77590;Bois-le-Roi;140;164,1666667;194,1666667;224,1666667;244,1666667;328,3333333;377,5833333;410,4166667;459,6666667
77350;Boissettes;140;164,1666667;194,1666667;224,1666667;244,1666667;328,3333333;377,5833333;410,4166667;459,6666667
