name;zipcode;type
Aéroport Paris Vatry;;airport
Reims;;town
Saint-Quentin;;town
Villeneuve-d'Ascq;;town
Lille;;town
Roubaix;;town
La Chapelle-Saint-Luc;;town
Troyes;;town
Sainte-Savine;;town
Saint-André-les-Vergers;;town
Auxerre;;town
Vitry-le-François;;town
Saint-Dizier;;town
Nancy;;town
Abbécourt;2300;commune
Achery;2800;commune
Acy;2200;commune
Agnicourt-et-Séchelles;2340;commune
Aguilcourt;2190;commune
Aisonville-et-Bernoville;2110;commune
Aizelles;2820;commune
Aizy-Jouy;2370;commune
Alaincourt;2240;commune
Allemant;2320;commune
Ambleny;2290;commune
Ambrief;2200;commune
Amifontaine;2190;commune
Amigny-Rouy;2700;commune
Ancienville;2600;commune
Andelain;2800;commune
Anguilcourt-le-Sart;2800;commune
Anizy-le-Château;2320;commune
Annois;2480;commune
Any-Martin-Rieux;2500;commune
Archon;2360;commune
Arcy-Sainte-Restitue;2130;commune
Armentières-sur-Ourcq;2210;commune
Arrancy;2860;commune
Artemps;2480;commune
Artonges;2330;commune
Assis-sur-Serre;2270;commune
Athies-sous-Laon;2840;commune
Attilly;2490;commune
Aubencheul-aux-Bois;2420;commune
Aubenton;2500;commune
Aubigny-aux-Kaisnes;2590;commune
Aubigny-en-Laonnois;2820;commune
Audignicourt;2300;commune
Audigny;2120;commune
Augy;2220;commune
Aulnois-sous-Laon;2000;commune
Autremencourt;2250;commune
Autreppes;2580;commune
Autreville;2300;commune
Azy-sur-Marne;2400;commune
Bagneux;2290;commune
Bancigny;2140;commune
Barenton-Bugny;2000;commune
Barenton-Cel;2000;commune
Barenton-sur-Serre;2270;commune
Barisis-aux-Bois;2700;commune
Barzy-en-Thiérache;2170;commune
Barzy-sur-Marne;2850;commune
Bassoles-Aulers;2380;commune
Baulne-en-Brie;2330;commune
Bazoches-sur-Vesles;2220;commune
Beaumé;2500;commune
Beaumont-en-Beine;2300;commune
Beaurevoir;2110;commune
Beaurieux;2160;commune
Beautor;2800;commune
Beauvois-en-Vermandois;2590;commune
Becquigny;2110;commune
Belleau;2400;commune
Bellenglise;2420;commune
Belleu;2200;commune
Bellicourt;2420;commune
Benay;2440;commune
Bergues-sur-Sambre;2450;commune
Berlancourt;2250;commune
Berlise;2340;commune
Bernot;2120;commune
Berny-Rivière;2290;commune
Berrieux;2820;commune
Berry-au-Bac;2190;commune
Bertaucourt-Epourdon;2800;commune
Berthenicourt;2240;commune
Bertricourt;2190;commune
Berzy-le-Sec;2200;commune
Besmé;2300;commune
Besmont;2500;commune
Besny-et-Loizy;2870;commune
Béthancourt-en-Vaux;2300;commune
Beugneux;2210;commune
Beuvardes;2130;commune
Bézu-le-Guéry;2310;commune
Bézu-Saint-Germain;2400;commune
Bichancourt;2300;commune
Bieuxy;2290;commune
Bièvres;2860;commune
Billy-sur-Aisne;2200;commune
Billy-sur-Ourcq;2210;commune
Blanzy-lès-Fismes;2160;commune
Blérancourt;2300;commune
Blesmes;2400;commune
Bohain-en-Vermandois;2110;commune
Bois-lès-Pargny;2270;commune
Boncourt;2350;commune
Bonneil;2400;commune
Bonnesvalyn;2400;commune
Bony;2420;commune
Bosmont-sur-Serre;2250;commune
Bouconville-Vauclair;2860;commune
Boué;2450;commune
Bouffignereux;2160;commune
Bouresches;2400;commune
Bourg-et-Comin;2160;commune
Bourguignon-sous-Coucy;2300;commune
Bourguignon-sous-Montbavin;2000;commune
Braine;2220;commune
Brancourt-en-Laonnois;2320;commune
Brancourt-le-Grand;2110;commune
Brasles;2400;commune
Bray-Saint-Christophe;2480;commune
Braye;2880;commune
Braye-en-Laonnois;2000;commune
Braye-en-Thiérache;2140;commune
Brécy;2210;commune
Brenelle;2220;commune
Breny;2210;commune
Brie;2870;commune
Brissay-Choigny;2240;commune
Brissy-Hamégicourt;2240;commune
Brumetz;2810;commune
Brunehamel;2360;commune
Bruyères-et-Montbérault;2860;commune
Bruyères-sur-Fère;2130;commune
Bruys;2220;commune
Bucilly;2500;commune
Bucy-le-Long;2880;commune
Bucy-lès-Cerny;2870;commune
Bucy-lès-Pierrepont;2350;commune
Buire;2500;commune
Buironfosse;2620;commune
Burelles;2140;commune
Bussiares;2810;commune
Buzancy;2200;commune
Caillouël-Crépigny;2300;commune
Camelin;2300;commune
Castres;2680;commune
Caulaincourt;2490;commune
Caumont;2300;commune
Celles-lès-Condé;2330;commune
Celles-sur-Aisne;2370;commune
Cerizy;2240;commune
Cerny-en-Laonnois;2860;commune
Cerny-lès-Bucy;2870;commune
Cerseuil;2220;commune
Cessières;2320;commune
Chacrise;2200;commune
Chaillevois;2000;commune
Chalandry;2270;commune
Chambry;2000;commune
Chamouille;2860;commune
Champs;2670;commune
Chaourse;2340;commune
Charly-sur-Marne;2310;commune
Charmes;2800;commune
Chartèves;2400;commune
Chassemy;2370;commune
Château-Thierry;2400;commune
Châtillon-lès-Sons;2270;commune
Châtillon-sur-Oise;2240;commune
Chaudardes;2160;commune
Chaudun;2200;commune
Chauny;2300;commune
Chavignon;2000;commune
Chavigny;2880;commune
Chavonne;2370;commune
Chérêt;2860;commune
Chermizy-Ailles;2860;commune
Chéry-Chartreuve;2220;commune
Chéry-lès-Pouilly;2000;commune
Chéry-lès-Rozoy;2360;commune
Chevennes;2250;commune
Chevregny;2000;commune
Chevresis-Monceau;2270;commune
Chézy-en-Orxois;2810;commune
Chézy-sur-Marne;2570;commune
Chierry;2400;commune
Chigny;2120;commune
Chivres-en-Laonnois;2350;commune
Chivres-Val;2880;commune
Chivy-lès-Étouvelles;2000;commune
Chouy;2210;commune
Cierges;2130;commune
Cilly;2250;commune
Ciry-Salsogne;2220;commune
Clacy-et-Thierret;2000;commune
Clairfontaine;2260;commune
Clamecy;2880;commune
Clastres;2440;commune
Clermont-les-Fermes;2340;commune
Cœuvres-et-Valsery;2600;commune
Coincy;2210;commune
Coingt;2360;commune
Colligis-Crandelain;2860;commune
Colonfay;2120;commune
Commenchon;2300;commune
Concevreux;2160;commune
Condé-en-Brie;2330;commune
Condé-sur-Aisne;2370;commune
Condé-sur-Suippe;2190;commune
Condren;2700;commune
Connigis;2330;commune
Contescourt;2680;commune
Corbeny;2820;commune
Corcy;2600;commune
Coucy-la-Ville;2380;commune
Coucy-le-Château-Auffrique;2380;commune
Coucy-lès-Eppes;2840;commune
Coulonges-Cohan;2130;commune
Coupru;2310;commune
Courbes;2800;commune
Courboin;2330;commune
Courcelles-sur-Vesle;2220;commune
Courchamps;2810;commune
Courmelles;2200;commune
Courmont;2130;commune
Courtemont-Varennes;2850;commune
Courtrizy-et-Fussigny;2820;commune
Couvrelles;2220;commune
Couvron-et-Aumencourt;2270;commune
Coyolles;2600;commune
Cramaille;2130;commune
Craonne;2160;commune
Craonnelle;2160;commune
Crécy-au-Mont;2380;commune
Crécy-sur-Serre;2270;commune
Crépy;2870;commune
Crézancy;2650;commune
Croix-Fonsomme;2110;commune
Crouttes-sur-Marne;2310;commune
Crouy;2880;commune
Crupilly;2120;commune
Cuffies;2880;commune
Cugny;2480;commune
Cuirieux;2350;commune
Cuiry-Housse;2220;commune
Cuiry-lès-Chaudardes;2160;commune
Cuiry-lès-Iviers;2360;commune
Cuissy-et-Geny;2160;commune
Cuisy-en-Almont;2200;commune
Cutry;2600;commune
Cys-la-Commune;2220;commune
Dagny-Lambercy;2140;commune
Dallon;2680;commune
Dammard;2470;commune
Dampleux;2600;commune
Danizy;2800;commune
Dercy;2270;commune
Deuillet;2700;commune
Dhuizel;2220;commune
Dizy-le-Gros;2340;commune
