cp;nom;distance;P01-02;P03-04;P05-P06;P07-08;P09-12;P13-16;P17-31;P32-54
89460;Accolay;162;284;299;314;334;568;624;731;789
89800;Aigremont;142;246;261;276;296;493;542;641;696
89110;Aillant-sur-Tholon;156;273;288;303;323;545;600;704;761
89390;Aisy-sur-Armançon;155;271;286;301;321;541;595;700;757
89160;Ancy-le-Franc;139;241;256;271;291;481;529;628;682
89160;Ancy-le-Libre;134;231;246;261;281;463;509;605;658
89480;Andryes;180;318;333;348;368;635;699;812;874
89440;Angely;161;282;297;312;332;564;620;727;785
89200;Annay-la-Côte;165;289;304;319;339;579;637;745;803
89310;Annay-sur-Serein;139;241;256;271;291;481;529;628;682
89200;Annéot;166;291;306;321;341;583;641;749;808
89440;Annoux;160;280;295;310;330;560;616;722;780
89380;Appoigny;140;243;258;273;293;485;534;632;686
89320;Arces-Dilo;136;235;250;265;285;470;517;614;668
89270;Arcy-sur-Cure;164;288;303;318;338;575;633;740;799
89160;Argentenay;134;231;246;261;281;463;509;605;658
89160;Argenteuil-sur-Armançon;138;239;254;269;289;478;525;623;677
89500;Armeau;168;295;310;325;345;590;649;758;818
89740;Arthonnay;109;184;199;214;234;369;406;493;541
89660;Asnières-sous-Bois;189;334;349;364;384;669;736;853;916
89450;Asquins;173;304;319;334;354;609;670;781;841
89440;Athie;161;282;297;312;332;564;620;727;785
89290;Augy;147;256;271;286;306;511;562;664;719
89000;Auxerre;142;246;261;276;296;493;542;641;696
89200;Avallon;169;297;312;327;347;594;653;763;822
89190;Bagneaux;120;205;220;235;255;410;451;542;593
89430;Baon;119;203;218;233;253;406;447;538;588
89400;Bassou;138;239;254;269;289;478;525;623;677
89460;Bazarnes;161;282;297;312;332;564;620;727;785
89250;Beaumont;135;233;248;263;283;466;513;610;663
89630;Beauvilliers;183;323;338;353;373;646;711;826;888
89240;Beauvoir;208;370;385;400;420;740;814;938;1005
89800;Beine;143;248;263;278;298;496;546;646;700
89210;Bellechaume;142;246;261;276;296;493;542;641;696
89150;La Belliole;164;288;303;318;338;575;633;740;799
89410;Béon;190;336;351;366;386;673;740;857;921
89360;Bernouil;123;211;226;241;261;421;463;556;607
89700;Béru;123;211;226;241;261;421;463;556;607
89270;Bessy-sur-Cure;161;282;297;312;332;564;620;727;785
89570;Beugnon;112;190;205;220;240;380;418;506;555
89420;Bierry-les-Belles-Fontaines;165;289;304;319;339;579;637;745;803
89440;Blacy;161;282;297;312;332;564;620;727;785
89200;Blannay;168;295;310;325;345;590;649;758;818
89230;Bleigny-le-Carreau;136;235;250;265;285;470;517;614;668
89220;Bléneau;225;402;417;432;452;804;884;1015;1085
89770;Bœurs-en-Othe;129;222;237;252;272;444;488;583;635
89660;Bois-d'Arcy;194;344;359;374;394;688;756;875;939
89400;Bonnard;137;237;252;267;287;474;521;619;672
89500;Les Bordes;141;244;259;274;294;489;538;637;691
89113;Branches;143;248;263;278;298;496;546;646;700
89150;Brannay;159;278;293;308;328;556;612;718;775
89210;Brienon-sur-Armançon;124;213;228;243;263;425;468;560;611
89400;Brion;149;259;274;289;309;519;571;673;728
89660;Brosses;178;314;329;344;364;628;690;803;864
89630;Bussières;181;319;334;349;369;639;703;817;878
89400;Bussy-en-Othe;147;256;271;286;306;511;562;664;719
89500;Bussy-le-Repos;179;316;331;346;366;631;694;808;869
89360;Butteaux;118;201;216;231;251;403;443;533;583
89360;Carisey;120;205;220;235;255;410;451;542;593
89116;La Celle-Saint-Cyr;189;334;349;364;384;669;736;853;916
89310;Censy;147;256;271;286;306;511;562;664;719
89320;Cérilly;135;233;248;263;283;466;513;610;663
89320;Cerisiers;133;229;244;259;279;459;505;601;653
89410;Cézy;177;312;327;342;362;624;686;799;860
89800;Chablis;138;239;254;269;289;478;525;623;677
89770;Chailley;135;233;248;263;283;466;513;610;663
89120;Chambeugle;186;329;344;359;379;658;723;839;902
89660;Chamoux;184;325;340;355;375;650;715;830;893
89220;Champcevrais;219;391;406;421;441;781;859;988;1057
89350;Champignelles;194;344;359;374;394;688;756;875;939
89340;Champigny;151;263;278;293;313;526;579;682;738
89300;Champlay;140;243;258;273;293;485;534;632;686
89210;Champlost;121;207;222;237;257;414;455;547;597
89290;Champs-sur-Yonne;150;261;276;291;311;523;575;677;733
89710;Champvallon;193;342;357;372;392;684;752;871;935
89300;Chamvres;195;346;361;376;396;691;760;880;944
89260;La Chapelle-sur-Oreuse;140;243;258;273;293;485;534;632;686
89800;La Chapelle-Vaupelteigne;136;235;250;265;285;470;517;614;668
89113;Charbuy;149;259;274;289;309;519;571;673;728
89580;Charentenay;164;288;303;318;338;575;633;740;799
