cp;nom;distance;1-2;3-4;5-6;7-8;9-12;13-16;17-31;32-54
89460;Accolay;162;188;218;248;268;376;432;470;526
89800;Aigremont;142;166;196;226;246;333;383;416;466
89110;Aillant-sur-Tholon;156;182;212;242;262;363;417;454;508
89390;Aisy-sur-Armançon;155;180;210;240;260;361;415;451;505
89160;Ancy-le-Franc;139;163;193;223;243;326;375;408;457
89160;Ancy-le-Libre;134;158;188;218;238;315;363;394;441
89480;Andryes;180;208;238;268;288;415;477;519;581
89440;Angely;161;187;217;247;267;374;430;467;523
89200;Annay-la-Côte;165;191;221;251;271;383;440;478;536
89310;Annay-sur-Serein;139;163;193;223;243;326;375;408;457
89200;Annéot;166;192;222;252;272;385;442;481;539
89440;Annoux;160;186;216;246;266;372;427;465;520
89380;Appoigny;140;164;194;224;244;328;378;410;460
89320;Arces-Dilo;136;160;190;220;240;320;368;400;448
89270;Arcy-sur-Cure;164;190;220;250;270;380;437;475;532
89160;Argentenay;134;158;188;218;238;315;363;394;441
89160;Argenteuil-sur-Armançon;138;162;192;222;242;324;373;405;454
89500;Armeau;168;195;225;255;275;389;447;486;545
89740;Arthonnay;109;131;161;191;211;261;300;326;366
89660;Asnières-sous-Bois;189;217;247;277;297;435;500;543;608
89450;Asquins;173;200;230;260;280;400;460;500;560
89440;Athie;161;187;217;247;267;374;430;467;523
89290;Augy;147;172;202;232;252;344;395;429;481
89000;Auxerre;142;166;196;226;246;333;383;416;466
89200;Avallon;169;196;226;256;276;391;450;489;548
89190;Bagneaux;120;143;173;203;223;285;328;356;399
89430;Baon;119;141;171;201;221;283;325;354;396
89400;Bassou;138;162;192;222;242;324;373;405;454
89460;Bazarnes;161;187;217;247;267;374;430;467;523
89250;Beaumont;135;159;189;219;239;318;365;397;445
89630;Beauvilliers;183;211;241;271;291;422;485;527;590
89240;Beauvoir;208;238;268;298;318;476;547;595;666
89800;Beine;143;167;197;227;247;335;385;419;469
89210;Bellechaume;142;166;196;226;246;333;383;416;466
89150;La Belliole;164;190;220;250;270;380;437;475;532
89410;Béon;190;218;248;278;298;437;502;546;611
89360;Bernouil;123;146;176;206;226;292;335;364;408
89700;Béru;123;146;176;206;226;292;335;364;408
89270;Bessy-sur-Cure;161;187;217;247;267;374;430;467;523
89570;Beugnon;112;134;164;194;214;268;308;335;375
89420;Bierry-les-Belles-Fontaines;165;191;221;251;271;383;440;478;536
89440;Blacy;161;187;217;247;267;374;430;467;523
89200;Blannay;168;195;225;255;275;389;447;486;545
89230;Bleigny-le-Carreau;136;160;190;220;240;320;368;400;448
89220;Bléneau;225;256;286;316;336;513;589;641;718
89770;Bœurs-en-Othe;129;152;182;212;232;305;350;381;426
89660;Bois-d'Arcy;194;223;253;283;303;445;512;557;623
89400;Bonnard;137;161;191;221;241;322;370;402;451
89500;Les Bordes;141;165;195;225;245;331;380;413;463
89113;Branches;143;167;197;227;247;335;385;419;469
89150;Brannay;159;185;215;245;265;370;425;462;517
89210;Brienon-sur-Armançon;124;147;177;207;227;294;338;367;411
89400;Brion;149;174;204;234;254;348;400;435;487
89660;Brosses;178;205;235;265;285;411;472;513;575
89630;Bussières;181;209;239;269;289;417;480;521;584
89400;Bussy-en-Othe;147;172;202;232;252;344;395;429;481
89500;Bussy-le-Repos;179;206;236;266;286;413;475;516;578
89360;Butteaux;118;140;170;200;220;281;323;351;393
89360;Carisey;120;143;173;203;223;285;328;356;399
89116;La Celle-Saint-Cyr;189;217;247;277;297;435;500;543;608
89310;Censy;147;172;202;232;252;344;395;429;481
89320;Cérilly;135;159;189;219;239;318;365;397;445
89320;Cerisiers;133;157;187;217;237;313;360;391;438
89410;Cézy;177;204;234;264;284;409;470;511;572
89800;Chablis;138;162;192;222;242;324;373;405;454
89770;Chailley;135;159;189;219;239;318;365;397;445
89120;Chambeugle;186;214;244;274;294;428;492;535;599
89660;Chamoux;184;212;242;272;292;424;487;530;593
89220;Champcevrais;219;250;280;310;330;500;574;624;699
89350;Champignelles;194;223;253;283;303;445;512;557;623
89340;Champigny;151;176;206;236;256;352;405;440;493
89300;Champlay;140;164;194;224;244;328;378;410;460
89210;Champlost;121;144;174;204;224;287;330;359;402
