CP;Commune;Distance;1-2;3-4;5-6 ;7-8;9-12;13-16;17-31;32-54
89460;Accolay;162;188;218;248;268;376;432,4;470;526,4
89800;Aigremont;142;166,3333333;196,3333333;226,3333333;246,3333333;332,6666667;382,5666667;415,8333333;465,7333333
89110;Aillant-sur-Tholon;156;181,5;211,5;241,5;261,5;363;417,45;453,75;508,2
89390;Aisy-sur-Armançon;155;180,4166667;210,4166667;240,4166667;260,4166667;360,8333333;414,9583333;451,0416667;505,1666667
89160;Ancy-le-Franc;139;163,0833333;193,0833333;223,0833333;243,0833333;326,1666667;375,0916667;407,7083333;456,6333333
89160;Ancy-le-Libre;134;157,6666667;187,6666667;217,6666667;237,6666667;315,3333333;362,6333333;394,1666667;441,4666667
89480;Andryes;180;207,5;237,5;267,5;287,5;415;477,25;518,75;581
89440;Angely;161;186,9166667;216,9166667;246,9166667;266,9166667;373,8333333;429,9083333;467,2916667;523,3666667
89200;Annay-la-Côte;165;191,25;221,25;251,25;271,25;382,5;439,875;478,125;535,5
89310;Annay-sur-Serein;139;163,0833333;193,0833333;223,0833333;243,0833333;326,1666667;375,0916667;407,7083333;456,6333333
89200;Annéot;166;192,3333333;222,3333333;252,3333333;272,3333333;384,6666667;442,3666667;480,8333333;538,5333333
89440;Annoux;160;185,8333333;215,8333333;245,8333333;265,8333333;371,6666667;427,4166667;464,5833333;520,3333333
89380;Appoigny;140;164,1666667;194,1666667;224,1666667;244,1666667;328,3333333;377,5833333;410,4166667;459,6666667
89320;Arces-Dilo;136;159,8333333;189,8333333;219,8333333;239,8333333;319,6666667;367,6166667;399,5833333;447,5333333
89270;Arcy-sur-Cure;164;190,1666667;220,1666667;250,1666667;270,1666667;380,3333333;437,3833333;475,4166667;532,4666667
89160;Argentenay;134;157,6666667;187,6666667;217,6666667;237,6666667;315,3333333;362,6333333;394,1666667;441,4666667
89160;Argenteuil-sur-Armançon;138;162;192;222;242;324;372,6;405;453,6
89500;Armeau;168;194,5;224,5;254,5;274,5;389;447,35;486,25;544,6
89740;Arthonnay;109;130,5833333;160,5833333;190,5833333;210,5833333;261,1666667;300,3416667;326,4583333;365,6333333
89660;Asnières-sous-Bois;189;217,25;247,25;277,25;297,25;434,5;499,675;543,125;608,3
89450;Asquins;173;199,9166667;229,9166667;259,9166667;279,9166667;399,8333333;459,8083333;499,7916667;559,7666667
89440;Athie;161;186,9166667;216,9166667;246,9166667;266,9166667;373,8333333;429,9083333;467,2916667;523,3666667
89290;Augy;147;171,75;201,75;231,75;251,75;343,5;395,025;429,375;480,9
89000;Auxerre;142;166,3333333;196,3333333;226,3333333;246,3333333;332,6666667;382,5666667;415,8333333;465,7333333
89200;Avallon;169;195,5833333;225,5833333;255,5833333;275,5833333;391,1666667;449,8416667;488,9583333;547,6333333
89190;Bagneaux;120;142,5;172,5;202,5;222,5;285;327,75;356,25;399
89430;Baon;119;141,4166667;171,4166667;201,4166667;221,4166667;282,8333333;325,2583333;353,5416667;395,9666667
89400;Bassou;138;162;192;222;242;324;372,6;405;453,6
89460;Bazarnes;161;186,9166667;216,9166667;246,9166667;266,9166667;373,8333333;429,9083333;467,2916667;523,3666667
89250;Beaumont;135;158,75;188,75;218,75;238,75;317,5;365,125;396,875;444,5
89630;Beauvilliers;183;210,75;240,75;270,75;290,75;421,5;484,725;526,875;590,1
89240;Beauvoir;208;237,8333333;267,8333333;297,8333333;317,8333333;475,6666667;547,0166667;594,5833333;665,9333333
89800;Beine;143;167,4166667;197,4166667;227,4166667;247,4166667;334,8333333;385,0583333;418,5416667;468,7666667
89210;Bellechaume;142;166,3333333;196,3333333;226,3333333;246,3333333;332,6666667;382,5666667;415,8333333;465,7333333
89150;La Belliole;164;190,1666667;220,1666667;250,1666667;270,1666667;380,3333333;437,3833333;475,4166667;532,4666667
